displayprofile,profile,groups,Ptype,type,lic
[ADD] Auditor,Auditor,Auditor,[ADDON],General,
[ADD] Developer,Developer,Developer,[ADDON],General,
[ADD] Documents.unlock,Dataflow.unlock,Objects.unlock,[ADDON],DataFlow,
[ADD] Economics.Regimes,Economics.Regimes,Economics.regimes,[ADDON],Economics,
[ADD] Economics.unlock,Economics.unlock,Economics.unlock,[ADDON],Economics,
[ADD] Financials.Regimes,Finance.Regimes,Financials.regimes,[ADDON],Financials,
[ADD] Financials.unlock,Financials.unlock,Financials.unlock,[ADDON],Financials,
[ADD] P2V.admin,P2V.admin,P2V.admin,[ADDON],General,
[ADD] PetroVR,PetroVR,PetroVR,[ADDON],PetroVR,
[ADD] User administration,User.admin,User.admin,[ADDON],General,
[DATA] - Arab Emirates,data.ArabEmirates,data.ArabEmirates,[DATA],DATA,
[DATA] - Australia,data.Australia,data.Australia,[DATA],DATA,
[DATA] - Austria,data.Austria,data.Austria,[DATA],DATA,
[DATA] - Bulgaria,data.Bulgaria,data.Bulgaria,[DATA],DATA,
[DATA] - Corporate,data.Corporate,data.Corporate,[DATA],DATA,
[DATA] - Georgia,data.Georgia,data.Georgia,[DATA],DATA,
[DATA] - Kurdistan,data.Kurdistan,data.Kurdistan,[DATA],DATA,
[DATA] - Libya,data.Libya,data.Libya,[DATA],DATA,
[DATA] - Malaysia,data.Malaysia,data.Malaysia,[DATA],DATA,
[DATA] - Mexico,data.Mexico,data.Mexico,[DATA],DATA,
[DATA] - New Zealand,data.NewZealand,data.NewZealand,[DATA],DATA,
[DATA] - Norway,data.Norway,data.Norway,[DATA],DATA,
[DATA] - OMVEP,data.OMVEP,data.OMVEP,[DATA],DATA,
[DATA] - Romania,data.Romania,data.Romania,[DATA],DATA,
[DATA] - Russia,data.Russia,data.Russia,[DATA],DATA,
[DATA] - Sapura - Australia,data.Sapura.Australia,data.Sapura.Australia,[DATA],DATA,
[DATA] - Sapura - New Zealand,data.Sapura.NewZealand,data.Sapura.NewZealand,[DATA],DATA,
[DATA] - Tunisia,data.Tunisia,data.Tunisia,[DATA],DATA,
[DATA] - Yemen,data.Yemen,data.Yemen,[DATA],DATA,
profile.Admin.Developer,profile.Admin.Developer,DataFlow.key,[Profile],DataFlow,
profile.Admin.Developer,profile.Admin.Developer,Economics.key,[Profile],Economics,
profile.Admin.Developer,profile.Admin.Developer,Financials.key,[Profile],Financials,
profile.Admin.Developer,profile.Admin.Developer,Input.Confirm,[Profile],General,
profile.Admin.Developer,profile.Admin.Developer,license.heavy,[Profile],License,
profile.Admin.Developer,profile.Admin.Developer,P2V.base,[Profile],General,
profile.Admin.Developer,profile.Admin.Developer,Portfolio,[Profile],Portfolio,
profile.Admin.Developer,profile.Admin.Developer,profile.Admin.Developer,[Profile],PROFILE,
profile.Admin.Developer,profile.Admin.Developer,Reporting,[Profile],API,
profile.Admin.Developer,profile.Admin.Developer,Reserves.Administrator,[Profile],Reserves,
profile.Admin.Developer,profile.Admin.Developer,Reserves.base,[Profile],Reserves,
profile.Admin.Developer,profile.Admin.Developer,Reserves.key,[Profile],Reserves,
profile.Admin.Headoffice,profile.Admin.Headoffice,DataFlow.key,[Profile],DataFlow,
profile.Admin.Headoffice,profile.Admin.Headoffice,DataFlow.power,[Profile],DataFlow,
profile.Admin.Headoffice,profile.Admin.Headoffice,Economics.key,[Profile],Economics,
profile.Admin.Headoffice,profile.Admin.Headoffice,Economics.power,[Profile],Economics,
profile.Admin.Headoffice,profile.Admin.Headoffice,Economics.regimes,[Profile],Economics,
profile.Admin.Headoffice,profile.Admin.Headoffice,Financials.key,[Profile],Financials,
profile.Admin.Headoffice,profile.Admin.Headoffice,Financials.power,[Profile],Financials,
profile.Admin.Headoffice,profile.Admin.Headoffice,Input.Confirm,[Profile],General,
profile.Admin.Headoffice,profile.Admin.Headoffice,P2V.base,[Profile],General,
profile.Admin.Headoffice,profile.Admin.Headoffice,Portfolio,[Profile],Portfolio,
profile.Admin.Headoffice,profile.Admin.Headoffice,profile.Admin.Headoffice,[Profile],PROFILE,
profile.Admin.Headoffice,profile.Admin.Headoffice,Reporting,[Profile],API,
profile.Admin.Headoffice,profile.Admin.Headoffice,Reserves.Administrator,[Profile],Reserves,
profile.Admin.Headoffice,profile.Admin.Headoffice,Reserves.base,[Profile],Reserves,
profile.Admin.Headoffice,profile.Admin.Headoffice,Reserves.key,[Profile],Reserves,
profile.Admin.Headoffice,profile.Admin.Headoffice,Reserves.power,[Profile],Reserves,
profile.Admin.Headoffice,profile.Admin.Headoffice,temp.adjust.admin,[Profile],Template,
profile.Admin.Headoffice,profile.Admin.Headoffice,temp.adjust.eco,[Profile],Template,
profile.Admin.Headoffice,profile.Admin.Headoffice,temp.adjust.ecoresults,[Profile],Template,
profile.Admin.Headoffice,profile.Admin.Headoffice,temp.adjust.fin,[Profile],Template,
profile.Admin.Headoffice,profile.Admin.Headoffice,temp.adjust.input,[Profile],Template,
profile.Admin.Headoffice,profile.Admin.Headoffice,temp.admin,[Profile],Template,
profile.Admin.Headoffice,profile.Admin.Headoffice,temp.economics,[Profile],Template,
profile.Admin.Headoffice,profile.Admin.Headoffice,temp.ecoresults,[Profile],Template,
profile.Admin.Headoffice,profile.Admin.Headoffice,temp.financials,[Profile],Template,
profile.Admin.Headoffice,profile.Admin.Headoffice,temp.input,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,profile.Economics.Headoffice,[Profile],Economics,
profile.Economics.Headoffice,profile.Economics.Headoffice,P2V.base,[Profile],General,
profile.Economics.Headoffice,profile.Economics.Headoffice,Reporting,[Profile],General,
profile.Economics.Headoffice,profile.Economics.Headoffice,Economics.key,[Profile],Economics,
profile.Economics.Headoffice,profile.Economics.Headoffice,Economics.power,[Profile],Economics,
profile.Economics.Headoffice,profile.Economics.Headoffice,Economics.regimes,[Profile],Economics,
profile.Economics.Headoffice,profile.Economics.Headoffice,Portfolio,[Profile],Portfolio,
profile.Economics.Headoffice,profile.Economics.Headoffice,Reserves.base,[Profile],Reserves,
profile.Economics.Headoffice,profile.Economics.Headoffice,license.heavy,[Profile],License,
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.adjust.admin,[Profile],Reserves,
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.adjust.eco,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.adjust.ecoresults,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.adjust.fin.readonly,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.adjust.input,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.admin,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.economics,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.ecoresults,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.financials.readonly,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.input,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,data.Everyone.economics,[Profile],Economics,
profile.Economics.local,profile.Economics.local,profile.Economics.local,[Profile],Economics,
profile.Economics.local,profile.Economics.local,P2V.base,[Profile],License,
profile.Economics.local,profile.Economics.local,Reporting,[Profile],General,
profile.Economics.local,profile.Economics.local,Economics.key,[Profile],Economics,
profile.Economics.local,profile.Economics.local,Economics.Regimes.readonly,[Profile],Economics,
profile.Economics.local,profile.Economics.local,Portfolio,[Profile],Portfolio,
profile.Economics.local,profile.Economics.local,Reserves.base,[Profile],Reserves,
profile.Economics.local,profile.Economics.local,license.heavy,[Profile],License,
profile.Economics.local,profile.Economics.local,temp.adjust.admin,[Profile],Template,
profile.Economics.local,profile.Economics.local,temp.adjust.eco,[Profile],Template,
profile.Economics.local,profile.Economics.local,temp.adjust.ecoresults,[Profile],Template,
profile.Economics.local,profile.Economics.local,temp.adjust.fin.readonly,[Profile],Template,
profile.Economics.local,profile.Economics.local,temp.adjust.input,[Profile],Template,
profile.Economics.local,profile.Economics.local,temp.admin,[Profile],Template,
profile.Economics.local,profile.Economics.local,temp.economics,[Profile],Template,
