Name,Category,AD-group,PS-Profile-old,PS-Profile-New,comment,USERCLAIM,IDEA,#
P2V Headoffice PP Power User,, ,profile.PP.Headoffice.Power,XXX.profile.PP.Headoffice.Power.OLD,,,,
P2V Access CASH system,ACCESS,dlg.WW.ADM-Services.P2V.access.CASH,-,-,access to old Palantir Cash (via Citrix),,,1
P2V Development System,ACCESS,dlg.WW.ADM-Services.P2V.access.development,-,-,access to P2V Development System (via Citrix),,,10
P2V NAMR Report Tool,ACCESS,dlg.WW.ADM-Services.P2V.access.NAMR,-,-,access to NAMR Reporting Tool (via Citrix),,,
P2V Production System,ACCESS,dlg.WW.ADM-Services.P2V.access.production,-,-,access to P2V Production System (via Citrix),,,449
P2V Test System,ACCESS,dlg.WW.ADM-Services.P2V.access.test,-,-,"access to P2V TEST System (via Citrix , multiple tenants)",,,427
P2V Training System,ACCESS,dlg.WW.ADM-Services.P2V.access.training,-,-,access to P2V TRAINING System (via Citrix),,,122
P2V Update System,ACCESS,dlg.WW.ADM-Services.P2V.access.update,-,-,access to P2V UPDATE System (via Citrix),,,24
P2V Administrator,PROFILE,dlg.WW.ADM-Services.P2V.Admin,Administrators,Administrators,Administrators,X,,4
P2V Approver,not in use,dlg.WW.ADM-Services.P2V.approver,,,,,,0
P2V Vendor,???,dlg.WW.ADM-Services.P2V.Aucerna,,,collector group for external consultants,,,10
P2V Auditor,PROFILE,dlg.WW.ADM-Services.P2V.auditor,Auditor,A12.profile.Auditor,Access Audit Logs,X,,6
P2V Business Development Key User,not in use,dlg.WW.ADM-Services.P2V.BD.key,,,,,,
P2V Business Development Power User,not in use,dlg.WW.ADM-Services.P2V.BD.power,,,,,"group for ""all BD"" users ? -> script",
P2V Controlling Key User,not in use,dlg.WW.ADM-Services.P2V.CO.key,,,,,,
P2V Controlling Power User,not in use,dlg.WW.ADM-Services.P2V.CO.power,,,,,,
P2V Data ArabEmirates,DATA,dlg.WW.ADM-Services.P2V.data.ARE,data.ArabEmirates,data.ArabEmirates,Data access to country UnitedArabEmirates,,,20
P2V Data Australia,DATA,dlg.WW.ADM-Services.P2V.data.AUS,data.Australia,data.Australia,Data access to country Australia,,,
P2V Data Australia Sapura,DATA,dlg.WW.ADM-Services.P2V.data.AUS.sapura,data.Sapura.Australia,data.Sapura.Australia,Data access to country  Sapura- Australia,,,
P2V Data Austria,DATA,dlg.WW.ADM-Services.P2V.data.AUT,data.Austria,data.Austria,Data access to country Austria,,,
P2V Data Bulgaria,DATA,dlg.WW.ADM-Services.P2V.data.BGR,data.Bulgaria,data.Bulgaria,Data access to country Bulgaria,,,
P2V Data Corporate OMV,DATA,dlg.WW.ADM-Services.P2V.data.corporate,data.Corporate,data.Corporate,Data access to ALL countries,,,
P2V Data Georgia,DATA,dlg.WW.ADM-Services.P2V.data.GEO,data.Georgia,data.Georgia,Data access to country Georgia,,,
P2V Data Kurdistan,DATA,dlg.WW.ADM-Services.P2V.data.KRI,data.Kurdistan,data.Kurdistan,Data access to country Kurdistan,,,
P2V Data Libya,DATA,dlg.WW.ADM-Services.P2V.data.LBY,data.Libya,data.Libya,Data access to country Libya,,,
P2V Data Mexico,DATA,dlg.WW.ADM-Services.P2V.data.MEX,data.Mexico,data.Mexico,Data access to country Mexico,,,
P2V Data Malaysia,DATA,dlg.WW.ADM-Services.P2V.data.MYS,data.Malaysia,data.Malaysia,Data access to country Malaysia,,,
P2V Data Norway,DATA,dlg.WW.ADM-Services.P2V.data.NOR,data.Norway,data.Norway,Data access to country Norway,,,
P2V Data New Zealand,DATA,dlg.WW.ADM-Services.P2V.data.NZL,data.NewZealand,data.NewZealand,Data access to country NewZealand,,,
P2V Data New Zealand Sapura,DATA,dlg.WW.ADM-Services.P2V.data.NZL.sapura,data.Sapura.NewZealand,data.Sapura.NewZealand,Data access to country  Sapura- NewZealand,,,
P2V OMV KZ User,DATA,dlg.WW.ADM-Services.P2V.data.OMVEP,data.OMVEP,data.OMVEP,Data access to ValueCenters,,,
P2V Data Romania,DATA,dlg.WW.ADM-Services.P2V.data.ROU,data.Romania,data.Romania,Data access to country Romania,,,
P2V Data Russia,DATA,dlg.WW.ADM-Services.P2V.data.RUS,data.Russia,data.Russia,Data access to country Russia,,,
P2V OMV Sapura User,???,dlg.WW.ADM-Services.P2V.data.Sapura,,,,,,
P2V Data Tunisia,DATA,dlg.WW.ADM-Services.P2V.data.TUN,data.Tunisia,data.Tunisia,Data access to country Tunisia,,,
