displayname,xkey,logonID,profile
PowerBI GW 1 (s.at.p2vpbi1),s.at.p2vpbi1,s.at.p2vpbi1,00DEFAULT
PowerBI GW 2 (s.at.p2vpbi2),s.at.p2vpbi2,s.at.p2vpbi2,00DEFAULT
PowerBI GW 3 (s.at.p2vpbi3),s.at.p2vpbi3,s.at.p2vpbi3,00DEFAULT
PowerBI GW 4 (s.at.p2vpbi4),s.at.p2vpbi4,s.at.p2vpbi4,00DEFAULT
PowerBI GW 5 (s.at.p2vpbi5),s.at.p2vpbi5,s.at.p2vpbi5,00DEFAULT
PowerBI GW 6 (s.at.p2vpbi6),s.at.p2vpbi6,s.at.p2vpbi6,00DEFAULT
PowerBI GW 7 (s.at.p2vpbi7),s.at.p2vpbi7,s.at.p2vpbi7,00DEFAULT
PowerBI GW 8 (s.at.p2vpbi8),s.at.p2vpbi8,s.at.p2vpbi8,00DEFAULT
PowerBI GW 9 (s.at.p2vpbi9),s.at.p2vpbi9,s.at.p2vpbi9,00DEFAULT
PowerBI GW 10 (s.at.p2vpbi10),s.at.p2vpbi10,s.at.p2vpbi10,00DEFAULT
PowerBI GW 11 (s.at.p2vpbi11),s.at.p2vpbi11,s.at.p2vpbi11,00DEFAULT
PowerBI GW 12 (s.at.p2vpbi12),s.at.p2vpbi12,s.at.p2vpbi12,00DEFAULT
PowerBI GW 13 (s.at.p2vpbi13),s.at.p2vpbi13,s.at.p2vpbi13,00DEFAULT
PowerBI GW 14 (s.at.p2vpbi14),s.at.p2vpbi14,s.at.p2vpbi14,00DEFAULT
PowerBI GW 15 (s.at.p2vpbi15),s.at.p2vpbi15,s.at.p2vpbi15,00DEFAULT
PowerBI GW 1 (s.at.p2vpbi1),s.at.p2vpbi1,s.at.p2vpbi1,A06.profile.Light.Fin.Port
PowerBI GW 2 (s.at.p2vpbi2),s.at.p2vpbi2,s.at.p2vpbi2,A06.profile.Light.Fin.Port
PowerBI GW 3 (s.at.p2vpbi3),s.at.p2vpbi3,s.at.p2vpbi3,A06.profile.Light.Fin.Port
PowerBI GW 4 (s.at.p2vpbi4),s.at.p2vpbi4,s.at.p2vpbi4,A06.profile.Light.Fin.Port
PowerBI GW 5 (s.at.p2vpbi5),s.at.p2vpbi5,s.at.p2vpbi5,A06.profile.Light.Fin.Port
PowerBI GW 6 (s.at.p2vpbi6),s.at.p2vpbi6,s.at.p2vpbi6,A06.profile.Light.Fin.Port
PowerBI GW 7 (s.at.p2vpbi7),s.at.p2vpbi7,s.at.p2vpbi7,A06.profile.Light.Fin.Port
PowerBI GW 8 (s.at.p2vpbi8),s.at.p2vpbi8,s.at.p2vpbi8,A06.profile.Light.Fin.Port
PowerBI GW 9 (s.at.p2vpbi9),s.at.p2vpbi9,s.at.p2vpbi9,A06.profile.Light.Fin.Port
PowerBI GW 10 (s.at.p2vpbi10),s.at.p2vpbi10,s.at.p2vpbi10,A06.profile.Light.Fin.Port
PowerBI GW 11 (s.at.p2vpbi11),s.at.p2vpbi11,s.at.p2vpbi11,A06.profile.Light.Fin.Port
PowerBI GW 12 (s.at.p2vpbi12),s.at.p2vpbi12,s.at.p2vpbi12,A06.profile.Light.Fin.Port
PowerBI GW 13 (s.at.p2vpbi13),s.at.p2vpbi13,s.at.p2vpbi13,A06.profile.Light.Fin.Port
PowerBI GW 14 (s.at.p2vpbi14),s.at.p2vpbi14,s.at.p2vpbi14,A06.profile.Light.Fin.Port
PowerBI GW 15 (s.at.p2vpbi15),s.at.p2vpbi15,s.at.p2vpbi15,A06.profile.Light.Fin.Port
PowerBI GW 1 (s.at.p2vpbi1),s.at.p2vpbi1,s.at.p2vpbi1,data.Corporate
PowerBI GW 2 (s.at.p2vpbi2),s.at.p2vpbi2,s.at.p2vpbi2,data.Corporate
PowerBI GW 3 (s.at.p2vpbi3),s.at.p2vpbi3,s.at.p2vpbi3,data.Corporate
PowerBI GW 4 (s.at.p2vpbi4),s.at.p2vpbi4,s.at.p2vpbi4,data.Romania
PowerBI GW 5 (s.at.p2vpbi5),s.at.p2vpbi5,s.at.p2vpbi5,data.Austria
PowerBI GW 6 (s.at.p2vpbi6),s.at.p2vpbi6,s.at.p2vpbi6,data.Norway
PowerBI GW 7 (s.at.p2vpbi7),s.at.p2vpbi7,s.at.p2vpbi7,data.NewZealand
PowerBI GW 9 (s.at.p2vpbi9),s.at.p2vpbi9,s.at.p2vpbi9,data.Tunisia
PowerBI GW 10 (s.at.p2vpbi10),s.at.p2vpbi10,s.at.p2vpbi10,data.ArabEmirates
PowerBI GW 10 (s.at.p2vpbi10),s.at.p2vpbi10,s.at.p2vpbi10,data.Kurdistan
PowerBI GW 11 (s.at.p2vpbi11),s.at.p2vpbi11,s.at.p2vpbi11,data.Russia
