allow,deny,readonly
T.ADJUST.admin.full,T.ADJUST.admin.deny,T.ADJUST.admin.readonly
T.ADJUST.calc.full,T.ADJUST.calc.deny,T.ADJUST.calc.readonly
T.ADJUST.economics.full,T.ADJUST.economics.deny,T.ADJUST.economics.readonly
T.ADJUST.ecoresults.full,T.ADJUST.ecoresults.deny,T.ADJUST.ecoresults.readonly
T.ADJUST.financials.full,T.ADJUST.financials.deny,T.ADJUST.financials.readonly
T.ADJUST.input.full,T.ADJUST.input.deny,T.ADJUST.input.readonly
T.ADJUST.overview.full,T.ADJUST.overview.deny,T.ADJUST.overview.readonly
T.PRMS.admin.full,T.PRMS.admin.deny,T.PRMS.admin.readonly
T.PRMS.calc.full,T.PRMS.calc.deny,T.PRMS.calc.readonly
T.PRMS.economics.full,T.PRMS.economics.deny,T.PRMS.economics.readonly
T.PRMS.ecoresults.full,T.PRMS.ecoresults.deny,T.PRMS.ecoresults.readonly
T.PRMS.financials.full,T.PRMS.financials.deny,T.PRMS.financials.readonly
T.PRMS.input.full,T.PRMS.input.deny,T.PRMS.input.readonly
T.PRMS.quicklook.full,T.PRMS.quicklook.deny,T.PRMS.quicklook.readonly
