Id,Name,Description,Comments
,bd.base,General workgroup that has access to the BD hierarchy,
,bd.001.allow,Group of people allowed to see the specific project data,NAUTILUS
,bd.001.deny,Group of people NOT allowed to see this project data,NAUTILUS
,bd.002.allow,Group of people allowed to see the specific project data,TANIA
,bd.002.deny,Group of people NOT allowed to see this project data,TANIA
,bd.003.allow,Group of people allowed to see the specific project data,LEXY
,bd.003.deny,Group of people NOT allowed to see this project data,LEXY
,bd.004.allow,Group of people allowed to see the specific project data,Violin
,bd.004.deny,Group of people NOT allowed to see this project data,Violin
,bd.005.allow,Group of people allowed to see the specific project data,Elios
,bd.005.deny,Group of people NOT allowed to see this project data,Elios
,bd.006.allow,Group of people allowed to see the specific project data,Alya
,bd.006.deny,Group of people NOT allowed to see this project data,Alya
,bd.007.allow,Group of people allowed to see the specific project data,Athena 
,bd.007.deny,Group of people NOT allowed to see this project data,Athena 
,bd.008.allow,Group of people allowed to see the specific project data,Neptun
,bd.008.deny,Group of people NOT allowed to see this project data,Neptun
,bd.009.allow,Group of people allowed to see the specific project data,Nay
,bd.009.deny,Group of people NOT allowed to see this project data,Nay
,bd.010.allow,Group of people allowed to see the specific project data,Sitar + Cajon
,bd.010.deny,Group of people NOT allowed to see this project data,Sitar + Cajon
,bd.011.allow,Group of people allowed to see the specific project data,PEC Timis Pr - Divestments round 3 and 4 
,bd.011.deny,Group of people NOT allowed to see this project data,PEC Timis Pr - Divestments round 3 and 4 
,bd.012.allow,Group of people allowed to see the specific project data,PEC Turnu Pr - Divestments round 3 and 4 
,bd.012.deny,Group of people NOT allowed to see this project data,PEC Turnu Pr - Divestments round 3 and 4 
,bd.013.allow,Group of people allowed to see the specific project data,Nereus
,bd.013.deny,Group of people NOT allowed to see this project data,Nereus
,bd.014.allow,Group of people allowed to see the specific project data,Kobza
,bd.014.deny,Group of people NOT allowed to see this project data,Kobza
,bd.015.allow,Group of people allowed to see the specific project data,not in use
,bd.015.deny,Group of people NOT allowed to see this project data,not in use
,bd.016.allow,Group of people allowed to see the specific project data,not in use
,bd.016.deny,Group of people NOT allowed to see this project data,not in use
,bd.017.allow,Group of people allowed to see the specific project data,not in use
,bd.017.deny,Group of people NOT allowed to see this project data,not in use
,bd.018.allow,Group of people allowed to see the specific project data,not in use
,bd.018.deny,Group of people NOT allowed to see this project data,not in use
,bd.019.allow,Group of people allowed to see the specific project data,not in use
,bd.019.deny,Group of people NOT allowed to see this project data,not in use
,bd.020.allow,Group of people allowed to see the specific project data,not in use
,bd.020.deny,Group of people NOT allowed to see this project data,not in use
