Profile,IDM
profile.Admin.Headoffice,P2V Headoffice Administrator
profile.Economics.Headoffice,P2V Headoffice Economist
profile.Finance.Headoffice,P2V Headoffice Controller
profile.PP.Headoffice,P2V Headoffice PP User
profile.PP.Headoffice.Power,P2V Headoffice PP Power User
profile.Reserves.Headoffice,P2V Headoffice Reserves User
profile.Reserves.Headoffice.Power,P2V Headoffice Reserves Power User
profile.Resources.Headoffice,P2V Headoffice Exploration User
profile.LightUser.Headoffice,P2V Headoffice Readonly User
profile.Economics.local,P2V Local Country Economist
profile.Finance.local,P2V Local Country Controller
profile.PP.local,P2V Local Country PP User
profile.Resources.local,P2V Local Country Exploration User
profile.Reserves.local.QRE,P2V Local Country QRE
profile.Reserves.readonly,P2V Reserves Readonly
profile.LightUser.local,P2V Local Readonly User
profile.Projectmanager,P2V Projectmanager
data.Corporate,P2V Data Corporate OMV
data.Australia,P2V Data Australia
data.Austria,P2V Data Austria
data.Bulgaria,P2V Data Bulgaria
data.ArabEmirates,P2V Data ArabEmirates
data.Georgia,P2V Data Georgia
data.Kurdistan,P2V Data Kurdistan
data.Libya,P2V Data Libya
data.Malaysia,P2V Data Malaysia
data.Mexico,P2V Data Mexico
data.NewZealand,P2V Data New Zealand
data.Norway,P2V Data Norway
data.Romania,P2V Data Romania
data.Russia,P2V Data Russia
data.Sapura.Australia,P2V Data Australia SAPURA
data.Sapura.NewZealand,P2V Data New Zealand SAPURA
data.Tunisia,P2V Data Tunisia
data.Yemen,P2V Data Yemen
Auditor,P2V Auditor
Economics.regimes,P2V Economics Regimes
Economics.unlock,P2V Economics Unlock
Financials.unlock,P2V Financials Unlock
Objects.unlock,P2V Documents Unlock
profile.Admin.Developer,P2V Developer
profile.Finance.Regimes,P2V Finance Regimes
profile.PetroVR,PetroVR
profile.Reserves.Headoffice.Approve,P2V Reserves Headoffice Approval
profile.Reserves.local.Approve,P2V Reserves Local Approval
Administrator,P2V Administrator
