LogonId,authenticationMethod,Domain,DisplayName,Description,IsDeactivated,IsAccountLocked,EmailAddress,,,,,
demo1,LOCAL,,ZZ - Demo User 1 - ECO corporate,ZZ - Demo User 1 - ECO corporate,FALSE,FALSE,,demo1,ZZ - Demo User 1 - ECO corporate,1,ECO,corporate
demo2,LOCAL,,ZZ - Demo User 2 - PP corporate,ZZ - Demo User 2 - PP corporate,FALSE,FALSE,,demo2,ZZ - Demo User 2 - PP corporate,2,PP,corporate
demo3,LOCAL,,ZZ - Demo User 3 - FIN corporate,ZZ - Demo User 3 - FIN corporate,FALSE,FALSE,,demo3,ZZ - Demo User 3 - FIN corporate,3,FIN,corporate
demo4,LOCAL,,ZZ - Demo User 4 - RES corporate,ZZ - Demo User 4 - RES corporate,FALSE,FALSE,,demo4,ZZ - Demo User 4 - RES corporate,4,RES,corporate
demo5,LOCAL,,ZZ - Demo User 5 - ECO AUT,ZZ - Demo User 5 - ECO AUT,FALSE,FALSE,,demo5,ZZ - Demo User 5 - ECO AUT,5,ECO,AUT
demo6,LOCAL,,ZZ - Demo User 6 - PP AUT,ZZ - Demo User 6 - PP AUT,FALSE,FALSE,,demo6,ZZ - Demo User 6 - PP AUT,6,PP,AUT
demo7,LOCAL,,ZZ - Demo User 7 - FIN AUT,ZZ - Demo User 7 - FIN AUT,FALSE,FALSE,,demo7,ZZ - Demo User 7 - FIN AUT,7,FIN,AUT
demo8,LOCAL,,ZZ - Demo User 8 - RES AUT,ZZ - Demo User 8 - RES AUT,FALSE,FALSE,,demo8,ZZ - Demo User 8 - RES AUT,8,RES,AUT
demo9,LOCAL,,ZZ - Demo User 9 - ECO NOR,ZZ - Demo User 9 - ECO NOR,FALSE,FALSE,,demo9,ZZ - Demo User 9 - ECO NOR,9,ECO,NOR
demo10,LOCAL,,ZZ - Demo User 10 - PP NOR,ZZ - Demo User 10 - PP NOR,FALSE,FALSE,,demo10,ZZ - Demo User 10 - PP NOR,10,PP,NOR
demo11,LOCAL,,ZZ - Demo User 11 - FIN NOR,ZZ - Demo User 11 - FIN NOR,FALSE,FALSE,,demo11,ZZ - Demo User 11 - FIN NOR,11,FIN,NOR
demo12,LOCAL,,ZZ - Demo User 12 - RES NOR,ZZ - Demo User 12 - RES NOR,FALSE,FALSE,,demo12,ZZ - Demo User 12 - RES NOR,12,RES,NOR
demo13,LOCAL,,ZZ - Demo User 13 - ECO RUS,ZZ - Demo User 13 - ECO RUS,FALSE,FALSE,,demo13,ZZ - Demo User 13 - ECO RUS,13,ECO,RUS
demo14,LOCAL,,ZZ - Demo User 14 - PP RUS,ZZ - Demo User 14 - PP RUS,FALSE,FALSE,,demo14,ZZ - Demo User 14 - PP RUS,14,PP,RUS
demo15,LOCAL,,ZZ - Demo User 15 - FIN RUS,ZZ - Demo User 15 - FIN RUS,FALSE,FALSE,,demo15,ZZ - Demo User 15 - FIN RUS,15,FIN,RUS
demo16,LOCAL,,ZZ - Demo User 16 - RES RUS,ZZ - Demo User 16 - RES RUS,FALSE,FALSE,,demo16,ZZ - Demo User 16 - RES RUS,16,RES,RUS
