LogonId,authenticationMethod,Domain,DisplayName,Description,IsDeactivated,IsAccountLocked,EmailAddress,,,,,,,
demo1,LOCAL,,ZZ - Demo User 1 - ECO corporate,Headoffice Economist,FALSE,FALSE,,demo1,ZZ - Demo User 1 - ECO corporate,1,ECO,corporate,,P2V Headoffice Controller
demo2,LOCAL,,ZZ - Demo User 2 - PP corporate,Headoffice PP Power User,FALSE,FALSE,,demo2,ZZ - Demo User 2 - PP corporate,2,PP,corporate,,P2V Headoffice Economist
demo3,LOCAL,,ZZ - Demo User 3 - FIN corporate,Headoffice Controller,FALSE,FALSE,,demo3,ZZ - Demo User 3 - FIN corporate,3,FIN,corporate,,P2V Headoffice Exploration User
demo4,LOCAL,,ZZ - Demo User 4 - RES corporate,Headoffice Reserves Power User,FALSE,FALSE,,demo4,ZZ - Demo User 4 - RES corporate,4,RES,corporate,,P2V Headoffice Administrator
demo5,LOCAL,,ZZ - Demo User 5 - ECO AUT,Local Country Economist Austria,FALSE,FALSE,,demo5,ZZ - Demo User 5 - ECO AUT,5,ECO,AUT,Austria,P2V Headoffice PP Power User
demo6,LOCAL,,ZZ - Demo User 6 - PP AUT,Local Country PP User Austria,FALSE,FALSE,,demo6,ZZ - Demo User 6 - PP AUT,6,PP,AUT,,P2V Headoffice PP User
demo7,LOCAL,,ZZ - Demo User 7 - FIN AUT,Local Country Controller Austria,FALSE,FALSE,,demo7,ZZ - Demo User 7 - FIN AUT,7,FIN,AUT,,P2V Headoffice Readonly User
demo8,LOCAL,,ZZ - Demo User 8 - RES AUT,Local Country QRE Austria,FALSE,FALSE,,demo8,ZZ - Demo User 8 - RES AUT,8,RES,AUT,,P2V Headoffice Reserves Power User
demo9,LOCAL,,ZZ - Demo User 9 - ECO NOR,Local Country Economist Norway,FALSE,FALSE,,demo9,ZZ - Demo User 9 - ECO NOR,9,ECO,NOR,Norway,P2V Headoffice Reserves User
demo10,LOCAL,,ZZ - Demo User 10 - PP NOR,Local Country PP User Norway,FALSE,FALSE,,demo10,ZZ - Demo User 10 - PP NOR,10,PP,NOR,,P2V Local Country Controller
demo11,LOCAL,,ZZ - Demo User 11 - FIN NOR,Local Country Controller Norway,FALSE,FALSE,,demo11,ZZ - Demo User 11 - FIN NOR,11,FIN,NOR,,P2V Local Country Economist
demo12,LOCAL,,ZZ - Demo User 12 - RES NOR,Local Country QRE Norway,FALSE,FALSE,,demo12,ZZ - Demo User 12 - RES NOR,12,RES,NOR,,P2V Local Country Exploration User
demo13,LOCAL,,ZZ - Demo User 13 - ECO RUS,Local Country Economist Russia,FALSE,FALSE,,demo13,ZZ - Demo User 13 - ECO RUS,13,ECO,RUS,Russia,P2V Local Country PP User
demo14,LOCAL,,ZZ - Demo User 14 - PP RUS,Local Country PP User Russia,FALSE,FALSE,,demo14,ZZ - Demo User 14 - PP RUS,14,PP,RUS,,P2V Local Country QRE
demo15,LOCAL,,ZZ - Demo User 15 - FIN RUS,Local Country Controller Russia,FALSE,FALSE,,demo15,ZZ - Demo User 15 - FIN RUS,15,FIN,RUS,,P2V Local Readonly User
