profile,user,groups,Ptype,type,lic
[ADD] Auditor,x,Auditor,[ADDON],General,
[ADD] Developer,x,Developer,[ADDON],General,
[ADD] Documents.unlock,x,Objects.unlock,[ADDON],DataFlow,
[ADD] Economics.unlock,x,Economics.unlock,[ADDON],Economics,
[ADD] Financials.unlock,x,Financials.unlock,[ADDON],Financials,
[ADD] P2V.admin,x,P2V.admin,[ADDON],General,
[ADD] PetroVR,x,PetroVR,[ADDON],PetroVR,
[ADD] User administration,x,User.admin,[ADDON],General,
[ADD].Finance.Regimes,x,Financials.regimes,[ADDON],Financials,
[DATA] - Arab Emirates,x,data.ArabEmirates,[DATA],DATA,
[DATA] - Arab Emirates - KEY,x,data.ArabEmirates.key,[DATA],DATA,
[DATA] - Australia,x,data.Australia,[DATA],DATA,
[DATA] - Australia - KEY,x,data.Australia.key,[DATA],DATA,
[DATA] - Austria,x,data.Austria,[DATA],DATA,
[DATA] - Austria - ECO,x,data.Austria.Economics,[DATA],DATA,
[DATA] - Austria - FIN,x,data.Austria.Finance,[DATA],DATA,
[DATA] - Austria - PP,x,data.Austria.key,[DATA],DATA,
[DATA] - Bulgaria,x,data.Bulgaria,[DATA],DATA,
[DATA] - Bulgaria - KEY,x,data.Bulgaria.key,[DATA],DATA,
[DATA] - Corporate,x,data.Corporate,[DATA],DATA,
[DATA] - Corporate - ECO,x,data.Corporate.Economics,[DATA],DATA,
[DATA] - Corporate - FIN,x,data.Corporate.Finance,[DATA],DATA,
[DATA] - Corporate - PP,x,data.Corporate.key,[DATA],DATA,
[DATA] - Georgia,x,data.Georgia,[DATA],DATA,
[DATA] - Georgia - KEY,x,data.Georgia.key,[DATA],DATA,
[DATA] - Kurdistan,x,data.Kurdistan,[DATA],DATA,
[DATA] - Kurdistan - KEY,x,data.Kurdistan.key,[DATA],DATA,
[DATA] - Libya,x,data.Libya,[DATA],DATA,
[DATA] - Libya - ECO,x,data.Libya.Economics,[DATA],DATA,
[DATA] - Libya - FIN,x,data.Libya.Finance,[DATA],DATA,
[DATA] - Libya - PP,x,data.Libya.key,[DATA],DATA,
[DATA] - Malaysia,x,data.Malaysia,[DATA],DATA,
[DATA] - Malaysia - KEY,x,data.Malaysia.key,[DATA],DATA,
[DATA] - Mexico,x,data.Mexico,[DATA],DATA,
[DATA] - Mexico - KEY,x,data.Mexico.key,[DATA],DATA,
[DATA] - New Zealand,x,data.NewZealand,[DATA],DATA,
[DATA] - New Zealand - KEY,x,data.NewZealand.key,[DATA],DATA,
[DATA] - Norway,x,data.Norway,[DATA],DATA,
[DATA] - Norway - ECO,x,data.Norway.Economics,[DATA],DATA,
[DATA] - Norway - FIN,x,data.Norway.Finance,[DATA],DATA,
[DATA] - Norway - PP,x,data.Norway.key,[DATA],DATA,
[DATA] - Romania,x,data.Romania,[DATA],DATA,
[DATA] - Romania - KEY,x,data.Romania.key,[DATA],DATA,
[DATA] - Russia,x,data.Russia,[DATA],DATA,
[DATA] - Russia - ECO,x,data.Russia.Economics,[DATA],DATA,
[DATA] - Russia - FIN,x,data.Russia.Finance,[DATA],DATA,
[DATA] - Russia - PP,x,data.Russia.key,[DATA],DATA,
[DATA] - Tunisia,x,data.Tunisia,[DATA],DATA,
[DATA] - Tunisia - ECO,x,data.Tunisia.Economics,[DATA],DATA,
[DATA] - Tunisia - FIN,x,data.Tunisia.Finance,[DATA],DATA,
[DATA] - Tunisia - PP,x,data.Tunisia.key,[DATA],DATA,
[DATA] - Yemen,x,data.Yemen,[DATA],DATA,
[DATA] - Yemen - KEY,x,data.Yemen.key,[DATA],DATA,
profile.Admin.Developer,x,DataFlow.key,[Profile],DataFlow,
profile.Admin.Developer,x,Economics.key,[Profile],Economics,
profile.Admin.Developer,x,Financials.key,[Profile],Financials,
profile.Admin.Developer,x,Input.Confirm,[Profile],General,
profile.Admin.Developer,x,license.heavy,[Profile],License,
profile.Admin.Developer,x,P2V.base,[Profile],General,
profile.Admin.Developer,x,Portfolio,[Profile],Portfolio,
profile.Admin.Developer,x,profile.Admin.Developer,[Profile],PROFILE,
profile.Admin.Developer,x,Reporting,[Profile],API,
profile.Admin.Developer,x,Reserves.Administrator,[Profile],Reserves,
profile.Admin.Developer,x,Reserves.base,[Profile],Reserves,
profile.Admin.Developer,x,Reserves.key,[Profile],Reserves,
profile.Admin.Headoffice,x,DataFlow.key,[Profile],DataFlow,
profile.Admin.Headoffice,x,DataFlow.power,[Profile],DataFlow,
profile.Admin.Headoffice,x,Economics.key,[Profile],Economics,
profile.Admin.Headoffice,x,Economics.power,[Profile],Economics,
profile.Admin.Headoffice,x,Economics.regimes,[Profile],Economics,
profile.Admin.Headoffice,x,Financials.key,[Profile],Financials,
profile.Admin.Headoffice,x,Financials.power,[Profile],Financials,
profile.Admin.Headoffice,x,Input.Confirm,[Profile],General,
profile.Admin.Headoffice,x,P2V.base,[Profile],General,
profile.Admin.Headoffice,x,Portfolio,[Profile],Portfolio,
profile.Admin.Headoffice,x,profile.Admin.Headoffice,[Profile],PROFILE,
profile.Admin.Headoffice,x,Reporting,[Profile],API,
profile.Admin.Headoffice,x,Reserves.Administrator,[Profile],Reserves,
profile.Admin.Headoffice,x,Reserves.base,[Profile],Reserves,
profile.Admin.Headoffice,x,Reserves.key,[Profile],Reserves,
profile.Admin.Headoffice,x,Reserves.power,[Profile],Reserves,
profile.Admin.Headoffice,x,temp.adjust.admin,[Profile],Template,
profile.Admin.Headoffice,x,temp.adjust.eco,[Profile],Template,
profile.Admin.Headoffice,x,temp.adjust.ecoresults,[Profile],Template,
profile.Admin.Headoffice,x,temp.adjust.fin,[Profile],Template,
profile.Admin.Headoffice,x,temp.adjust.input,[Profile],Template,
profile.Admin.Headoffice,x,temp.admin,[Profile],Template,
profile.Admin.Headoffice,x,temp.economics,[Profile],Template,
profile.Admin.Headoffice,x,temp.ecoresults,[Profile],Template,
profile.Admin.Headoffice,x,temp.financials,[Profile],Template,
profile.Admin.Headoffice,x,temp.input,[Profile],Template,
profile.Admin.Headoffice,x,User.admin,[Profile],General,
profile.Economics.Headoffice,x,Economics.key,[Profile],Economics,
profile.Economics.Headoffice,x,Economics.power,[Profile],Economics,
profile.Economics.Headoffice,x,Economics.regimes,[Profile],Economics,
profile.Economics.Headoffice,x,license.heavy,[Profile],License,
profile.Economics.Headoffice,x,license.heavy,[Profile],License,
profile.Economics.Headoffice,x,P2V.base,[Profile],General,
profile.Economics.Headoffice,x,Portfolio,[Profile],Portfolio,
profile.Economics.Headoffice,x,profile.Economics.Headoffice,[Profile],PROFILE,
profile.Economics.Headoffice,x,Reporting,[Profile],API,
profile.Economics.Headoffice,x,Reserves.base,[Profile],Reserves,
profile.Economics.Headoffice,x,temp.adjust.admin,[Profile],Template,
profile.Economics.Headoffice,x,temp.adjust.eco,[Profile],Template,
profile.Economics.Headoffice,x,temp.adjust.ecoresults,[Profile],Template,
profile.Economics.Headoffice,x,temp.adjust.fin.readonly,[Profile],Template,
profile.Economics.Headoffice,x,temp.adjust.input,[Profile],Template,
profile.Economics.Headoffice,x,temp.admin,[Profile],Template,
profile.Economics.Headoffice,x,temp.economics,[Profile],Template,
profile.Economics.Headoffice,x,temp.ecoresults,[Profile],Template,
profile.Economics.Headoffice,x,temp.financials.readonly,[Profile],Template,
profile.Economics.Headoffice,x,temp.input,[Profile],Template,
profile.Economics.local,x,Economics.key,[Profile],Economics,
profile.Economics.local,x,license.heavy,[Profile],License,
profile.Economics.local,x,P2V.base,[Profile],General,
profile.Economics.local,x,Portfolio,[Profile],Portfolio,
profile.Economics.local,x,profile.Economics.local,[Profile],PROFILE,
profile.Economics.local,x,Reporting,[Profile],API,
profile.Economics.local,x,Reserves.base,[Profile],Reserves,
profile.Economics.local,x,temp.adjust.admin,[Profile],Template,
profile.Economics.local,x,temp.adjust.eco,[Profile],Template,
profile.Economics.local,x,temp.adjust.ecoresults,[Profile],Template,
profile.Economics.local,x,temp.adjust.fin.readonly,[Profile],Template,
profile.Economics.local,x,temp.adjust.input,[Profile],Template,
profile.Economics.local,x,temp.admin,[Profile],Template,
profile.Economics.local,x,temp.economics,[Profile],Template,
profile.Economics.local,x,temp.ecoresults,[Profile],Template,
profile.Economics.local,x,temp.financials.readonly,[Profile],Template,
profile.Economics.local,x,temp.input,[Profile],Template,
profile.Finance.Headoffice,x,Financials.key,[Profile],Financials,
profile.Finance.Headoffice,x,Financials.power,[Profile],Financials,
profile.Finance.Headoffice,x,license.heavy,[Profile],License,
profile.Finance.Headoffice,x,P2V.base,[Profile],General,
profile.Finance.Headoffice,x,Portfolio,[Profile],Portfolio,
profile.Finance.Headoffice,x,profile.Finance.Headoffice,[Profile],PROFILE,
profile.Finance.Headoffice,x,Reporting,[Profile],API,
profile.Finance.Headoffice,x,temp.adjust.admin.readonly,[Profile],Template,
profile.Finance.Headoffice,x,temp.adjust.eco,[Profile],Template,
profile.Finance.Headoffice,x,temp.adjust.ecoresults,[Profile],Template,
profile.Finance.Headoffice,x,temp.adjust.fin,[Profile],Template,
profile.Finance.Headoffice,x,temp.adjust.input,[Profile],Template,
profile.Finance.Headoffice,x,temp.admin.readonly,[Profile],Template,
profile.Finance.Headoffice,x,temp.economics.readonly,[Profile],Template,
profile.Finance.Headoffice,x,temp.ecoresults.readonly,[Profile],Template,
profile.Finance.Headoffice,x,temp.financials,[Profile],Template,
profile.Finance.Headoffice,x,temp.input,[Profile],Template,
profile.Finance.local,x,Financials.key,[Profile],Financials,
profile.Finance.local,x,license.heavy,[Profile],License,
profile.Finance.local,x,P2V.base,[Profile],General,
profile.Finance.local,x,Portfolio,[Profile],Portfolio,
profile.Finance.local,x,profile.Finance.local,[Profile],PROFILE,
profile.Finance.local,x,Reporting,[Profile],API,
profile.Finance.local,x,temp.adjust.admin.readonly,[Profile],Template,
profile.Finance.local,x,temp.adjust.eco,[Profile],Template,
profile.Finance.local,x,temp.adjust.ecoresults,[Profile],Template,
profile.Finance.local,x,temp.adjust.fin,[Profile],Template,
profile.Finance.local,x,temp.adjust.input.readonly,[Profile],Template,
profile.Finance.local,x,temp.admin.readonly,[Profile],Template,
profile.Finance.local,x,temp.economics.readonly,[Profile],Template,
profile.Finance.local,x,temp.ecoresults.readonly,[Profile],Template,
profile.Finance.local,x,temp.financials,[Profile],Template,
profile.Finance.local,x,temp.input,[Profile],Template,
profile.Finance.Regimes,x,license.heavy,[Profile],License,
profile.Finance.Regimes,x,profile.Finance.Regimes,[Profile],PROFILE,
profile.LightUser.Headoffice,x,license.light,[Profile],License,
profile.LightUser.Headoffice,x,P2V.base,[Profile],General,
profile.LightUser.Headoffice,x,profile.LightUser.Headoffice,[Profile],PROFILE,
profile.LightUser.Headoffice,x,Reporting,[Profile],API,
profile.LightUser.Headoffice,x,temp.adjust.admin.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.adjust.eco.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.adjust.fin.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.adjust.input.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.admin.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.economics.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.ecoresults.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.financials.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.input.readonly,[Profile],Template,
profile.LightUser.local,x,license.light,[Profile],License,
profile.LightUser.local,x,P2V.base,[Profile],General,
profile.LightUser.local,x,profile.LightUser.local,[Profile],PROFILE,
profile.LightUser.local,x,Reporting,[Profile],API,
profile.LightUser.local,x,temp.adjust.admin.readonly,[Profile],Template,
profile.LightUser.local,x,temp.adjust.eco.readonly,[Profile],Template,
profile.LightUser.local,x,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.LightUser.local,x,temp.adjust.fin.readonly,[Profile],Template,
profile.LightUser.local,x,temp.adjust.input.readonly,[Profile],Template,
profile.LightUser.local,x,temp.admin.readonly,[Profile],Template,
profile.LightUser.local,x,temp.economics.readonly,[Profile],Template,
profile.LightUser.local,x,temp.ecoresults.readonly,[Profile],Template,
profile.LightUser.local,x,temp.financials.readonly,[Profile],Template,
profile.LightUser.local,x,temp.input.readonly,[Profile],Template,
profile.PetroVR,x,P2V.base,[Profile],General,
profile.PetroVR,x,PetroVR,[Profile],PetroVR,
