profile,user,groups,Ptype,type,lic
[ADD] Auditor,x,Auditor,[ADDON],General,
[ADD] Developer,x,Developer,[ADDON],General,
[ADD] Documents.unlock,x,Dataflow.unlock,[ADDON],DataFlow,
[ADD] Economics.Regimes,x,Economics.regimes,[ADDON],Economics,
[ADD] Economics.unlock,x,Economics.unlock,[ADDON],Economics,
[ADD] Financials.Regimes,x,Financials.regimes,[ADDON],Financials,
[ADD] Financials.unlock,x,Financials.unlock,[ADDON],Financials,
[ADD] P2V.admin,x,P2V.admin,[ADDON],General,
[ADD] PetroVR,x,PetroVR,[ADDON],PetroVR,
[ADD] User administration,x,User.admin,[ADDON],General,
[BD] Deny,x,bd.deny.01,[BD],BD,
[BD] Deny,x,bd.deny.02,[BD],BD,
[BD] Deny,x,bd.deny.03,[BD],BD,
[BD] Deny,x,bd.001.deny,[BD],BD,
[DATA] - Arab Emirates,x,data.ArabEmirates,[DATA],DATA,
[DATA] - Arab Emirates - ECO,x,data.ArabEmirates.Economics,[DATA],DATA,
[DATA] - Arab Emirates - FIN,x,data.ArabEmirates.Finance,[DATA],DATA,
[DATA] - Arab Emirates - KEY,x,data.ArabEmirates.key,[DATA],DATA,
[DATA] - Australia,x,data.Australia,[DATA],DATA,
[DATA] - Australia - ECO,x,data.Australia.Economics,[DATA],DATA,
[DATA] - Australia - FIN,x,data.Australia.Finance,[DATA],DATA,
[DATA] - Australia - KEY,x,data.Australia.key,[DATA],DATA,
[DATA] - Austria,x,data.Austria,[DATA],DATA,
[DATA] - Austria - ECO,x,data.Austria.Economics,[DATA],DATA,
[DATA] - Austria - FIN,x,data.Austria.Finance,[DATA],DATA,
[DATA] - Austria - KEY,x,data.Austria.key,[DATA],DATA,
[DATA] - Bulgaria,x,data.Bulgaria,[DATA],DATA,
[DATA] - Bulgaria - ECO,x,data.Bulgaria.Economics,[DATA],DATA,
[DATA] - Bulgaria - FIN,x,data.Bulgaria.Finance,[DATA],DATA,
[DATA] - Bulgaria - KEY,x,data.Bulgaria.key,[DATA],DATA,
[DATA] - Corporate,x,data.Corporate,[DATA],DATA,
[DATA] - Corporate - ECO,x,data.Corporate.Economics,[DATA],DATA,
[DATA] - Corporate - FIN,x,data.Corporate.Finance,[DATA],DATA,
[DATA] - Corporate - KEY,x,data.Corporate.key,[DATA],DATA,
[DATA] - Georgia,x,data.Georgia,[DATA],DATA,
[DATA] - Georgia - ECO,x,data.Georgia.Economics,[DATA],DATA,
[DATA] - Georgia - FIN,x,data.Georgia.Finance,[DATA],DATA,
[DATA] - Georgia - KEY,x,data.Georgia.key,[DATA],DATA,
[DATA] - Kurdistan,x,data.Kurdistan,[DATA],DATA,
[DATA] - Kurdistan - ECO,x,data.Kurdistan.Economics,[DATA],DATA,
[DATA] - Kurdistan - FIN,x,data.Kurdistan.Finance,[DATA],DATA,
[DATA] - Kurdistan - KEY,x,data.Kurdistan.key,[DATA],DATA,
[DATA] - Libya,x,data.Libya,[DATA],DATA,
[DATA] - Libya - ECO,x,data.Libya.Economics,[DATA],DATA,
[DATA] - Libya - FIN,x,data.Libya.Finance,[DATA],DATA,
[DATA] - Libya - KEY,x,data.Libya.key,[DATA],DATA,
[DATA] - Malaysia,x,data.Malaysia,[DATA],DATA,
[DATA] - Malaysia - ECO,x,data.Malaysia.Economics,[DATA],DATA,
[DATA] - Malaysia - FIN,x,data.Malaysia.Finance,[DATA],DATA,
[DATA] - Malaysia - KEY,x,data.Malaysia.key,[DATA],DATA,
[DATA] - Mexico,x,data.Mexico,[DATA],DATA,
[DATA] - Mexico - ECO,x,data.Mexico.Economics,[DATA],DATA,
[DATA] - Mexico - FIN,x,data.Mexico.Finance,[DATA],DATA,
[DATA] - Mexico - KEY,x,data.Mexico.key,[DATA],DATA,
[DATA] - New Zealand,x,data.NewZealand,[DATA],DATA,
[DATA] - New Zealand - ECO,x,data.NewZealand.Economics,[DATA],DATA,
[DATA] - New Zealand - FIN,x,data.NewZealand.Finance,[DATA],DATA,
[DATA] - New Zealand - KEY,x,data.NewZealand.key,[DATA],DATA,
[DATA] - Norway,x,data.Norway,[DATA],DATA,
[DATA] - Norway - ECO,x,data.Norway.Economics,[DATA],DATA,
[DATA] - Norway - FIN,x,data.Norway.Finance,[DATA],DATA,
[DATA] - Norway - KEY,x,data.Norway.key,[DATA],DATA,
[DATA] - Romania,x,data.Romania,[DATA],DATA,
[DATA] - Romania - ECO,x,data.Romania.Economics,[DATA],DATA,
[DATA] - Romania - FIN,x,data.Romania.Finance,[DATA],DATA,
[DATA] - Romania - KEY,x,data.Romania.key,[DATA],DATA,
[DATA] - Russia,x,data.Russia,[DATA],DATA,
[DATA] - Russia - ECO,x,data.Russia.Economics,[DATA],DATA,
[DATA] - Russia - FIN,x,data.Russia.Finance,[DATA],DATA,
[DATA] - Russia - KEY,x,data.Russia.key,[DATA],DATA,
[DATA] - Tunisia,x,data.Tunisia,[DATA],DATA,
[DATA] - Tunisia - ECO,x,data.Tunisia.Economics,[DATA],DATA,
[DATA] - Tunisia - FIN,x,data.Tunisia.Finance,[DATA],DATA,
[DATA] - Tunisia - KEY,x,data.Tunisia.key,[DATA],DATA,
[DATA] - Yemen,x,data.Yemen,[DATA],DATA,
[DATA] - Yemen - ECO,x,data.Yemen.Economics,[DATA],DATA,
[DATA] - Yemen - FIN,x,data.Yemen.Finance,[DATA],DATA,
[DATA] - Yemen - KEY,x,data.Yemen.key,[DATA],DATA,
[TEMPLATE] deny,x,temp.adjust.admin.deny,[Templates],Template,
[TEMPLATE] deny,x,temp.adjust.eco.deny,[Templates],Template,
[TEMPLATE] deny,x,temp.adjust.ecoresults.deny,[Templates],Template,
[TEMPLATE] deny,x,temp.adjust.fin.deny,[Templates],Template,
[TEMPLATE] deny,x,temp.adjust.input.deny,[Templates],Template,
[TEMPLATE] deny,x,temp.admin.deny,[Templates],Template,
[TEMPLATE] deny,x,temp.economics.deny,[Templates],Template,
[TEMPLATE] deny,x,temp.ecoresults.deny,[Templates],Template,
[TEMPLATE] deny,x,temp.financials.deny,[Templates],Template,
[TEMPLATE] deny,x,temp.input.deny,[Templates],Template,
[TEMPLATE] fullaccess,x,temp.adjust.admin,[Templates],Template,
[TEMPLATE] fullaccess,x,temp.adjust.eco,[Templates],Template,
[TEMPLATE] fullaccess,x,temp.adjust.ecoresults,[Templates],Template,
[TEMPLATE] fullaccess,x,temp.adjust.fin,[Templates],Template,
[TEMPLATE] fullaccess,x,temp.adjust.input,[Templates],Template,
[TEMPLATE] fullaccess,x,temp.admin,[Templates],Template,
[TEMPLATE] fullaccess,x,temp.economics,[Templates],Template,
[TEMPLATE] fullaccess,x,temp.ecoresults,[Templates],Template,
[TEMPLATE] fullaccess,x,temp.financials,[Templates],Template,
[TEMPLATE] fullaccess,x,temp.input,[Templates],Template,
[TEMPLATE] readonly,x,temp.adjust.admin.readonly,[Templates],Template,
[TEMPLATE] readonly,x,temp.adjust.eco.readonly,[Templates],Template,
[TEMPLATE] readonly,x,temp.adjust.ecoresults.readonly,[Templates],Template,
[TEMPLATE] readonly,x,temp.adjust.fin.readonly,[Templates],Template,
[TEMPLATE] readonly,x,temp.adjust.input.readonly,[Templates],Template,
[TEMPLATE] readonly,x,temp.admin.readonly,[Templates],Template,
[TEMPLATE] readonly,x,temp.economics.readonly,[Templates],Template,
[TEMPLATE] readonly,x,temp.ecoresults.readonly,[Templates],Template,
[TEMPLATE] readonly,x,temp.financials.readonly,[Templates],Template,
[TEMPLATE] readonly,x,temp.input.readonly,[Templates],Template,
profile.Admin.Developer,x,DataFlow.key,[Profile],DataFlow,
profile.Admin.Developer,x,Economics.key,[Profile],Economics,
profile.Admin.Developer,x,Financials.key,[Profile],Financials,
profile.Admin.Developer,x,Input.Confirm,[Profile],General,
profile.Admin.Developer,x,license.heavy,[Profile],License,
profile.Admin.Developer,x,P2V.base,[Profile],General,
profile.Admin.Developer,x,Portfolio,[Profile],Portfolio,
profile.Admin.Developer,x,profile.Admin.Developer,[Profile],PROFILE,
profile.Admin.Developer,x,Reporting,[Profile],API,
profile.Admin.Developer,x,Reserves.Administrator,[Profile],Reserves,
profile.Admin.Developer,x,Reserves.base,[Profile],Reserves,
profile.Admin.Developer,x,Reserves.key,[Profile],Reserves,
profile.Admin.Headoffice,x,DataFlow.key,[Profile],DataFlow,
profile.Admin.Headoffice,x,DataFlow.power,[Profile],DataFlow,
profile.Admin.Headoffice,x,Economics.key,[Profile],Economics,
profile.Admin.Headoffice,x,Economics.power,[Profile],Economics,
profile.Admin.Headoffice,x,Economics.regimes,[Profile],Economics,
profile.Admin.Headoffice,x,Financials.key,[Profile],Financials,
profile.Admin.Headoffice,x,Financials.power,[Profile],Financials,
profile.Admin.Headoffice,x,Input.Confirm,[Profile],General,
profile.Admin.Headoffice,x,P2V.base,[Profile],General,
profile.Admin.Headoffice,x,Portfolio,[Profile],Portfolio,
profile.Admin.Headoffice,x,profile.Admin.Headoffice,[Profile],PROFILE,
profile.Admin.Headoffice,x,Reporting,[Profile],API,
profile.Admin.Headoffice,x,Reserves.Administrator,[Profile],Reserves,
profile.Admin.Headoffice,x,Reserves.base,[Profile],Reserves,
profile.Admin.Headoffice,x,Reserves.key,[Profile],Reserves,
profile.Admin.Headoffice,x,Reserves.power,[Profile],Reserves,
profile.Admin.Headoffice,x,temp.adjust.admin,[Profile],Template,
profile.Admin.Headoffice,x,temp.adjust.eco,[Profile],Template,
profile.Admin.Headoffice,x,temp.adjust.ecoresults,[Profile],Template,
profile.Admin.Headoffice,x,temp.adjust.fin,[Profile],Template,
profile.Admin.Headoffice,x,temp.adjust.input,[Profile],Template,
profile.Admin.Headoffice,x,temp.admin,[Profile],Template,
profile.Admin.Headoffice,x,temp.economics,[Profile],Template,
profile.Admin.Headoffice,x,temp.ecoresults,[Profile],Template,
profile.Admin.Headoffice,x,temp.financials,[Profile],Template,
profile.Admin.Headoffice,x,temp.input,[Profile],Template,
profile.Admin.Headoffice,x,User.admin,[Profile],General,
profile.Economics.Headoffice,x,profile.Economics.Headoffice,[Profile],Economics,
profile.Economics.Headoffice,x,P2V.base,[Profile],General,
profile.Economics.Headoffice,x,Reporting,[Profile],General,
profile.Economics.Headoffice,x,Economics.key,[Profile],Economics,
profile.Economics.Headoffice,x,Economics.power,[Profile],Economics,
profile.Economics.Headoffice,x,Economics.regimes,[Profile],Economics,
profile.Economics.Headoffice,x,Portfolio,[Profile],Portfolio,
profile.Economics.Headoffice,x,Reserves.base,[Profile],Reserves,
profile.Economics.Headoffice,x,license.heavy,[Profile],License,
profile.Economics.Headoffice,x,temp.adjust.admin,[Profile],Reserves,
profile.Economics.Headoffice,x,temp.adjust.eco,[Profile],Template,
profile.Economics.Headoffice,x,temp.adjust.ecoresults,[Profile],Template,
profile.Economics.Headoffice,x,temp.adjust.fin.readonly,[Profile],Template,
profile.Economics.Headoffice,x,temp.adjust.input,[Profile],Template,
profile.Economics.Headoffice,x,temp.admin,[Profile],Template,
profile.Economics.Headoffice,x,temp.economics,[Profile],Template,
profile.Economics.Headoffice,x,temp.ecoresults,[Profile],Template,
profile.Economics.Headoffice,x,temp.financials.readonly,[Profile],Template,
profile.Economics.Headoffice,x,temp.input,[Profile],Template,
profile.Economics.Headoffice,x,data.Everyone.economics,[Profile],Economics,
profile.Economics.local,x,profile.Economics.local,[Profile],Economics,
profile.Economics.local,x,P2V.base,[Profile],License,
profile.Economics.local,x,Reporting,[Profile],General,
profile.Economics.local,x,Economics.key,[Profile],Economics,
profile.Economics.local,x,Economics.Regimes.readonly,[Profile],Economics,
profile.Economics.local,x,Portfolio,[Profile],Portfolio,
profile.Economics.local,x,Reserves.base,[Profile],Reserves,
profile.Economics.local,x,license.heavy,[Profile],License,
profile.Economics.local,x,temp.adjust.admin,[Profile],Template,
profile.Economics.local,x,temp.adjust.eco,[Profile],Template,
profile.Economics.local,x,temp.adjust.ecoresults,[Profile],Template,
profile.Economics.local,x,temp.adjust.fin.readonly,[Profile],Template,
profile.Economics.local,x,temp.adjust.input,[Profile],Template,
profile.Economics.local,x,temp.admin,[Profile],Template,
profile.Economics.local,x,temp.economics,[Profile],Template,
profile.Economics.local,x,temp.ecoresults,[Profile],Template,
profile.Economics.local,x,temp.financials.readonly,[Profile],Template,
profile.Economics.local,x,temp.input,[Profile],Template,
profile.Economics.local,x,data.Everyone.economics,[Profile],Economics,
profile.Finance.Headoffice,x,CDD,[Profile],Financials,
