Name,Description,Application name,Category,Allowed workgroups,Denied workgroups
Currencies,Allows a user to configure Currencies,PlanningSpace Corporate,Configuration,Administrators;Economics.power;P2V.admin,
Prices,Allows a user to configure Prices,PlanningSpace Corporate,Configuration,Administrators;Economics.power;P2V.admin,
Security,"Allows a user to manage Users, Workgroups, Roles and Security Settings",PlanningSpace Administration,Security,Administrators;P2V.admin;Reserves.base;User.admin,
Reports - Design,Allows a user to design Economics Reports,PlanningSpace Economics,Economics,Administrators;Economics.power;P2V.admin,
Global Settings,Allows a user to configure Companies and Project Scenarios,PlanningSpace Economics,Economics,Administrators;Economics.key;P2V.admin,
Regime Library,Allows a user to access the Regime Library,PlanningSpace Economics,Economics,Administrators;Economics.regimes;Economics.regimes.readonly;P2V.admin,
Manage Hierarchies,Allows a user to manage Hierarchies,PlanningSpace Economics,Economics,Administrators;Economics.key;P2V.admin,
Access,Allows a user access to the Economics module,PlanningSpace Economics,Economics,Administrators;DataFlow.power;Economics.key;Financials.key;P2V.admin;PetroVR;Portfolio,
Audit Logs,Allows a user access to the Economics Audit Log,PlanningSpace Economics,Economics,Administrators;Auditor;P2V.admin,
Locks,Allows a user to unlock Economics entities,PlanningSpace Economics,Economics,Administrators;Economics.power;Economics.unlock;P2V.admin,
Audit Log,Allows a user access to the PalantirCASH Audit Log,PalantirCASH,PalantirCASH,Administrators,
Module Access,Allows a user access to the Module Editor and depreciation methods,PalantirCASH,PalantirCASH,Administrators,
Manage Lock/Unlock,Allows a user to unlock PalantirCASH Documents,PalantirCASH,PalantirCASH,Administrators,
Manage Hierarchy,Allows a user to manage Hierarchies,PalantirCASH,PalantirCASH,Administrators,
Audit Logs,Allows a user access to the PlanningSpace Audit Log,PlanningSpace Administration,Configuration,Administrators;Auditor;P2V.admin,
Reports - Design,Allows a user to design Financials Reports,PlanningSpace Financials,Financials,Administrators;Financials.power;P2V.admin,
Global Settings,Allows a user to configure Project Scenarios,PlanningSpace Financials,Financials,Administrators;Financials.power;P2V.admin,
Regime Library,Allows a user to access the Regime Library,PlanningSpace Financials,Financials,Administrators;Financials.regimes;P2V.admin,
Manage Hierarchies,Allows a user to manage Hierarchies,PlanningSpace Financials,Financials,Administrators;Financials.key;P2V.admin,
Access,Allows a user access to the Financials module,PlanningSpace Financials,Financials,Administrators;Financials.key;P2V.admin;Portfolio,
Audit Logs,Allows a user access to the Financials Audit Log,PlanningSpace Financials,Financials,Administrators;Auditor;P2V.admin,
Locks,Allows a user to unlock Financials entities,PlanningSpace Financials,Financials,Administrators;Financials.power;P2V.admin,
API Key,Allows a user to generate and utilize API keys for web API calls,PlanningSpace Administration,Security,Administrators;P2V.admin;Reporting;User.admin,
Dataflow Links,Allows a user to manage links between Dataflow Documents and Economics Projects,PlanningSpace Economics,Economics,Administrators;Economics.key;P2V.admin,
Reports - Run,Allows a user to run reports,PlanningSpace Dataflow,Dataflow,Administrators;bd.base;P2V.admin;P2V.base,
