Id,Name,Description,Comments
113,A02.profile.PetroVR,PetroVR user access to PSE for Headless Calculation. ,Usually combined with another profile
307,A03.profile.CAPDAT,Profile for CAPDAT interface users.,Expected user base ultimately project services and project managers.  However, this will be phased in.
147,A04.profile.Light,Readonly access DF only (light user),PRMS (all DF tabs excl Calc & Admin) - ADJUST (Overview, Eco_Results, Fin Input, QA/QC only)
142,A05.profile.Light.reserves,Reserves readonly role,
271,A06.profile.Light.Fin.Port,Finance and Portfolio Finance light users (readonly access) DF plus PSE/F/P,MODIFICATION and EXTENSION of Portfolio Light to Finance light users
283,A07.profile.Projectmanager.PET,Read only Project Manager with Input.Confirm tag rights,NEW. First tier for project managers using Dataflow.  Tagging.  Requested for Petrom Project Managers
144,A08.profile.Projectmanager.Classic,P2V Classic Projectmanager role (data entry & "full input" tagging),
298,A09.profile.Projectmanager.LCB,LCB Project Manager,NEW
157,A10.profile.Planning.Classic,Planner (includes DF Unlock),Previously PP.Local
300,A11.profile.Planning.Plus,Enchanced Dataflow: (includes DF Power role :  DF Tab FULL access),
326,A12.profile.Auditor,Access Audit Logs,
119,A13.profile.Economics.Classic,Base Economist (includes DF Unlock and Quicklook Admin),Roles included PSE Key: DF BasePlus: PSF Base: PSP Base.  
357,A14.profile.Economics.Regimes,Economics Regime Coding,NEW.  This profile is applied to designated regime coders.  These can be located in HO or Venture.
163,A15.profile.Economics.Plus,Base Economist enhanced with PSE Power and PSE Unlock roles,Designed for Economics Governance Team
168,A16.profile.Finance.Classic,Base Controller,Roles included PSF Key: DF BasePlus.  
141,A17.profile.Finance.Regimes,Financial Regime Coding,This profile is applied to designated regime coders.  These can be located in HO or Venture.
171,A18.profile.Finance.Plus,Base Controller enhanced with PSF Power and PSF Unlock roles,Designed for Head Office Controlling
155,A19.profile.Portfolio.Classic,OMV Portfolio role (standard user),
132,A20.profile.Reserves.local.QRE,Branch office QRE role,17.05.22 Updated for Lukas' Changes
175,A21.profile.Reserves.Headoffice,OMV Corporate reserves role (standard user),
118,A22.profile.Reserves.Headoffice.Power,OMV Corporate reserves role (power user),
156,A23.profile.Reserves.Headoffice.Approve,special approval role for Headoffice RESERVES ,17.05.22 Updated with changes advised by Lukas
135,A24.profile.Exploration.Assurance,OMV Corporate Exploration Assurance user.  Previously profile.Resources.Headoffice,
340,A25.profile.Exploration.OA.Admin,Opportunity Assessor Data Loader,This profile has extended Dataflow rights eg project creator, project deletor, Dataflow base.plus for scenario creation
289,A26.profile.Portfolio.Plus,PLACEHOLDER Portfolio Classic plus a Superuser increment.,Placeholder profile.  The Portfolio group will receive classic as standard (essentially an economists base profile).  This placeholder is to be used if a superuser requires Portfolio require additional dataflow or financials rights since Admin rights will be removed.
374,A27.profile.Reserves.local.Approve,Reserves local country approval role  ,extra profile for QREs
1,Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.
39,Auditor,Role: user can check auditlogs,permission to read and check audit-logs
104,BD.base,General workgroup that has access to the BD hierarchy,
444,data.access.ADJUST.allow,base access to ADJUSTMENT projects,use for allowing access to ADJUSTMENT projects
495,data.access.ADJUST.deny,NO access to ADJUSTMENT projects,use for denying access to ADJUSTMENT projects
462,data.access.GAS.allow,base access to GAS projects,use for allowing access to GAS projects
489,data.access.GAS.deny,NO access to GAS projects,use for denying access to GAS projects
450,data.access.LCB.allow,base access to LCB projects,use individual country LCB groups for entity permissions
497,data.access.LCB.deny,NO access to LCB projects,use individual country LCB groups for entity permissions
432,data.access.PRMS.allow,base access to PRMS projects,use individual country PRMS groups for entity permissions
498,data.access.PRMS.deny,NO access to PRMS projects,use individual country PRMS groups for entity permissions
134,data.ArabEmirates,Data access to country UnitedArabEmirates,[DATA] PRMS read-update
312,data.ArabEmirates.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
167,data.ArabEmirates.Economics,Data access to country UnitedArabEmirates (economist),[DATA] PRMS create-read-update-delete 
122,data.ArabEmirates.Finance,Data access to country UnitedArabEmirates (financials),[DATA] PRMS create-read-update-delete 
436,data.ArabEmirates.LCB,Data access to country UnitedArabEmirates (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
303,data.ArabEmirates.Other,Data access to country UnitedArabEmirates (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
146,data.ArabEmirates.Planning,Data access to country UnitedArabEmirates (full access),[DATA] PRMS full access
454,data.ArabEmirates.PRMS,Data access to country UnitedArabEmirates (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
212,data.ArabEmirates.Reserves,Data access to country UnitedArabEmirates (Reserves),[DATA] PRMS create-read-update-delete 
112,data.Australia,Data access to country Australia,[DATA] PRMS read-update
305,data.Australia.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
173,data.Australia.Economics,Data access to country Australia (economist),[DATA] PRMS create-read-update-delete 
133,data.Australia.Finance,Data access to country Australia (financials),[DATA] PRMS create-read-update-delete 
465,data.Australia.LCB,Data access to country Australia (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
322,data.Australia.Other,Data access to country Australia (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
162,data.Australia.Planning,Data access to country Australia (full access),[DATA] PRMS full access
466,data.Australia.PRMS,Data access to country Australia (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
218,data.Australia.Reserves,Data access to country Australia (Reserves),[DATA] PRMS create-read-update-delete 
9,data.Austria,Data access to country Austria,[DATA] PRMS read-update
315,data.Austria.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
90,data.Austria.Economics,Data access to country Austria (economist),[DATA] PRMS create-read-update-delete 
96,data.Austria.Finance,Data access to country Austria (financials),[DATA] PRMS create-read-update-delete 
431,data.Austria.LCB,Data access to country Austria (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
324,data.Austria.Other,Data access to country Austria (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Caters for "light" functional users
45,data.Austria.Planning,Data access to country Austria (full access),[DATA] PRMS full access
442,data.Austria.PRMS,Data access to country Austria (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
