Id,Name,Description,Comments
1,Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.
39,Auditor,users can check auditlogs,permission to read and check audit-logs
102,bd.001.allow,Group of members with allow rights to manage a business development project ,
103,bd.001.deny,Group of members to deny any rights for a business development project ,
104,bd.base,Group of persons that has general access to the BD Projects versions,
134,data.ArabEmirates,Data access to country ArabEmirates,[DATA] PRMS read-update
167,data.ArabEmirates.Economics,Data access to country ArabEmirates (economist),[DATA] PRMS create-read-update-delete 
122,data.ArabEmirates.Finance,Data access to country ArabEmirates (financials),[DATA] PRMS create-read-update-delete 
146,data.ArabEmirates.key,Data access to country ArabEmirates (full access),[DATA] PRMS full access
112,data.Australia,Data access to country Australia,[DATA] PRMS read-update
173,data.Australia.Economics,Data access to country Australia (economist),[DATA] PRMS create-read-update-delete 
133,data.Australia.Finance,Data access to country Australia (financials),[DATA] PRMS create-read-update-delete 
162,data.Australia.key,Data access to country Australia (full access),[DATA] PRMS full access
9,data.Austria,Data access to country Austria,[DATA] PRMS read-update
90,data.Austria.Economics,Data access to country Austria (economist),[DATA] PRMS create-read-update-delete 
96,data.Austria.Finance,Data access to country Austria (financials),[DATA] PRMS create-read-update-delete 
45,data.Austria.Key,Data access to country Austria (full access),[DATA] PRMS full access
33,data.BD.project,Business Development project ,Business Development power user HO
164,data.Bulgaria,Data access to country Bulgaria,[DATA] PRMS read-update
116,data.Bulgaria.Economics,Data access to country Bulgaria (economist),[DATA] PRMS create-read-update-delete 
154,data.Bulgaria.Finance,Data access to country Bulgaria (financials),[DATA] PRMS create-read-update-delete 
137,data.Bulgaria.key,Data access to country Bulgaria (full access),[DATA] PRMS full access
8,data.Corporate,Data access to ALL countries,[DATA] PRMS read-update
95,data.Corporate.Economics,Data access to ALL countries (economist),[DATA] PRMS create-read-update-delete 
101,data.Corporate.Finance,Data access to ALL countries (financials),[DATA] PRMS create-read-update-delete 
88,data.Corporate.key,Data access to ALL countries (full access),[DATA] PRMS full access
176,data.Everyone.Economics,combining all data.country.Economics,combining all data.country.Economics
149,data.Georgia,Data access to country Georgia,[DATA] PRMS read-update
152,data.Georgia.Economics,Data access to country Georgia (economist),[DATA] PRMS create-read-update-delete 
129,data.Georgia.Finance,Data access to country Georgia (financials),[DATA] PRMS create-read-update-delete 
126,data.Georgia.key,Data access to country Georgia (full access),[DATA] PRMS full access
138,data.Kurdistan,Data access to country Kurdistan,[DATA] PRMS read-update
140,data.Kurdistan.Economics,Data access to country Kurdistan (economist),[DATA] PRMS create-read-update-delete 
127,data.Kurdistan.Finance,Data access to country Kurdistan (financials),[DATA] PRMS create-read-update-delete 
150,data.Kurdistan.key,Data access to country Kurdistan (full access),[DATA] PRMS full access
63,data.Libya,Data access to country Libya,[DATA] PRMS read-update
94,data.Libya.Economics,Data access to country Libya (economist),[DATA] PRMS create-read-update-delete 
100,data.Libya.Finance,Data access to country Libya (financials),[DATA] PRMS create-read-update-delete 
64,data.Libya.key,Data access to country Libya (full access),[DATA] PRMS full access
169,data.Malaysia,Data access to country Malaysia,[DATA] PRMS read-update
174,data.Malaysia.Economics,Data access to country Malaysia (economist),[DATA] PRMS create-read-update-delete 
165,data.Malaysia.Finance,Data access to country Malaysia (financials),[DATA] PRMS create-read-update-delete 
159,data.Malaysia.key,Data access to country Malaysia (full access),[DATA] PRMS full access
158,data.Mexico,Data access to country Mexico,[DATA] PRMS read-update
130,data.Mexico.Economics,Data access to country Mexico (economist),[DATA] PRMS create-read-update-delete 
128,data.Mexico.Finance,Data access to country Mexico (financials),[DATA] PRMS create-read-update-delete 
145,data.Mexico.key,Data access to country Mexico (full access),[DATA] PRMS full access
115,data.NewZealand,Data access to country NewZealand,[DATA] PRMS read-update
136,data.NewZealand.Economics,Data access to country NewZealand (economist),[DATA] PRMS create-read-update-delete 
120,data.NewZealand.Finance,Data access to country NewZealand (financials),[DATA] PRMS create-read-update-delete 
153,data.NewZealand.key,Data access to country NewZealand (full access),[DATA] PRMS full access
10,data.Norway,Data access to country Norway,[DATA] PRMS read-update
91,data.Norway.Economics,Data access to country Norway (economist),[DATA] PRMS create-read-update-delete 
98,data.Norway.Finance,Data access to country Norway (financials),[DATA] PRMS create-read-update-delete 
46,data.Norway.Key,Data access to country Norway (full access),[DATA] PRMS full access
109,data.Reserves_resultsets,WG for AUCERNA Reserves to get the correct resultsets,only used for Reserves service account
123,data.Romania,Data access to country Romania,[DATA] PRMS read-update
111,data.Romania.Economics,Data access to country Romania (economist),[DATA] PRMS create-read-update-delete 
160,data.Romania.Finance,Data access to country Romania (financials),[DATA] PRMS create-read-update-delete 
170,data.Romania.key,Data access to country Romania (full access),[DATA] PRMS full access
11,data.Russia,Data access to country Russia,[DATA] PRMS read-update
92,data.Russia.Economics,Data access to country Russia (economist),[DATA] PRMS create-read-update-delete 
99,data.Russia.Finance,Data access to country Russia (financials),[DATA] PRMS create-read-update-delete 
47,data.Russia.Key,Data access to country Russia (full access),[DATA] PRMS full access
61,data.Tunisia,Data access to country Tunisia,[DATA] PRMS read-update
93,data.Tunisia.Economics,Data access to country Tunisia (economist),[DATA] PRMS create-read-update-delete 
97,data.Tunisia.Finance,Data access to country Tunisia (financials),[DATA] PRMS create-read-update-delete 
62,data.Tunisia.Key,Data access to country Tunisia (full access),[DATA] PRMS full access
148,data.Yemen,Data access to country Yemen,[DATA] PRMS read-update
114,data.Yemen.Economics,Data access to country Yemen (economist),[DATA] PRMS create-read-update-delete 
172,data.Yemen.Finance,Data access to country Yemen (financials),[DATA] PRMS create-read-update-delete 
151,data.Yemen.key,Data access to country Yemen (full access),[DATA] PRMS full access
21,DataFlow.key,Dataflow Key user ,Dataflow Key user in Branchoffice
22,DataFlow.power,Dataflow Power user,Dataflow Power user in Headoffice
40,Developer,internal & external developers,permissions needed for developers
24,Economics.key,Economics key user ,Economics user in Branchoffice
23,Economics.power,Economics power user,Economics power user in headoffice - global settings
42,Economics.regimes,additional permission for Economics user to access Regime Library,
177,Economics.regimes.readonly,readonly access to the regimes lib,readonly access to the regimes lib
89,Economics.unlock,Economics.unlock,
2,Everyone,Default workgroup.,This group consists only public permission on the engine.
30,Financials.key,Financials key user,Controlling key user in Branchoffice
29,Financials.power,Financials power user HO,Controlling power user  in Headoffice
43,Financials.regimes,additional permission for Financials user to access Regime Library,
166,Financials.unlock,Financials.unlock,
44,Input.Approve,Input.Approve,
48,Input.Confirm,Input.Confirm,
121,license.heavy,Heavy license users,to manage the license-requirments
131,license.light,Light licences users,to manage the license-requirments
65,Objects.unlock,Objects.unlock,
41,P2V.admin,Plan2Value administrators,permissions to almost everything
20,P2V.base,P2V base access,user are allowed to update their project data
7,P2V.developer,Group of internal/external developers,all external AUCERNA experts to support 
6,PetroVR,PetroVR user,Users are allowed to use Economics as a Service via PetroVR
25,Portfolio,Portfolio user,Portfolio power user in HO
110,profile.Admin.Developer,profile.Admin.Developer,
124,profile.Admin.Headoffice,profile.Admin.Headoffice,
163,profile.Economics.Headoffice,profile.Economics.Headoffice,
119,profile.Economics.local,profile.Economics.local,
171,profile.Finance.Headoffice,profile.Finance.Headoffice,
168,profile.Finance.local,profile.Finance.local,
141,profile.Finance.Regimes,profile.Finance.Regimes,
147,profile.LightUser.Headoffice,profile.LightUser.Headoffice,
139,profile.LightUser.local,profile.LightUser.local,
113,profile.PetroVR,profile.PetroVR,
155,profile.PP.Headoffice,profile.PP.Headoffice,
143,profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,
157,profile.PP.local,profile.PP.local,
144,profile.Projectmanager,profile.Projectmanager,
175,profile.Reserves.Headoffice,profile.Reserves.Headoffice,
156,profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,
118,profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,
161,profile.Reserves.local.Approve,profile.Reserves.local.Approve,
132,profile.Reserves.local.QRE,profile.Reserves.local.QRE,
142,profile.Reserves.readonly,profile.Reserves.readonly,
135,profile.Resources.Headoffice,profile.Resources.Headoffice,
125,profile.Resources.local,profile.Resources.local,
117,profile.Student.local,profile.Student.local,
37,Reporting,External Data interface using Odata,permissions to use Odata as interface
107,Reserves.Administrator,Reserves.Administrator,
69,Reserves.Approver,Reserves.Approver,
108,Reserves.Approver.bo,Reserves.Approver.bo,
106,Reserves.Approver.ho,Reserves.Approver.ho,
66,Reserves.base,Reserves.base,
32,Reserves.key,Reserves.key,
31,Reserves.power,Reserves.power,
68,Reserves.Security,Reserves.useradmin + Reserves.DataAdmin,
105,Reserves.Submitter,Reserves.Submitter,
79,temp.adjust.admin,temp.adjust.admin,
86,temp.adjust.admin.deny,temp.adjust.admin.deny,
80,temp.adjust.admin.readonly,temp.adjust.admin.readonly,
73,temp.adjust.eco,temp.adjust.eco,
75,temp.adjust.eco.deny,temp.adjust.eco.deny,
74,temp.adjust.eco.readonly,temp.adjust.eco.readonly,
76,temp.adjust.ecoresults,temp.adjust.ecoresults,
78,temp.adjust.ecoresults.deny,temp.adjust.ecoresults.deny,
77,temp.adjust.ecoresults.readonly,temp.adjust.ecoresults.readonly,
81,temp.adjust.fin,temp.adjust.fin,
87,temp.adjust.fin.deny,temp.adjust.fin.deny,
82,temp.adjust.fin.readonly,temp.adjust.fin.readonly,
83,temp.adjust.input,temp.adjust.input,
85,temp.adjust.input.deny,temp.adjust.input.deny,
84,temp.adjust.input.readonly,temp.adjust.input.readonly,
52,temp.admin,temp.admin,
54,temp.admin.deny,temp.admin.deny,
53,temp.admin.readonly,temp.admin.readonly,
49,temp.economics,temp.economics,
51,temp.economics.deny,temp.economics.deny,
50,temp.economics.readonly,temp.economics.readonly,
70,temp.ecoresults,temp.ecoresults,
72,temp.ecoresults.deny,temp.ecoresults.deny,
71,temp.ecoresults.readonly,temp.ecoresults.readonly,
55,temp.financials,temp.financials,
57,temp.financials.deny,temp.financials.deny,
56,temp.financials.readonly,temp.financials.readonly,
58,temp.input,temp.input,
