Id,Name,Description,Comments
1,Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.
39,Auditor,users can check auditlogs,permission to read and check audit-logs
102,bd.001.allow,Group of members with allow rights to manage a business development project ,
103,bd.001.deny,Group of members to deny any rights for a business development project ,
104,bd.base,Group of persons that has general access to the BD Projects versions,
154,data.ArabEmirates,data.ArabEmirates,
135,data.ArabEmirates.Economics,data.ArabEmirates.Economics,
134,data.ArabEmirates.Finance,data.ArabEmirates.Finance,
105,data.ArabEmirates.Key,data.ArabEmirates.Key,
140,data.Australia,data.Australia,
124,data.Australia.Economics,data.Australia.Economics,
151,data.Australia.Finance,data.Australia.Finance,
143,data.Australia.Key,data.Australia.Key,
9,data.Austria,OMV BO Austria users,standard access - no create and delete projects
90,data.Austria.Economics,data.Austria.Economics,economists access - create and delete projects and specific rights in PSE
96,data.Austria.Finance,data.Austria.Finance,finance access - create and delete projects and specific rights in PSF
45,data.Austria.Key,data.Austria.Key,PPP access 
33,data.BD.project,Business Development project ,Business Development power user HO
155,data.Bulgaria,data.Bulgaria,
125,data.Bulgaria.Economics,data.Bulgaria.Economics,
106,data.Bulgaria.Finance,data.Bulgaria.Finance,
119,data.Bulgaria.Key,data.Bulgaria.Key,
8,data.Corporate,OMV Headoffice users (corporate) ,standard access - no create and delete projects
95,data.Corporate.Economics,OMV Headoffice users (corporate) Economics,economists access - create and delete projects and specific rights in PSE
101,data.Corporate.Finance,OMV Headoffice users (corporate) Finance,finance access - create and delete projects and specific rights in PSF
88,data.Corporate.key,OMV Headoffice users (corporate) key ,PPP access 
116,data.Georgia,data.Georgia,
123,data.Georgia.Economics,data.Georgia.Economics,
142,data.Georgia.Finance,data.Georgia.Finance,
121,data.Georgia.Key,data.Georgia.Key,
139,data.Kurdistan,data.Kurdistan,
115,data.Kurdistan.Economics,data.Kurdistan.Economics,
136,data.Kurdistan.Finance,data.Kurdistan.Finance,
145,data.Kurdistan.Key,data.Kurdistan.Key,
63,data.Libya,data.Libya,standard access - no create and delete projects
94,data.Libya.Economics,data.Libya.Economics,economists access - create and delete projects and specific rights in PSE
100,data.Libya.Finance,data.Libya.Finance,finance access - create and delete projects and specific rights in PSF
64,data.Libya.key,data.Libya,PPP access 
148,data.Malaysia,data.Malaysia,
158,data.Malaysia.Economics,data.Malaysia.Economics,
160,data.Malaysia.Finance,data.Malaysia.Finance,
141,data.Malaysia.Key,data.Malaysia.Key,
126,data.Mexico,data.Mexico,
150,data.Mexico.Economics,data.Mexico.Economics,
157,data.Mexico.Finance,data.Mexico.Finance,
156,data.Mexico.Key,data.Mexico.Key,
147,data.NewZealand,data.NewZealand,
132,data.NewZealand.Economics,data.NewZealand.Economics,
114,data.NewZealand.Finance,data.NewZealand.Finance,
108,data.NewZealand.Key,data.NewZealand.Key,
10,data.Norway,OMV BO Norway users,standard access - no create and delete projects
91,data.Norway.Economics,data.Norway.Economics,economists access - create and delete projects and specific rights in PSE
98,data.Norway.Finance,data.Norway.Finance,finance access - create and delete projects and specific rights in PSF
46,data.Norway.Key,data.Norway.Key,PPP access 
12,data.Petrom,OMV Petrom users,are allowed to see on data from OMV Petrom
128,data.Romania,data.Romania,
159,data.Romania.Economics,data.Romania.Economics,
133,data.Romania.Finance,data.Romania.Finance,
153,data.Romania.Key,data.Romania.Key,
11,data.Russia,OMV BO Russia users,standard access - no create and delete projects
92,data.Russia.Economics,data.Russia.Economics,economists access - create and delete projects and specific rights in PSE
99,data.Russia.Finance,data.Russia.Finance,finance access - create and delete projects and specific rights in PSF
47,data.Russia.Key,data.Russia.Key,PPP access 
61,data.Tunisia,OMV BO Tunisia users,standard access - no create and delete projects
93,data.Tunisia.Economics,data.Tunisia.Economics,economists access - create and delete projects and specific rights in PSE
97,data.Tunisia.Finance,data.Tunisia.Finance,finance access - create and delete projects and specific rights in PSF
62,data.Tunisia.Key,data.Tunisia.Key,PPP access 
137,data.Yemen,data.Yemen,
146,data.Yemen.Economics,data.Yemen.Economics,
120,data.Yemen.Finance,data.Yemen.Finance,
129,data.Yemen.Key,data.Yemen.Key,
21,DataFlow.key,Dataflow Key user ,Dataflow Key user in Branchoffice
22,DataFlow.power,Dataflow Power user,Dataflow Power user in Headoffice
40,Developer,internal & external developers,permissions needed for developers
24,Economics.key,Economics key user ,Economics user in Branchoffice
23,Economics.power,Economics power user,Economics power user in headoffice - global settings
42,Economics.regimes,additional permission for Economics user to access Regime Library,
89,Economics.unlock,additional permission for Economics user to unlock entities ,
2,Everyone,Default workgroup.,This group consists only public permission on the engine.
30,Financials.key,Financials key user,Controlling key user in Branchoffice
29,Financials.power,Financials power user HO,Controlling power user  in Headoffice
43,Financials.regimes,additional permission for Financials user to access Regime Library,
44,Input.Approve,Input.Approve,
48,Input.Confirm,Input.Confirm,
,license.heavy,Heavy license users,
,license.light,Light licences users,
65,Objects.unlock,Objects.unlock,
41,P2V.admin,Plan2Value administrators - NEW,permissions to almost everything
20,P2V.base,P2V base access,user are allowed to update their project data
7,P2V.developer,Group of internal/external developers,all external AUCERNA experts to support 
6,PetroVR,PetroVR user,Users are allowed to use Economics as a Service ; DataLoader
25,Portfolio,Portfolio user,Portfolio power user in HO
122,profile.Economics.Headoffice,profile.Economics.Headoffice,
113,profile.Economics.local,profile.Economics.local,
138,profile.Finance.Headoffice,profile.Finance.Headoffice,
117,profile.Finance.local,profile.Finance.local,
110,profile.Finance.Regimes,profile.Finance.Regimes,
162,profile.LightUser.Headoffice,profile.Light User.Headoffice,
161,profile.LightUser.local,profile.Light User.local,
112,profile.PetroVR,profile.PetroVR,
127,profile.PP.Headoffice,profile.PP.Headoffice,
107,profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,
118,profile.PP.local,profile.PP.local,
152,profile.Projectmanager,profile.Projectmanager,
144,profile.Reserves.Headoffice,profile.Reserves.Headoffice,
130,profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,
131,profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,
149,profile.Reserves.local.QRE,profile.Reserves.local.QRE,
109,profile.Resources.Headoffice,profile.Resources.Headoffice,
111,profile.Resources.local,profile.Resources.local,
37,Reporting,External Data interface using Odata,permissions to use Odata as interface
69,Reserves.Approver,Reserves.Approver,
66,Reserves.base,Reserves.base,
32,Reserves.key,Resources/Reserves key user,Reserves key user  + QREs
31,Reserves.power,Resources/Reserves power user HO,Reserves power user in Headoffice
68,Reserves.Security,Reserves.useradmin + Reserves.DataAdmin,
79,temp.adjust.admin,temp.adjust.admin,
86,temp.adjust.admin.deny,temp.adjust.admin.deny,
80,temp.adjust.admin.readonly,temp.adjust.admin.readonly,
73,temp.adjust.eco,temp.adjust.eco,
75,temp.adjust.eco.deny,temp.adjust.eco.deny,
74,temp.adjust.eco.readonly,temp.adjust.eco.readonly,
76,temp.adjust.ecoresults,temp.adjust.ecoresults,
78,temp.adjust.ecoresults.deny,temp.adjust.ecoresults.deny,
77,temp.adjust.ecoresults.readonly,temp.adjust.ecoresults.readonly,
81,temp.adjust.fin,temp.adjust.fin,
87,temp.adjust.fin.deny,temp.adjust.fin.deny,
82,temp.adjust.fin.readonly,temp.adjust.fin.readonly,
83,temp.adjust.input,temp.adjust.input,
85,temp.adjust.input.deny,temp.adjust.input.deny,
84,temp.adjust.input.readonly,temp.adjust.input.readonly,
52,temp.admin,temp.admin,
54,temp.admin.deny,temp.admin.deny,
53,temp.admin.readonly,temp.admin.readonly,
49,temp.economics,temp.economics,
51,temp.economics.deny,temp.economics.deny,
50,temp.economics.readonly,temp.economics.readonly,
70,temp.ecoresults,temp.ecoresults,
72,temp.ecoresults.deny,temp.ecoresults.deny,
71,temp.ecoresults.readonly,temp.ecoresults.readonly,
55,temp.financials,temp.financials,
57,temp.financials.deny,temp.financials.deny,
56,temp.financials.readonly,temp.financials.readonly,
58,temp.input,temp.input,
60,temp.input.deny,temp.input.deny,
59,temp.input.readonly,temp.input.readonly,
38,User.admin,User for useradministration,permissions to add/change users + workgroups + assignments
