id,name,description,comments,isEveryoneWorkgroup,isAdministratorWorkgroup,users,allowedRoles,deniedRoles
1,Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.,False,True,@{1=; 16=; 45=; 155=; 186=; 204=; 228=; 242=; 243=; 251=; 260=; 261=; 262=; 263=; 264=},,
39,Development,Development Department,,False,False,@{68=},,
2,Everyone,Default workgroup.,This group consists only public permission on the engine.,True,False,@{143=; 215=; 1=; 201=; 186=; 227=; 44=; 211=; 165=; 221=; 220=; 198=; 244=; 21=; 248=; 251=; 182=; 254=; 208=; 16=; 126=; 80=; 230=; 14=; 247=; 166=; 173=; 246=; 259=; 98=; 168=; 223=; 30=; 152=; 8=; 51=; 255=; 222=; 225=; 94=; 97=; 91=; 228=; 184=; 207=; 4=; 239=; 237=; 257=; 224=; 174=; 160=; 185=; 155=; 231=; 108=; 229=; 175=; 236=; 71=; 19=; 170=; 192=; 167=; 240=; 24=; 217=; 90=; 216=; 156=; 204=; 68=; 249=; 10=; 34=; 252=; 232=; 48=; 32=; 162=; 110=; 7=; 112=; 69=; 63=; 258=; 261=; 86=; 199=; 149=; 253=; 226=; 124=; 243=; 116=; 87=; 242=; 180=; 260=; 121=; 196=; 178=; 99=; 127=; 238=; 263=; 181=; 88=; 212=; 206=; 2=; 100=; 58=; 241=; 256=; 234=; 46=; 264=; 103=; 191=; 141=; 235=; 188=; 129=; 190=; 210=; 245=; 209=; 233=; 200=; 177=; 159=; 27=; 75=; 142=; 179=; 164=; 262=; 219=; 146=; 250=; 202=; 42=; 45=; 197=; 22=; 52=},,
20,Exploration,Exploration and Appraisal Economics users,,False,False,,,
27,HO_Plan_Users,Read rights only,,False,False,@{14=; 27=; 98=; 168=; 179=; 180=; 206=; 224=; 245=; 258=},,
24,Intern,Reading rights for interns,,False,False,@{226=; 234=},,
10,OMV_Australia,Australia Economists,,False,False,@{129=; 230=},,
12,OMV_Austria,Austria Economists,,False,False,@{4=; 24=; 48=; 100=; 126=; 149=; 210=; 219=; 225=},,
7,OMV_HO_Controller,HO Controller,,False,False,@{32=; 52=; 91=; 127=; 149=; 166=; 185=; 190=; 192=; 196=; 198=; 207=; 209=; 220=; 249=; 250=; 256=},,
8,OMV_Kazakhstan,Kazakhstan Economists,,False,False,@{7=; 51=; 166=; 227=},,
16,OMV_Kurdistan,Controlling Kurdistan,.,False,False,@{21=; 34=; 42=; 63=; 69=},,
11,OMV_Libya,Libya Economists,,False,False,@{2=; 21=; 34=; 42=; 46=; 63=; 69=; 99=; 121=; 167=; 191=; 207=; 257=},,
31,OMV_MEA_Hub_Users,MEA Hub economist Only,,False,False,@{21=; 42=; 63=; 69=; 215=},,
32,OMV_MEA_PPP_Users,Non economists in MEA Hub,,False,False,@{2=; 14=; 97=; 121=; 191=; 215=; 232=; 235=},,
15,OMV_MTP_Plan_Users,for Portfolio Group,Plan user group with read access to the MTP hierarchies,False,False,@{156=; 206=; 224=; 248=},,
17,OMV_Norway,Norway Economists,,False,False,@{51=; 80=; 86=; 103=; 116=; 124=; 211=},,
4,OMV_NZL,New Zealand Economists,,False,False,@{129=; 197=; 230=},,
14,OMV_Pakistan,Pakistan Economists,,False,False,@{2=; 21=; 42=; 63=; 69=; 71=; 202=},,
33,OMV_Russia,Russia Workgroup,,False,False,@{152=; 198=; 199=},,
34,OMV_Russia_Indicative,Russia Indicative Economics Groupe,,False,False,@{146=; 152=; 199=; 200=},,
3,OMV_Tunisia,Tunisia Economists,,False,False,@{21=; 30=; 42=; 63=; 69=; 88=; 94=; 233=},,
18,OMV_UAE,UAE Economists,,False,False,@{2=; 21=; 34=; 42=; 63=; 69=; 121=; 159=},,
26,OMV_YEM_Indicative,Technical people,,False,False,@{141=; 142=; 143=},,
9,OMV_Yemen,Yemen Controller MTP,,False,False,@{2=; 21=; 34=; 63=; 69=; 75=; 121=},,
29,Petrom_Users,RO Economists,,False,False,@{8=; 58=; 155=; 173=; 174=; 175=; 177=; 178=; 181=; 222=; 225=; 247=},,
35,PPP_Users_AUS,PPP Users NZ,,False,False,@{97=; 164=; 252=; 253=},,
36,PPP_Users_AUT,PPP_Users_AUT,,False,False,@{126=; 165=; 188=; 210=; 223=},,
40,PPP_Users_MEA,PPP Users MEA,,False,False,@{14=; 191=; 235=; 257=},,
37,PPP_Users_NOS,Norway PPP,,False,False,@{103=; 112=; 116=; 124=; 221=; 231=},,
38,PPP_Users_RUS,Russia PPP,,False,False,@{146=},,
30,RO_Plan_Users,Petrom Data Read Rights,,False,False,@{90=; 160=; 178=; 181=; 182=; 184=; 254=},,
41,SapuraOMV_Malaysia,Economics & PPP team Malaysia,,False,False,@{141=; 236=; 237=; 238=; 239=; 240=; 241=},,
42,SecurityAdministrators,Default Security Administrators,,False,False,,,
28,Temp,Temp group,,False,False,@{2=; 10=; 14=; 21=; 27=; 34=; 42=; 44=; 45=; 48=; 51=; 52=; 63=; 69=; 71=; 80=; 86=; 87=; 94=; 98=; 99=; 103=; 108=; 110=; 121=; 124=; 126=; 127=; 129=; 142=; 143=; 146=; 156=; 159=; 162=; 164=; 165=; 166=; 167=; 168=},,
19,TM1Users,TM1Users,,False,False,@{24=; 52=; 121=; 155=; 166=; 190=; 250=; 256=},,
