id,name,description,comments,isEveryoneWorkgroup,isAdministratorWorkgroup,users,allowedRoles,deniedRoles
1,Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.,False,True,,,
39,Auditor,users can check auditlogs,permission to read and check audit-logs,False,False,,,
102,bd.001.allow,Group of members with allow rights to manage a business development project ,,False,False,,,
103,bd.001.deny,Group of members to deny any rights for a business development project ,,False,False,,,
104,bd.base,Group of persons that has general access to the BD Projects versions,,False,False,,,
9,data.Austria,OMV BO Austria users,standard access - no create and delete projects,False,False,,,
90,data.Austria.Economics,data.Austria.Economics,economists access - create and delete projects and specific rights in PSE,False,False,,,
96,data.Austria.Finance,data.Austria.Finance,finance access - create and delete projects and specific rights in PSF,False,False,,,
45,data.Austria.Key,data.Austria.Key,PPP access ,False,False,,,
33,data.BD.project,Business Development project ,Business Development power user HO,False,False,,,
8,data.Corporate,OMV Headoffice users (corporate) ,standard access - no create and delete projects,False,False,,,
95,data.Corporate.Economics,OMV Headoffice users (corporate) Economics,economists access - create and delete projects and specific rights in PSE,False,False,,,
101,data.Corporate.Finance,OMV Headoffice users (corporate) Finance,finance access - create and delete projects and specific rights in PSF,False,False,,,
88,data.Corporate.key,OMV Headoffice users (corporate) key ,PPP access ,False,False,,,
63,data.Libya,data.Libya,standard access - no create and delete projects,False,False,,,
94,data.Libya.Economics,data.Libya.Economics,economists access - create and delete projects and specific rights in PSE,False,False,,,
100,data.Libya.Finance,data.Libya.Finance,finance access - create and delete projects and specific rights in PSF,False,False,,,
64,data.Libya.key,data.Libya,PPP access ,False,False,,,
10,data.Norway,OMV BO Norway users,standard access - no create and delete projects,False,False,,,
91,data.Norway.Economics,data.Norway.Economics,economists access - create and delete projects and specific rights in PSE,False,False,,,
98,data.Norway.Finance,data.Norway.Finance,finance access - create and delete projects and specific rights in PSF,False,False,,,
46,data.Norway.Key,data.Norway.Key,PPP access ,False,False,,,
12,data.Petrom,OMV Petrom users,are allowed to see on data from OMV Petrom,False,False,,,
11,data.Russia,OMV BO Russia users,standard access - no create and delete projects,False,False,,,
92,data.Russia.Economics,data.Russia.Economics,economists access - create and delete projects and specific rights in PSE,False,False,,,
99,data.Russia.Finance,data.Russia.Finance,finance access - create and delete projects and specific rights in PSF,False,False,,,
47,data.Russia.Key,data.Russia.Key,PPP access ,False,False,,,
61,data.Tunisia,OMV BO Tunisia users,standard access - no create and delete projects,False,False,,,
93,data.Tunisia.Economics,data.Tunisia.Economics,economists access - create and delete projects and specific rights in PSE,False,False,,,
97,data.Tunisia.Finance,data.Tunisia.Finance,finance access - create and delete projects and specific rights in PSF,False,False,,,
62,data.Tunisia.Key,data.Tunisia.Key,PPP access ,False,False,,,
21,DataFlow.key,Dataflow Key user ,Dataflow Key user in Branchoffice,False,False,,,
22,DataFlow.power,Dataflow Power user,Dataflow Power user in Headoffice,False,False,,,
40,Developer,internal & external developers,permissions needed for developers,False,False,,,
24,Economics.key,Economics key user ,Economics user in Branchoffice,False,False,,,
23,Economics.power,Economics power user,Economics power user in headoffice - global settings,False,False,,,
42,Economics.regimes,additional permission for Economics user to access Regime Library,,False,False,,,
89,Economics.unlock,additional permission for Economics user to unlock entities ,,False,False,,,
2,Everyone,Default workgroup.,This group consists only public permission on the engine.,True,False,,,
30,Financials.key,Financials key user,Controlling key user in Branchoffice,False,False,,,
29,Financials.power,Financials power user HO,Controlling power user  in Headoffice,False,False,,,
43,Financials.regimes,additional permission for Financials user to access Regime Library,,False,False,,,
44,Input.Approve,Input.Approve,,False,False,,,
48,Input.Confirm,Input.Confirm,,False,False,,,
65,Objects.unlock,Objects.unlock,,False,False,,,
41,P2V.admin,Plan2Value administrators,permissions to almost everything,False,False,,,
20,P2V.base,P2V base access,user are allowed to update their project data,False,False,,,
7,P2V.developer,Group of internal/external developers,all external AUCERNA experts to support ,False,False,,,
6,PetroVR,PetroVR user,Users are allowed to use Economics as a Service ; DataLoader,False,False,,,
25,Portfolio,Portfolio user,Portfolio power user in HO,False,False,,,
37,Reporting,External Data interface using Odata,permissions to use Odata as interface,False,False,,,
69,Reserves.Approver,Reserves.Approver,,False,False,,,
66,Reserves.base,Reserves.base,,False,False,,,
32,Reserves.key,Resources/Reserves key user,Reserves key user  + QREs,False,False,,,
31,Reserves.power,Resources/Reserves power user HO,Reserves power user in Headoffice,False,False,,,
68,Reserves.Security,Reserves.useradmin + Reserves.DataAdmin,,False,False,,,
79,temp.adjust.admin,temp.adjust.admin,,False,False,,,
86,temp.adjust.admin.deny,temp.adjust.admin.deny,,False,False,,,
