id,name,description,comments,isEveryoneWorkgroup,isAdministratorWorkgroup,users,allowedRoles,deniedRoles
1,Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.,False,True,,,
39,Auditor,users can check auditlogs,permission to read and check audit-logs,False,False,,,
102,bd.001.allow,Group of members with allow rights to manage a business development project ,,False,False,,,
103,bd.001.deny,Group of members to deny any rights for a business development project ,,False,False,,,
121,bd.access.01,Access group for Neptun,,False,False,,,
112,bd.access.02,Access group for BD Test1 (N),,False,False,,,
155,bd.access.03,Access group for BD Test2+Test3 (S+C),,False,False,,,
104,bd.base,General workgroup that has access to the BD hierarchy,,False,False,,,
157,bd.deny.01,Deny group for Neptun,,False,False,,,
113,bd.deny.02,Deny group for BD Test1 (N),,False,False,,,
163,bd.deny.03,Deny group for BD Test2+Test3 (S+C),,False,False,,,
159,data.ArabEmirates,Data access to country ArabEmirates,[DATA] PRMS read-update,False,False,,,
139,data.ArabEmirates.Economics,Data access to UAE for BO Economists,,False,False,,,
111,data.ArabEmirates.key,Data access to country ArabEmirates (full access),[DATA] PRMS full access,False,False,,,
144,data.Australia,Data access to country Australia,[DATA] PRMS read-update,False,False,,,
131,data.Australia.Economics,Data access to Australia for BO Economists,,False,False,,,
147,data.Australia.key,Data access to country Australia (full access),[DATA] PRMS full access,False,False,,,
9,data.Austria,Data access to country Austria,[DATA] PRMS read-update,False,False,,,
90,data.Austria.Economics,Data access to country Austria (Eco),,False,False,,,
96,data.Austria.Finance,Data access to country Austria (Fin),,False,False,,,
45,data.Austria.Key,Data access to country Austria (full access),[DATA] PRMS full access,False,False,,,
33,data.BD.project,Business Development project ,Business Development power user HO,False,False,,,
160,data.Bulgaria,Data access to country Bulgaria,[DATA] PRMS read-update,False,False,,,
132,data.Bulgaria.Economics,Data access to Bulgaria for BO Economists,,False,False,,,
126,data.Bulgaria.key,Data access to country Bulgaria (full access),[DATA] PRMS full access,False,False,,,
8,data.Corporate,Data access to ALL countries,[DATA] PRMS read-update,False,False,,,
95,data.Corporate.Economics,Data access to ALL countries (Eco),,False,False,,,
101,data.Corporate.Finance,Data access to ALL countries (Fin),,False,False,,,
88,data.Corporate.key,Data access to ALL countries (full access),[DATA] PRMS full access,False,False,,,
123,data.Georgia,Data access to country Georgia,[DATA] PRMS read-update,False,False,,,
130,data.Georgia.Economics,Data access to Georgia for BO Economists,,False,False,,,
128,data.Georgia.key,Data access to country Georgia (full access),[DATA] PRMS full access,False,False,,,
143,data.Kurdistan,Data access to country Kurdistan,[DATA] PRMS read-update,False,False,,,
122,data.Kurdistan.Economics,Data access to KRI for BO Economists,,False,False,,,
150,data.Kurdistan.key,Data access to country Kurdistan (full access),[DATA] PRMS full access,False,False,,,
63,data.Libya,Data access to country Libya,[DATA] PRMS read-update,False,False,,,
94,data.Libya.Economics,Data access to country Libya (Eco),,False,False,,,
100,data.Libya.Finance,Data access to country Libya (Fin),,False,False,,,
64,data.Libya.key,Data access to country Libya (full access),[DATA] PRMS full access,False,False,,,
154,data.Malaysia,Data access to country Malaysia,[DATA] PRMS read-update,False,False,,,
145,data.Malaysia.key,Data access to country Malaysia (full access),[DATA] PRMS full access,False,False,,,
133,data.Mexico,Data access to country Mexico,[DATA] PRMS read-update,False,False,,,
162,data.Mexico.key,Data access to country Mexico (full access),[DATA] PRMS full access,False,False,,,
153,data.NewZealand,Data access to country NewZealand,[DATA] PRMS read-update,False,False,,,
136,data.NewZealand.Economics,Data access to UAE for BO Economists,,False,False,,,
115,data.NewZealand.key,Data access to country NewZealand (full access),[DATA] PRMS full access,False,False,,,
10,data.Norway,Data access to country Norway,[DATA] PRMS read-update,False,False,,,
91,data.Norway.Economics,Data access to country Norway (Eco),,False,False,,,
98,data.Norway.Finance,Data access to country Norway (Fin),,False,False,,,
46,data.Norway.Key,Data access to country Norway (full access),[DATA] PRMS full access,False,False,,,
12,data.Petrom,OMV Petrom users,are allowed to see on data from OMV Petrom,False,False,,,
109,data.Reserves_resultsets,WG for AUCERNA Reserves to get the correct resultsets,,False,False,,,
135,data.Romania,Data access to country Romania,[DATA] PRMS read-update,False,False,,,
164,data.Romania.economics,Data access to Romania for BO Economists,,False,False,,,
158,data.Romania.key,Data access to country Romania (full access),[DATA] PRMS full access,False,False,,,
11,data.Russia,Data access to country Russia,[DATA] PRMS read-update,False,False,,,
92,data.Russia.Economics,Data access to country Russia (Eco),,False,False,,,
99,data.Russia.Finance,Data access to country Russia (Fin),,False,False,,,
47,data.Russia.Key,Data access to country Russia (full access),[DATA] PRMS full access,False,False,,,
