id,name,description,comments,isEveryoneWorkgroup,isAdministratorWorkgroup,users,allowedRoles,deniedRoles
1,Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.,False,True,@{1=; 4=; 5=; 7=; 10=; 11=; 15=; 17=; 20=; 28=; 31=; 65=; 85=; 100=; 115=; 119=; 125=; 126=; 201=; 211=; 248=; 349=; 459=},,
39,Auditor,users can check auditlogs,permission to read and check audit-logs,False,False,@{5=; 7=; 15=; 18=},,
102,bd.001.allow,Group of members with allow rights to manage a business development project ,,False,False,@{5=; 15=},,
103,bd.001.deny,Group of members to deny any rights for a business development project ,,False,False,@{3=; 4=; 7=; 8=; 9=; 10=; 12=; 14=; 18=; 19=; 21=; 23=; 24=; 33=; 34=; 42=; 43=; 53=; 59=; 60=; 63=; 65=; 71=; 85=; 87=; 115=; 134=; 135=; 136=; 138=; 140=; 147=; 148=; 158=; 161=; 162=; 163=; 164=; 165=; 166=; 187=; 210=; 211=; 218=; 233=; 240=; 242=; 263=; 277=; 282=; 283=; 295=; 303=; 308=; 315=; 332=; 338=; 343=; 344=; 346=; 352=; 362=; 365=; 373=; 374=; 375=; 382=; 386=; 388=; 399=; 410=; 411=; 421=; 424=; 432=; 450=; 461=; 463=; 464=; 465=; 467=; 468=; 469=; 470=; 471=; 473=; 474=; 476=; 477=; 480=; 485=; 486=; 488=; 489=; 493=; 494=; 495=; 496=; 497=; 498=; 503=; 504=; 505=; 506=; 507=; 508=; 509=; 510=; 511=; 512=; 514=; 515=; 517=; 518=; 522=},,
121,bd.access.01,Access group for Neptun,,False,False,@{4=; 5=; 7=; 15=; 31=},,
112,bd.access.02,Access group for BD Test1 (N),,False,False,@{4=; 5=; 7=; 15=; 31=},,
155,bd.access.03,Access group for BD Test2+Test3 (S+C),,False,False,@{4=; 5=; 7=; 15=; 31=},,
104,bd.base,General workgroup that has access to the BD hierarchy,,False,False,@{4=; 5=; 7=; 15=},,
157,bd.deny.01,Deny group for Neptun,,False,False,@{3=; 8=; 10=; 12=; 14=; 17=; 19=; 21=; 23=; 24=; 33=; 34=; 42=; 43=; 53=; 59=; 60=; 63=; 65=; 71=; 85=; 87=; 100=; 115=; 134=; 135=; 136=; 138=; 140=; 147=; 148=; 161=; 162=; 163=; 164=; 165=; 166=; 187=; 210=; 211=; 218=; 233=; 240=; 242=; 248=; 263=; 277=; 282=; 283=; 295=; 303=; 308=; 315=; 332=; 338=; 343=; 344=; 346=; 350=; 352=; 362=; 365=; 373=; 374=; 375=; 382=; 386=; 388=; 399=; 410=; 411=; 421=; 424=; 432=; 450=; 461=; 463=; 464=; 465=; 467=; 468=; 469=; 470=; 471=; 473=; 474=; 476=; 477=; 480=; 485=; 486=; 488=; 489=; 493=; 494=; 495=; 496=; 497=; 498=; 503=; 504=; 505=; 506=; 507=; 508=; 509=; 510=; 511=; 512=; 514=; 515=; 517=; 518=; 522=},,
113,bd.deny.02,Deny group for BD Test1 (N),,False,False,@{3=; 8=; 10=; 12=; 14=; 17=; 19=; 21=; 23=; 24=; 33=; 34=; 42=; 43=; 53=; 59=; 60=; 63=; 65=; 71=; 85=; 87=; 100=; 115=; 134=; 135=; 136=; 138=; 140=; 147=; 148=; 161=; 162=; 163=; 164=; 165=; 166=; 187=; 210=; 211=; 218=; 233=; 240=; 242=; 248=; 263=; 277=; 282=; 283=; 295=; 303=; 308=; 315=; 332=; 338=; 343=; 344=; 346=; 350=; 352=; 362=; 365=; 373=; 374=; 375=; 382=; 386=; 388=; 399=; 410=; 411=; 421=; 424=; 432=; 450=; 461=; 463=; 464=; 465=; 467=; 468=; 469=; 470=; 471=; 473=; 474=; 476=; 477=; 480=; 485=; 486=; 488=; 489=; 493=; 494=; 495=; 496=; 497=; 498=; 503=; 504=; 505=; 506=; 507=; 508=; 509=; 510=; 511=; 512=; 514=; 515=; 517=; 518=; 522=},,
