id,name,description,comments,isEveryoneWorkgroup,isAdministratorWorkgroup,users,allowedRoles,deniedRoles
1,Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.,False,True,@{1=; 5=; 7=; 15=; 17=; 20=; 201=},,
39,Auditor,users can check auditlogs,permission to read and check audit-logs,False,False,@{7=; 17=; 18=; 25=; 46=},,
102,bd.001.allow,Group of members with allow rights to manage a business development project ,,False,False,@{7=; 15=; 60=; 126=},,
103,bd.001.deny,Group of members to deny any rights for a business development project ,,False,False,@{2=; 3=; 4=; 5=; 9=; 10=; 12=; 14=; 17=; 18=; 19=; 20=; 23=; 24=; 25=; 26=; 28=; 29=; 31=; 33=; 34=; 36=; 39=; 41=; 42=; 43=; 46=; 51=; 53=; 55=; 58=; 59=; 63=; 65=; 71=; 74=; 76=; 78=; 80=; 82=; 85=; 87=; 89=; 90=; 92=; 107=; 111=; 115=; 119=; 125=; 127=; 132=; 147=; 151=; 155=; 158=; 161=; 162=; 163=; 164=; 165=; 167=; 172=; 173=; 175=; 178=; 179=; 187=; 188=; 189=; 194=; 195=; 197=; 200=; 201=; 205=; 207=; 208=; 209=; 210=; 211=; 212=; 213=; 214=; 215=; 216=},,
129,bd.access.01,Access group for Neptun,,False,False,,,
115,bd.access.02,Access group for BD Test1 (N),,False,False,,,
177,bd.access.03,Access group for BD Test2+Test3 (S+C),,False,False,,,
104,bd.base,General workgroup that has access to the BD hierarchy,,False,False,@{5=; 15=; 20=; 28=; 39=; 60=; 126=},,
180,bd.deny.01,Deny group for Neptun,,False,False,,,
117,bd.deny.02,Deny group for BD Test1 (N),,False,False,,,
188,bd.deny.03,Deny group for BD Test2+Test3 (S+C),,False,False,,,
182,data.ArabEmirates,Data access to country UnitedArabEmirates,[DATA] PRMS read-update,False,False,@{216=; 217=; 229=},,
157,data.ArabEmirates.Economics,Data access to country UnitedArabEmirates (economist),[DATA] PRMS create-read-update-delete ,False,False,,,
156,data.ArabEmirates.Finance,Data access to country UnitedArabEmirates (financials),[DATA] PRMS create-read-update-delete ,False,False,,,
114,data.ArabEmirates.key,Data access to country UnitedArabEmirates (full access),[DATA] PRMS full access,False,False,,,
163,data.Australia,Data access to country Australia,[DATA] PRMS read-update,False,False,@{233=; 237=; 242=; 244=; 245=; 248=},,
142,data.Australia.Economics,Data access to country Australia (economist),[DATA] PRMS create-read-update-delete ,False,False,,,
179,data.Australia.Finance,Data access to country Australia (financials),[DATA] PRMS create-read-update-delete ,False,False,,,
167,data.Australia.key,Data access to country Australia (full access),[DATA] PRMS full access,False,False,,,
9,data.Austria,Data access to country Austria,[DATA] PRMS read-update,False,False,@{3=; 14=; 23=; 25=; 55=; 58=; 71=; 76=; 78=; 82=; 89=; 90=; 92=; 95=; 107=; 111=; 119=; 161=; 172=; 173=; 175=; 178=; 179=; 187=; 205=; 210=; 215=; 216=},,
90,data.Austria.Economics,Data access to country Austria (economist),[DATA] PRMS create-read-update-delete ,False,False,@{14=; 71=; 187=},,
96,data.Austria.Finance,Data access to country Austria (financials),[DATA] PRMS create-read-update-delete ,False,False,@{71=; 90=; 172=},,
45,data.Austria.Key,Data access to country Austria (full access),[DATA] PRMS full access,False,False,@{23=; 25=; 111=; 215=; 216=},,
33,data.BD.project,Business Development project ,Business Development power user HO,False,False,,,
183,data.Bulgaria,Data access to country Bulgaria,[DATA] PRMS read-update,False,False,@{134=; 135=; 136=; 138=; 140=; 148=; 218=; 219=; 227=; 228=; 231=; 235=},,
143,data.Bulgaria.Economics,Data access to country Bulgaria (economist),[DATA] PRMS create-read-update-delete ,False,False,,,
119,data.Bulgaria.Finance,Data access to country Bulgaria (financials),[DATA] PRMS create-read-update-delete ,False,False,,,
134,data.Bulgaria.key,Data access to country Bulgaria (full access),[DATA] PRMS full access,False,False,,,
8,data.Corporate,Data access to ALL countries,[DATA] PRMS read-update,False,False,@{5=; 7=; 8=; 9=; 10=; 12=; 15=; 17=; 19=; 20=; 26=; 28=; 29=; 31=; 33=; 34=; 39=; 41=; 43=; 46=; 53=; 59=; 65=; 87=; 95=; 115=; 119=; 125=; 126=; 127=; 151=; 155=; 165=; 167=; 188=; 189=; 194=; 195=; 197=; 201=; 207=; 211=; 212=; 213=},,
95,data.Corporate.Economics,Data access to ALL countries (economist),[DATA] PRMS create-read-update-delete ,False,False,@{7=; 19=; 26=; 28=; 33=; 39=; 43=; 46=; 87=; 125=; 126=; 151=; 212=},,
101,data.Corporate.Finance,Data access to ALL countries (financials),[DATA] PRMS create-read-update-delete ,False,False,@{5=; 29=; 31=; 33=; 46=; 59=; 87=; 119=; 125=; 151=; 155=; 188=; 189=; 197=},,
88,data.Corporate.key,Data access to ALL countries (full access),[DATA] PRMS full access,False,False,@{15=; 17=; 20=; 33=; 53=; 125=},,
153,data.Everyone.Economics,combining all data.country.Economics,combining all data.country.Economics,False,False,,,
131,data.Georgia,Data access to country Georgia,[DATA] PRMS read-update,False,False,@{134=; 135=; 136=; 138=; 140=; 148=; 218=; 219=; 227=; 228=; 231=; 235=},,
141,data.Georgia.Economics,Data access to country Georgia (economist),[DATA] PRMS create-read-update-delete ,False,False,,,
118,data.Georgia.Finance,Data access to country Georgia (financials),[DATA] PRMS create-read-update-delete ,False,False,,,
138,data.Georgia.key,Data access to country Georgia (full access),[DATA] PRMS full access,False,False,,,
162,data.Kurdistan,Data access to country Kurdistan,[DATA] PRMS read-update,False,False,@{216=; 217=; 229=},,
130,data.Kurdistan.Economics,Data access to country Kurdistan (economist),[DATA] PRMS create-read-update-delete ,False,False,,,
158,data.Kurdistan.Finance,Data access to country Kurdistan (financials),[DATA] PRMS create-read-update-delete ,False,False,,,
170,data.Kurdistan.key,Data access to country Kurdistan (full access),[DATA] PRMS full access,False,False,,,
63,data.Libya,Data access to country Libya,[DATA] PRMS read-update,False,False,@{187=; 230=},,
94,data.Libya.Economics,Data access to country Libya (economist),[DATA] PRMS create-read-update-delete ,False,False,@{187=},,
100,data.Libya.Finance,Data access to country Libya (financials),[DATA] PRMS create-read-update-delete ,False,False,@{187=},,
64,data.Libya.key,Data access to country Libya (full access),[DATA] PRMS full access,False,False,,,
173,data.Malaysia,Data access to country Malaysia,[DATA] PRMS read-update,False,False,@{21=; 220=; 221=; 222=; 223=; 232=; 234=; 238=; 239=; 240=; 241=; 246=; 247=},,
190,data.Malaysia.Economics,Data access to country Malaysia (economist),[DATA] PRMS create-read-update-delete ,False,False,,,
192,data.Malaysia.Finance,Data access to country Malaysia (financials),[DATA] PRMS create-read-update-delete ,False,False,,,
164,data.Malaysia.key,Data access to country Malaysia (full access),[DATA] PRMS full access,False,False,,,
144,data.Mexico,Data access to country Mexico,[DATA] PRMS read-update,False,False,@{21=; 220=; 221=; 223=; 232=; 234=; 238=; 240=; 241=; 246=; 247=},,
175,data.Mexico.Economics,Data access to country Mexico (economist),[DATA] PRMS create-read-update-delete ,False,False,,,
111,data.Mexico.Finance,Data access to country Mexico (financials),[DATA] PRMS create-read-update-delete ,False,False,,,
187,data.Mexico.key,Data access to country Mexico (full access),[DATA] PRMS full access,False,False,,,
172,data.NewZealand,Data access to country NewZealand,[DATA] PRMS read-update,False,False,@{233=; 237=; 242=; 243=; 244=; 245=; 248=},,
151,data.NewZealand.Economics,Data access to country NewZealand (economist),[DATA] PRMS create-read-update-delete ,False,False,,,
127,data.NewZealand.Finance,Data access to country NewZealand (financials),[DATA] PRMS create-read-update-delete ,False,False,,,
121,data.NewZealand.key,Data access to country NewZealand (full access),[DATA] PRMS full access,False,False,,,
10,data.Norway,Data access to country Norway,[DATA] PRMS read-update,False,False,@{8=; 24=; 42=; 60=; 63=; 80=; 147=; 162=; 163=; 164=; 187=; 209=},,
91,data.Norway.Economics,Data access to country Norway (economist),[DATA] PRMS create-read-update-delete ,False,False,@{24=; 60=; 63=; 162=; 187=},,
98,data.Norway.Finance,Data access to country Norway (financials),[DATA] PRMS create-read-update-delete ,False,False,@{147=},,
46,data.Norway.Key,Data access to country Norway (full access),[DATA] PRMS full access,False,False,@{24=; 80=; 163=},,
12,data.Petrom,OMV Petrom users,are allowed to see on data from OMV Petrom,False,False,@{134=; 135=; 136=; 138=; 140=; 148=},,
109,data.Reserves_resultsets,WG for AUCERNA Reserves to get the correct resultsets,,False,False,@{158=},,
147,data.Romania,Data access to country Romania,[DATA] PRMS read-update,False,False,@{134=; 135=; 136=; 138=; 140=; 148=; 218=; 219=; 224=; 227=; 228=; 231=; 235=},,
191,data.Romania.economics,Data access to country Romania (economist),[DATA] PRMS create-read-update-delete ,False,False,,,
152,data.Romania.Finance,Data access to country Romania (financials),[DATA] PRMS create-read-update-delete ,False,False,,,
181,data.Romania.key,Data access to country Romania (full access),[DATA] PRMS full access,False,False,,,
11,data.Russia,Data access to country Russia,[DATA] PRMS read-update,False,False,@{51=; 74=; 87=; 127=; 132=; 147=; 187=},,
92,data.Russia.Economics,Data access to country Russia (economist),[DATA] PRMS create-read-update-delete ,False,False,@{187=},,
99,data.Russia.Finance,Data access to country Russia (financials),[DATA] PRMS create-read-update-delete ,False,False,@{87=},,
47,data.Russia.Key,Data access to country Russia (full access),[DATA] PRMS full access,False,False,,,
128,data.Sapura.Australia,Data access to country Australia,[DATA] PRMS read-update,False,False,@{21=; 220=; 221=; 223=; 232=; 234=; 238=; 240=; 241=; 246=; 247=},,
112,data.Sapura.Australia.Economics,Data access to country Australia (economist),[DATA] PRMS create-read-update-delete ,False,False,,,
185,data.Sapura.Australia.Finance,Data access to country Australia (financials),[DATA] PRMS create-read-update-delete ,False,False,,,
184,data.Sapura.Australia.key,Data access to country Australia (full access),[DATA] PRMS full access,False,False,,,
139,data.Sapura.NewZealand,Data access to country NewZealand,[DATA] PRMS read-update,False,False,@{21=; 220=; 221=; 223=; 232=; 234=; 238=; 240=; 241=; 246=; 247=},,
