id,name,description,comments,isEveryoneWorkgroup,isAdministratorWorkgroup,users,allowedRoles,deniedRoles
1,Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.,False,True,@{1=; 5=; 7=; 15=; 17=; 20=; 31=; 126=; 201=; 561=},,
39,Auditor,users can check auditlogs,permission to read and check audit-logs,False,False,@{5=; 7=; 17=; 18=},,
102,bd.001.allow,Group of people allowed to see the specific project data,NAUTILUS,False,False,@{5=; 7=; 15=; 20=; 126=; 201=; 562=},,
103,bd.001.deny,Group of people NOT allowed to see this project data,NAUTILUS,False,False,@{2=; 3=; 4=; 9=; 14=; 17=; 18=; 23=; 26=; 31=; 42=; 43=; 53=; 59=; 85=; 115=; 119=; 158=; 161=; 162=; 163=; 164=; 165=; 166=; 210=; 224=; 225=; 226=; 227=; 228=; 229=; 230=; 231=; 232=; 233=; 234=; 235=; 236=; 237=; 238=; 239=; 240=; 241=; 242=; 243=; 244=; 245=; 246=; 247=; 248=; 249=; 250=; 251=; 252=; 253=; 254=; 255=; 256=; 257=; 258=; 259=; 260=; 261=; 262=; 263=; 264=; 265=; 266=; 267=; 268=; 269=; 270=; 271=; 272=; 273=; 274=; 275=; 276=; 277=; 278=; 279=; 280=; 281=; 386=; 410=; 561=; 578=},,
196,bd.002.allow,Group of people allowed to see the specific project data,TANIA,False,False,@{5=; 7=; 15=; 17=; 20=; 26=; 31=; 201=; 562=},,
197,bd.002.deny,Group of people NOT allowed to see this project data,TANIA,False,False,@{2=; 3=; 4=; 14=; 18=; 23=; 42=; 43=; 53=; 59=; 85=; 115=; 119=; 126=; 158=; 161=; 162=; 163=; 164=; 165=; 166=; 210=; 224=; 225=; 226=; 227=; 228=; 229=; 230=; 231=; 232=; 233=; 234=; 235=; 236=; 237=; 238=; 239=; 240=; 241=; 242=; 243=; 244=; 245=; 246=; 247=; 248=; 249=; 250=; 251=; 252=; 253=; 254=; 255=; 256=; 257=; 258=; 259=; 260=; 261=; 262=; 263=; 264=; 265=; 266=; 267=; 268=; 269=; 270=; 271=; 272=; 273=; 274=; 275=; 276=; 277=; 278=; 279=; 280=; 281=; 386=; 410=; 561=; 578=},,
198,bd.003.allow,Group of people allowed to see the specific project data,LEXY,False,False,@{5=; 7=; 15=; 20=; 201=; 562=},,
199,bd.003.deny,Group of people NOT allowed to see this project data,LEXY,False,False,@{2=; 3=; 4=; 14=; 17=; 18=; 23=; 26=; 31=; 42=; 43=; 53=; 59=; 85=; 115=; 119=; 126=; 161=; 162=; 163=; 164=; 165=; 166=; 210=; 224=; 225=; 226=; 227=; 228=; 229=; 230=; 231=; 232=; 233=; 234=; 235=; 236=; 237=; 238=; 239=; 240=; 241=; 242=; 243=; 244=; 245=; 246=; 247=; 248=; 249=; 250=; 251=; 252=; 253=; 254=; 255=; 256=; 257=; 258=; 259=; 260=; 261=; 262=; 263=; 264=; 265=; 266=; 267=; 268=; 269=; 270=; 271=; 272=; 273=; 274=; 275=; 276=; 277=; 278=; 279=; 280=; 281=; 386=; 410=; 561=; 578=},,
207,bd.004.allow,Group of people allowed to see the specific project data,Violin,False,False,@{5=; 7=; 20=; 201=},,
202,bd.004.deny,Group of people NOT allowed to see this project data,Violin,False,False,@{2=; 3=; 4=; 14=; 15=; 17=; 18=; 23=; 26=; 31=; 42=; 43=; 53=; 59=; 85=; 115=; 119=; 126=; 161=; 162=; 163=; 164=; 165=; 166=; 210=; 224=; 225=; 226=; 227=; 228=; 229=; 230=; 231=; 232=; 233=; 234=; 235=; 236=; 237=; 238=; 239=; 240=; 241=; 242=; 243=; 244=; 245=; 246=; 247=; 248=; 249=; 250=; 251=; 252=; 253=; 254=; 255=; 256=; 257=; 258=; 259=; 260=; 261=; 262=; 263=; 264=; 265=; 266=; 267=; 268=; 269=; 270=; 271=; 272=; 273=; 274=; 275=; 276=; 277=; 278=; 279=; 280=; 281=; 386=; 410=; 561=; 578=},,
