id,name,description,comments,isEveryoneWorkgroup,isAdministratorWorkgroup,users,allowedRoles,deniedRoles
1,Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.,False,True,@{1=; 4=; 5=; 7=; 18=; 20=; 36=; 114=; 261=; 268=},,
39,Auditor,users can check auditlogs,permission to read and check audit-logs,False,False,@{7=; 18=},,
109,bd.001.allow,Group of members with allow rights to manage a business development project ,,False,False,,,
96,bd.001.deny,Group of members to deny any rights for a business development project ,,False,False,,,
119,bd.access.01,Access group for Neptun,,False,False,,,
102,bd.access.02,Access group for BD Test1 (N),,False,False,,,
174,bd.access.03,Access group for BD Test2+Test3 (S+C),,False,False,,,
168,bd.base,General workgroup that has access to the BD hierarchy,,False,False,,,
178,bd.deny.01,Deny group for Neptun,,False,False,,,
104,bd.deny.02,Deny group for BD Test1 (N),,False,False,,,
186,bd.deny.03,Deny group for BD Test2+Test3 (S+C),,False,False,,,
180,data.ArabEmirates,Data access to country UnitedArabEmirates,[DATA] PRMS read-update,False,False,,,
148,data.ArabEmirates.Economics,Data access to country UnitedArabEmirates (economist),[DATA] PRMS create-read-update-delete ,False,False,,,
147,data.ArabEmirates.Finance,Data access to country UnitedArabEmirates (financials),[DATA] PRMS create-read-update-delete ,False,False,,,
100,data.ArabEmirates.key,Data access to country UnitedArabEmirates (full access),[DATA] PRMS full access,False,False,,,
155,data.Australia,Data access to country Australia,[DATA] PRMS read-update,False,False,,,
133,data.Australia.Economics,Data access to country Australia (economist),[DATA] PRMS create-read-update-delete ,False,False,,,
176,data.Australia.Finance,Data access to country Australia (financials),[DATA] PRMS create-read-update-delete ,False,False,,,
160,data.Australia.key,Data access to country Australia (full access),[DATA] PRMS full access,False,False,,,
9,data.Austria,Data access to country Austria,[DATA] PRMS read-update,False,False,@{3=; 14=; 23=; 82=; 161=; 170=},,
90,data.Austria.Economics,Data access to country Austria (economist),[DATA] PRMS create-read-update-delete ,False,False,@{14=},,
153,data.Austria.Finance,Data access to country Austria (financials),[DATA] PRMS create-read-update-delete ,False,False,,,
45,data.Austria.Key,Data access to country Austria (full access),[DATA] PRMS full access,False,False,@{23=},,
33,data.BD.project,Business Development project ,Business Development power user HO,False,False,,,
181,data.Bulgaria,Data access to country Bulgaria,[DATA] PRMS read-update,False,False,,,
134,data.Bulgaria.Economics,Data access to country Bulgaria (economist),[DATA] PRMS create-read-update-delete ,False,False,,,
106,data.Bulgaria.Finance,Data access to country Bulgaria (financials),[DATA] PRMS create-read-update-delete ,False,False,,,
125,data.Bulgaria.key,Data access to country Bulgaria (full access),[DATA] PRMS full access,False,False,,,
8,data.Corporate,Data access to ALL countries,[DATA] PRMS read-update,False,False,@{5=; 6=; 7=; 20=; 30=; 39=; 40=; 41=; 43=; 45=; 53=; 59=; 126=; 156=; 165=; 166=; 194=; 201=; 256=; 261=; 266=; 275=; 276=; 278=},,
