WGname_ASIS,WGname_TOBE
bd.001.allow,Z.BD.001.allow
bd.001.deny,Z.BD.001.deny
bd.002.allow,Z.BD.002.allow
bd.002.deny,Z.BD.002.deny
bd.003.allow,Z.BD.003.allow
bd.003.deny,Z.BD.003.deny
bd.004.allow,Z.BD.004.allow
bd.004.deny,Z.BD.004.deny
bd.005.allow,Z.BD.005.allow
bd.005.deny,Z.BD.005.deny
bd.006.allow,Z.BD.006.allow
bd.006.deny,Z.BD.006.deny
bd.007.allow,Z.BD.007.allow
bd.007.deny,Z.BD.007.deny
bd.008.allow,Z.BD.008.allow
bd.008.deny,Z.BD.008.deny
bd.009.allow,Z.BD.009.allow
bd.009.deny,Z.BD.009.deny
bd.010.allow,Z.BD.010.allow
bd.010.deny,Z.BD.010.deny
bd.011.allow,Z.BD.011.allow
bd.011.deny,Z.BD.011.deny
bd.012.allow,Z.BD.012.allow
bd.012.deny,Z.BD.012.deny
bd.013.allow,Z.BD.013.allow
bd.013.deny,Z.BD.013.deny
bd.014.allow,Z.BD.014.allow
bd.014.deny,Z.BD.014.deny
bd.015.allow,Z.BD.015.allow
bd.015.deny,Z.BD.015.deny
bd.016.allow,Z.BD.016.allow
bd.016.deny,Z.BD.016.deny
bd.017.allow,Z.BD.017.allow
bd.017.deny,Z.BD.017.deny
bd.018.allow,Z.BD.018.allow
bd.018.deny,Z.BD.018.deny
bd.019.allow,Z.BD.019.allow
bd.019.deny,Z.BD.019.deny
bd.020.allow,Z.BD.020.allow
bd.020.deny,Z.BD.020.deny
bd.base,BD.base
data.ArabEmirates.key,data.ArabEmirates.Planning
data.ArabEmirates.Portfolio,XXX.data.ArabEmirates.Portfolio
data.Australia.key,data.Australia.Planning
data.Australia.Portfolio,XXX.data.Australia.Portfolio
data.Austria.Key,data.Austria.Planning
data.Austria.Portfolio,XXX.data.Austria.Portfolio
data.Bulgaria.key,data.Bulgaria.Planning
data.Corporate.key,data.Corporate.Planning
data.Georgia.key,data.Georgia.Planning
data.Kurdistan.key,data.Kurdistan.Planning
data.Kurdistan.Portfolio,XXX.data.Kurdistan.Portfolio
data.Libya.key,data.Libya.Planning
data.Libya.Portfolio,XXX.data.Libya.Portfolio
data.Malaysia.key,data.Malaysia.Planning
data.Malaysia.Portfolio,XXX.data.Malaysia.Portfolio
data.Mexico.key,data.Mexico.Planning
data.Mexico.Portfolio,XXX.data.Mexico.Portfolio
data.NewZealand.key,data.NewZealand.Planning
data.NewZealand.Portfolio,XXX.data.NewZealand.Portfolio
data.Norway.Key,data.Norway.Planning
data.Norway.Portfolio,XXX.data.Norway.Portfolio
data.OMVEP.Key,data.OMVEP.Planning
data.OMVEP.Portfolio,XXX.data.OMVEP.Portfolio
data.Romania.key,data.Romania.Planning
data.Russia.Key,data.Russia.Planning
data.Russia.Portfolio,XXX.data.Russia.Portfolio
data.Sapura.Australia.key,data.Sapura.Australia.Planning
data.Sapura.Australia.Portfolio,XXX.data.Sapura.Australia.Portfolio
data.Sapura.NewZealand.key,data.Sapura.NewZealand.Planning
data.Sapura.NewZealand.Portfolio,XXX.data.Sapura.NewZealand.Portfolio
data.Tunisia.Key,data.Tunisia.Planning
data.Tunisia.Portfolio,XXX.data.Tunisia.Portfolio
data.Yemen.key,data.Yemen.Planning
data.Yemen.Portfolio,XXX.data.Yemen.Portfolio
Input.Confirm.RO.PM,Input.Confirm.PET
Portfolio,Portfolio.base
profile.Admin.Developer,XXX.profile.Admin.Developer.OLD
profile.Admin.Headoffice,XXX.profile.Admin.Headoffice.OLD
profile.Economics.Headoffice,A15.profile.Economics.Plus
profile.Economics.local,A13.profile.Economics.Classic
profile.Finance.Headoffice,A18.profile.Finance.Plus
profile.Finance.local,A16.profile.Finance.Classic
profile.Finance.Regimes,A17.profile.Finance.Regimes
profile.LightUser.Headoffice,A04.profile.Light
profile.LightUser.local,XXX.profile.LightUser.local
profile.PetroVR,A02.profile.PetroVR
profile.Portfolio.Light,A06.profile.Light.Fin.Port
profile.Portfolio.Power,XXX.profile.Portfolio.Power.OLD
profile.PP.Headoffice,A19.profile.Portfolio.Classic
profile.PP.Headoffice.Power,XXX.profile.PP.Headoffice.Power.OLD
profile.PP.local,A10.profile.Planning.Classic
profile.Projectmanager,A08.profile.Projectmanager.Classic
profile.Projectmanager.RO,A07.profile.Projectmanager.PET
profile.Reserves.Headoffice,A21.profile.Reserves.Headoffice
profile.Reserves.Headoffice.Approve,A23.profile.Reserves.Headoffice.Approve
