WGname_ASIS,WGname_TOBE
data.ArabEmirates,data.ArabEmirates.PRMS
data.Australia,data.Australia.PRMS
data.Austria,data.Austria.PRMS
data.Bulgaria,data.Bulgaria.PRMS
data.Corporate,data.Corporate.PRMS
data.Croatia,data.Croatia.PRMS
data.Georgia,data.Georgia.PRMS
data.Germany,data.Germany.PRMS
data.Hungary,data.Hungary.PRMS
data.Kurdistan,data.Kurdistan.PRMS
data.Libya,data.Libya.PRMS
data.Malaysia,data.Malaysia.PRMS
data.Mexico,data.Mexico.PRMS
data.NewZealand,data.NewZealand.PRMS
data.Norway,data.Norway.PRMS
data.OMVEP,data.OMVEP.PRMS
data.Romania,data.Romania.PRMS
data.Russia,data.Russia.PRMS
data.Sapura.Australia,data.Sapura.Australia.PRMS
data.Sapura.NewZealand,data.Sapura.NewZealand.PRMS
data.Switzerland,data.Switzerland.PRMS
data.Tunisia,data.Tunisia.PRMS
data.Yemen,data.Yemen.PRMS
