displayname,xkey,logonID,profile
RR - Demo User 01 - Light.HO,demo01,demo01,A04.profile.Light
RR - Demo User 01 - Light.HO,demo01,demo01,data.Corporate
RR - Demo User 02 - Light.NO,demo02,demo02,A04.profile.Light
RR - Demo User 02 - Light.NO,demo02,demo02,data.Norway
RR - Demo User 03 - Light.FIN.PORT.NO,demo03,demo03,A06.profile.Light.Fin.Port
RR - Demo User 03 - Light.FIN.PORT.NO,demo03,demo03,data.Norway
RR - Demo User 04 - Light.RES.HO,demo04,demo04,A05.profile.Light.reserves
RR - Demo User 04 - Light.RES.HO,demo04,demo04,data.Corporate
RR - Demo User 05 - Light.FIN.PORT.HO,demo05,demo05,A06.profile.Light.Fin.Port
RR - Demo User 05 - Light.FIN.PORT.HO,demo05,demo05,data.Corporate
RR - Demo User 06 - PetroVR.Headless,demo06,demo06,A02.profile.PetroVR
RR - Demo User 07 - CAPDAT.HO,demo07,demo07,A03.profile.CAPDAT
RR - Demo User 07 - CAPDAT.HO,demo07,demo07,data.Corporate
RR - Demo User 08 - CAPDAT.NO,demo08,demo08,A03.profile.CAPDAT
RR - Demo User 08 - CAPDAT.NO,demo08,demo08,data.Norway
RR - Demo User 09 - Light.PVR.HO,demo09,demo09,A02.profile.PetroVR
RR - Demo User 09 - Light.PVR.HO,demo09,demo09,A04.profile.Light
RR - Demo User 09 - Light.PVR.HO,demo09,demo09,data.Corporate
RR - Demo User 10 - PM.PET.RO,demo10,demo10,A07.profile.Projectmanager.PET
RR - Demo User 10 - PM.PET.RO,demo10,demo10,data.Romania
RR - Demo User 11 - PM.Classic.NO,demo11,demo11,A08.profile.Projectmanager.Classic
RR - Demo User 11 - PM.Classic.NO,demo11,demo11,data.Norway
RR - Demo User 12 - SPARE,demo12,demo12,00DEFAULT
RR - Demo User 13 - SPARE,demo13,demo13,00DEFAULT
RR - Demo User 14 - PM.LCB.HO,demo14,demo14,A09.profile.Projectmanager.LCB
RR - Demo User 14 - PM.LCB.HO,demo14,demo14,data.Corporate
RR - Demo User 15 - PM.Classic.PVR.NO,demo15,demo15,00DEFAULT
RR - Demo User 15 - PM.Classic.PVR.NO,demo15,demo15,A02.profile.PetroVR
