GID,tenant,First Name
1,P2V_DEMO,Administrators
1,P2V-PROD,Administrators
2,P2V_DEMO,Everyone
2,P2V-PROD,Everyone
6,P2V_DEMO,PetroVR
6,P2V-PROD,PetroVR
7,P2V_DEMO,P2V.developer
7,P2V-PROD,P2V.developer
8,P2V_DEMO,data.Corporate
8,P2V-PROD,data.Corporate
9,P2V_DEMO,data.Austria
9,P2V-PROD,data.Austria
10,P2V_DEMO,data.Norway
10,P2V-PROD,data.Norway
11,P2V_DEMO,data.Russia
11,P2V-PROD,data.Russia
20,P2V_DEMO,P2V.base
20,P2V-PROD,P2V.base
21,P2V_DEMO,DataFlow.key
21,P2V-PROD,DataFlow.key
22,P2V_DEMO,DataFlow.power
22,P2V-PROD,DataFlow.power
23,P2V_DEMO,Economics.power
23,P2V-PROD,Economics.power
24,P2V_DEMO,Economics.key
24,P2V-PROD,Economics.key
25,P2V_DEMO,Portfolio.base
25,P2V-PROD,Portfolio
29,P2V_DEMO,Financials.power
29,P2V-PROD,Financials.power
30,P2V_DEMO,Financials.key
30,P2V-PROD,Financials.key
31,P2V_DEMO,Reserves.power
31,P2V-PROD,Reserves.power
32,P2V_DEMO,Reserves.key
32,P2V-PROD,Reserves.key
33,P2V-PROD,data.BD.project
37,P2V_DEMO,Reporting
37,P2V-PROD,Reporting
38,P2V_DEMO,User.admin
38,P2V-PROD,User.admin
39,P2V_DEMO,Auditor
39,P2V-PROD,Auditor
40,P2V_DEMO,Developer
40,P2V-PROD,Developer
41,P2V_DEMO,P2V.admin
41,P2V-PROD,P2V.admin
42,P2V_DEMO,Economics.regimes
42,P2V-PROD,Economics.regimes
43,P2V_DEMO,Financials.regimes
43,P2V-PROD,Financials.regimes
44,P2V_DEMO,Input.Approve
44,P2V-PROD,Input.Approve
45,P2V_DEMO,data.Austria.Planning
45,P2V-PROD,data.Austria.Key
46,P2V_DEMO,data.Norway.Planning
46,P2V-PROD,data.Norway.Key
47,P2V_DEMO,data.Russia.Planning
47,P2V-PROD,data.Russia.Key
