Sum of Sum of Id,,,,tenant,
Application name,Category,Category_1,Description,P2V_DEMO,P2V-PROD
PalantirCASH,(blank),PalantirCASH,Allows a user access to the Module Editor and depreciation methods,12,12
,,,Allows a user access to the PalantirCASH Audit Log,11,11
,,,Allows a user to manage Hierarchies,14,14
,,,Allows a user to unlock PalantirCASH Documents,13,13
PalantirDATAFLOW,ReservesHierarchy,Reconciliation,Allows a user access to the Reconciliation module,47,47
,,,Allows a user to configure the Reconciliation module,46,46
,,,"Allows a user to create, update, deactivate and import data into Reconciliations",48,48
,,,Allows a user to delete Reconciliations,53,53
,,,Allows a user to restart an approvals process,49,49
PlanningSpace,(blank),Configuration,Allows a user to print reports,154,154
PlanningSpace Administration,(blank),Configuration,Allows a user access to the PlanningSpace Audit Log,30,45
,,Security,Allows a user to generate and utilize API keys for web API calls,69,92
,,,"Allows a user to manage Users, Workgroups, Roles and Security Settings",9,12
PlanningSpace Corporate,(blank),Configuration,Allows a user to configure Currencies,2,3
,,,Allows a user to configure Prices,4,6
PlanningSpace Dataflow,DeclineHierarchy,Decline,Allows a user access to the Decline workspace,50,50
,,,Allows a user to access the auto-forecast feature in the Well Browser,62,62
,,,Allows a user to add and remove revision tags in revision history,55,55
,,,Allows a user to configure the Decline module,102,102
,,,"Allows a user to create, edit, and delete load templates",56,56
,,,Allows a user to delete wells in bulk using the hierarchy,54,54
,,,Allows a user to delete wells or well groups,61,61
,,,Allows a user to load forecast data into well documents,59,59
,,,Allows a user to load historical data in to well documents,58,58
,,,Allows a user to unlock Wells and Well Groups,52,52
,,,Allows a user to update wells or well groups. Note: not having this role supersedes the Load* and Execute Load* roles.,60,60
,,,Allows a user to use templates to load data,57,57
,MainHierarchy,Dataflow,Allows a user access to the Manage Data workspace,180,180
,,,Allows a user to change the Node Type of a Document,58,87
,,,Allows a user to configure Dashboard Maps,40,80
,,,Allows a user to configure Document Templates and Variables,64,96
,,,Allows a user to configure Lists,84,126
,,,Allows a user to configure Tags,86,129
,,,Allows a user to design reports,52,78
,,,Allows a user to design Workflows,68,102
,,,Allows a user to manage Enersight connections,68,136
,,,Allows a user to manage links between Decline Wells and Dataflow Documents,41,82
,,,Allows a user to manage the Scenarios of data within a Document,54,135
,,,Allows a user to manage Versions,70,105
,,,"Allows a user to move, delete and rename a Document within a Version",56,140
,,,Allows a user to run reports,100,125
,,,Allows a user to specify the currency settings used by a Document,108,144
,,,Allows a user to specify the date settings used by a Document,62,93
,,,Allows a user to specify the Economics settings used by a Document,78,78
,,,Allows a user to terminate a Workflow,76,114
,,,Allows a user to unlock Document Templates,90,135
,,,Allows a user to unlock Documents,88,176
,,,Allows the user to apply and remove revision tags in the Manage Data workspace,132,99
PlanningSpace Economics,(blank),Economics,Allows a user access to the Economics Audit Log,18,27
,,,Allows a user access to the Economics module,24,64
,,,Allows a user to access the Regime Library,18,24
,,,Allows a user to configure Companies and Project Scenarios,10,15
,,,Allows a user to configure Hierarchy Currencies,142,213
,,,Allows a user to configure Hierarchy Prices,140,210
,,,Allows a user to design Economics Reports,8,12
,,,Allows a user to manage Hierarchies,14,21
,,,Allows a user to manage links between Dataflow Documents and Economics Projects,72,96
,,,Allows a user to store the debug files,79,79
,,,Allows a user to unlock Economics entities,20,40
,,,Allows a user to view Hierarchy Currencies,228,228
,,,Allows a user to view Hierarchy Prices,225,225
PlanningSpace Financials,(blank),Financials,Allows a user access to the Financials Audit Log,42,63
,,,Allows a user access to the Financials module,60,100
,,,Allows a user to access the Regime Library,54,54
,,,Allows a user to configure Hierarchy Currencies,138,207
,,,Allows a user to configure Project Scenarios,34,51
,,,Allows a user to design Financials Reports,32,48
,,,Allows a user to manage Hierarchies,38,57
,,,Allows a user to manage links between Dataflow Documents and Financials Projects,198,264
,,,Allows a user to store the debug files,78,78
,,,Allows a user to unlock Financials entities,44,66
,,,Allows a user to view Hierarchy Currencies,222,222
PlanningSpace Portfolio,(blank),Portfolio,Allows a user access to the Portfolio module,268,402
,,,Allows a user access to view and change permissions on all Portfolios,72,72
,,,Allows a user to run Portfolio optimization,73,73
