WGname_ASIS,WGname_TOBE
Input.Confirm.PET,Input.Confirm.RO.PM
Portfolio.base,Portfolio
data.Austria.Planning,data.Austria.Key
data.Norway.Planning,data.Norway.Key
data.Russia.Planning,data.Russia.Key
T.PRMS.economics,temp.economics
T.PRMS.economics.readonly,temp.economics.readonly
T.PRMS.economics.deny,temp.economics.deny
T.PRMS.admin,temp.admin
T.PRMS.admin.readonly,temp.admin.readonly
T.PRMS.admin.deny,temp.admin.deny
T.PRMS.financials,temp.financials
T.PRMS.financials.readonly,temp.financials.readonly
T.PRMS.financials.deny,temp.financials.deny
T.PRMS.input,temp.input
T.PRMS.input.readonly,temp.input.readonly
T.PRMS.input.deny,temp.input.deny
data.Tunisia.Planning,data.Tunisia.Key
data.Libya.Planning,data.Libya.key
T.PRMS.ecoresults,temp.ecoresults
T.PRMS.ecoresults.readonly,temp.ecoresults.readonly
T.PRMS.ecoresults.deny,temp.ecoresults.deny
T.ADJUST.economics,temp.adjust.eco
T.ADJUST.economics.readonly,temp.adjust.eco.readonly
T.ADJUST.economics.deny,temp.adjust.eco.deny
T.ADJUST.ecoresults,temp.adjust.ecoresults
T.ADJUST.ecoresults.readonly,temp.adjust.ecoresults.readonly
T.ADJUST.ecoresults.deny,temp.adjust.ecoresults.deny
T.ADJUST.admin,temp.adjust.admin
T.ADJUST.admin.readonly,temp.adjust.admin.readonly
T.ADJUST.financials,temp.adjust.fin
T.ADJUST.financials.readonly,temp.adjust.fin.readonly
T.ADJUST.input,temp.adjust.input
T.ADJUST.input.readonly,temp.adjust.input.readonly
T.ADJUST.input.deny,temp.adjust.input.deny
T.ADJUST.admin.deny,temp.adjust.admin.deny
T.ADJUST.financials.deny,temp.adjust.fin.deny
data.Corporate.Planning,data.Corporate.key
Z.BD.001.allow,bd.001.allow
Z.BD.001.deny,bd.001.deny
BD.base,bd.base
A02.profile.PetroVR,profile.PetroVR
A04.profile.Light,profile.LightUser.Headoffice
A05.profile.Light.reserves,profile.Reserves.readonly
A06.profile.FIN.ECO.PORT.Light,profile.Portfolio.Light
A07.profile.Projectmanager.Light,profile.Projectmanager.RO
data.Georgia.Planning,data.Georgia.key
A08.profile.Projectmanager.Classic,profile.Projectmanager
data.Bulgaria.Planning,data.Bulgaria.key
A10.PP.profile.Planning.Local,profile.PP.local
A13.profile.Economics.local,profile.Economics.local
data.Mexico.Planning,data.Mexico.key
data.ArabEmirates.Planning,data.ArabEmirates.key
A15.profile.Economics.Headoffice,profile.Economics.Headoffice
data.Kurdistan.Planning,data.Kurdistan.key
data.Yemen.Planning,data.Yemen.key
data.NewZealand.Planning,data.NewZealand.key
A16.profile.Finance.Local,profile.Finance.local
A17.profile.Finance.Regimes,profile.Finance.Regimes
A18.profile.Finance.HeadOffice,profile.Finance.Headoffice
data.Malaysia.Planning,data.Malaysia.key
A19.profile.Portfolio.Classic,profile.PP.Headoffice
data.Australia.Planning,data.Australia.key
