Count of First Name,,tenant,
GID,First Name,P2V-PROD,P2V_DEMO
1,Administrators,1,1
2,Everyone,1,1
6,PetroVR,1,1
7,P2V.developer,1,1
8,data.Corporate,1,1
9,data.Austria,1,1
10,data.Norway,1,1
11,data.Russia,1,1
20,P2V.base,1,1
21,DataFlow.key,1,1
22,DataFlow.power,1,1
23,Economics.power,1,1
24,Economics.key,1,1
25,Portfolio,1,
,Portfolio.base,,1
29,Financials.power,1,1
30,Financials.key,1,1
31,Reserves.power,1,1
32,Reserves.key,1,1
33,data.BD.project,1,
37,Reporting,1,1
38,User.admin,1,1
39,Auditor,1,1
40,Developer,1,1
41,P2V.admin,1,1
42,Economics.regimes,1,1
43,Financials.regimes,1,1
44,Input.Approve,1,1
45,data.Austria.Key,1,
,data.Austria.Planning,,1
46,data.Norway.Key,1,
,data.Norway.Planning,,1
47,data.Russia.Key,1,
,data.Russia.Planning,,1
48,Input.Confirm,1,1
49,T.PRMS.economics,,1
,temp.economics,1,
50,T.PRMS.economics.readonly,,1
,temp.economics.readonly,1,
51,T.PRMS.economics.deny,,1
,temp.economics.deny,1,
52,T.PRMS.admin,,1
,temp.admin,1,
53,T.PRMS.admin.readonly,,1
,temp.admin.readonly,1,
54,T.PRMS.admin.deny,,1
,temp.admin.deny,1,
55,T.PRMS.financials,,1
,temp.financials,1,
56,T.PRMS.financials.readonly,,1
,temp.financials.readonly,1,
57,T.PRMS.financials.deny,,1
,temp.financials.deny,1,
58,T.PRMS.input,,1
,temp.input,1,
59,T.PRMS.input.readonly,,1
,temp.input.readonly,1,
60,T.PRMS.input.deny,,1
,temp.input.deny,1,
61,data.Tunisia,1,1
62,data.Tunisia.Key,1,
,data.Tunisia.Planning,,1
63,data.Libya,1,1
64,data.Libya.key,1,
,data.Libya.Planning,,1
65,Dataflow.unlock,1,1
66,Reserves.base,1,1
68,Reserves.Security,1,1
69,Reserves.Approver,1,1
70,T.PRMS.ecoresults,,1
,temp.ecoresults,1,
71,T.PRMS.ecoresults.readonly,,1
,temp.ecoresults.readonly,1,
72,T.PRMS.ecoresults.deny,,1
,temp.ecoresults.deny,1,
73,T.ADJUST.eco,,1
,temp.adjust.eco,1,
74,T.ADJUST.eco.readonly,,1
,temp.adjust.eco.readonly,1,
75,T.ADJUST.eco.deny,,1
,temp.adjust.eco.deny,1,
76,T.ADJUST.ecoresults,,1
,temp.adjust.ecoresults,1,
77,T.ADJUST.ecoresults.readonly,,1
,temp.adjust.ecoresults.readonly,1,
78,T.ADJUST.ecoresults.deny,,1
,temp.adjust.ecoresults.deny,1,
79,T.ADJUST.admin,,1
,temp.adjust.admin,1,
80,T.ADJUST.admin.readonly,,1
,temp.adjust.admin.readonly,1,
81,T.ADJUST.fin,,1
,temp.adjust.fin,1,
82,T.ADJUST.fin.readonly,,1
,temp.adjust.fin.readonly,1,
83,T.ADJUST.input,,1
,temp.adjust.input,1,
84,T.ADJUST.input.readonly,,1
,temp.adjust.input.readonly,1,
85,T.ADJUST.input.deny,,1
,temp.adjust.input.deny,1,
86,T.ADJUST.admin.deny,,1
,temp.adjust.admin.deny,1,
87,T.ADJUST.fin.deny,,1
,temp.adjust.fin.deny,1,
88,data.Corporate.key,1,
,data.Corporate.Planning,,1
89,Economics.unlock,1,1
90,data.Austria.Economics,1,1
91,data.Norway.Economics,1,1
92,data.Russia.Economics,1,1
93,data.Tunisia.Economics,1,1
94,data.Libya.Economics,1,1
95,data.Corporate.Economics,1,1
96,data.Austria.Finance,1,1
97,data.Tunisia.Finance,1,1
98,data.Norway.Finance,1,1
99,data.Russia.Finance,1,1
100,data.Libya.Finance,1,1
101,data.Corporate.Finance,1,1
102,bd.001.allow,1,
,Z.bd.001.allow,,1
103,bd.001.deny,1,
,Z.bd.001.deny,,1
104,bd.base,1,1
105,Reserves.Submitter,1,1
106,Reserves.Approver.ho,1,1
107,Reserves.Administrator,1,1
108,Reserves.Approver.bo,1,1
109,data.Corporate.Reserves,1,1
110,profile.Admin.Developer,1,
,profile.Admin.Developer.OLD,,1
111,data.Romania.Economics,1,1
112,data.Australia,1,1
113,P.profile.PetroVR,,1
,profile.PetroVR,1,
114,data.Yemen.Economics,1,1
115,data.NewZealand,1,1
116,data.Bulgaria.Economics,1,1
117,profile.Student.local,1,
,R.profile.Student.local.OLD,,1
118,P.profile.Reserves.Headoffice.Power,,1
,profile.Reserves.Headoffice.Power,1,
119,P.profile.Economics.Classic,,1
,profile.Economics.local,1,
120,data.NewZealand.Finance,1,1
121,license.heavy,1,1
122,data.ArabEmirates.Finance,1,1
123,data.Romania,1,1
124,profile.Admin.Headoffice,1,
,profile.Admin.Headoffice.OLD,,1
125,profile.Resources.local,1,1
126,data.Georgia.key,1,
,data.Georgia.Planning,,1
127,data.Kurdistan.Finance,1,1
128,data.Mexico.Finance,1,1
