WGname_ASIS,WGname_TOBE
bd.001.allow,Z.BD.001.allow
bd.001.deny,Z.BD.001.deny
bd.002.allow,Z.BD.002.allow
bd.002.deny,Z.BD.002.deny
bd.003.allow,Z.BD.003.allow
bd.003.deny,Z.BD.003.deny
bd.004.allow,Z.BD.004.allow
bd.004.deny,Z.BD.004.deny
bd.005.allow,Z.BD.005.allow
bd.005.deny,Z.BD.005.deny
bd.006.allow,Z.BD.006.allow
bd.006.deny,Z.BD.006.deny
bd.007.allow,Z.BD.007.allow
bd.007.deny,Z.BD.007.deny
bd.008.allow,Z.BD.008.allow
bd.008.deny,Z.BD.008.deny
bd.009.allow,Z.BD.009.allow
bd.009.deny,Z.BD.009.deny
bd.010.allow,Z.BD.010.allow
bd.010.deny,Z.BD.010.deny
bd.011.allow,Z.BD.011.allow
bd.011.deny,Z.BD.011.deny
bd.012.allow,Z.BD.012.allow
bd.012.deny,Z.BD.012.deny
bd.013.allow,Z.BD.013.allow
bd.013.deny,Z.BD.013.deny
bd.014.allow,Z.BD.014.allow
bd.014.deny,Z.BD.014.deny
bd.015.allow,Z.BD.015.allow
bd.015.deny,Z.BD.015.deny
bd.016.allow,Z.BD.016.allow
bd.016.deny,Z.BD.016.deny
bd.017.allow,Z.BD.017.allow
bd.017.deny,Z.BD.017.deny
bd.018.allow,Z.BD.018.allow
bd.018.deny,Z.BD.018.deny
bd.019.allow,Z.BD.019.allow
bd.019.deny,Z.BD.019.deny
bd.020.allow,Z.BD.020.allow
bd.020.deny,Z.BD.020.deny
bd.base,BD.base
