WGname_ASIS,WGname_TOBE
T.ADJUST.admin,T.ADJUST.admin.full
T.ADJUST.calc,T.ADJUST.calc.full
T.ADJUST.economics,T.ADJUST.economics.full
T.ADJUST.ecoresults,T.ADJUST.ecoresults.full
T.ADJUST.financials,T.ADJUST.financials.full
T.ADJUST.input,T.ADJUST.input.full
T.ADJUST.overview,T.ADJUST.overview.full
T.PRMS.admin,T.PRMS.admin.full
T.PRMS.calc,T.PRMS.calc.full
T.PRMS.economics,T.PRMS.economics.full
T.PRMS.ecoresults,T.PRMS.ecoresults.full
T.PRMS.financials,T.PRMS.financials.full
T.PRMS.input,T.PRMS.input.full
T.PRMS.quicklook,T.PRMS.quicklook.full
