WGname_ASIS,WGname_TOBE
Input.Confirm.RO.PM,Input.Confirm.PET
Portfolio,Portfolio.base
data.Austria.Key,data.Austria.Planning
data.Norway.Key,data.Norway.Planning
data.Russia.Key,data.Russia.Planning
temp.economics,T.PRMS.economics
temp.economics.readonly,T.PRMS.economics.readonly
temp.economics.deny,T.PRMS.economics.deny
temp.admin,T.PRMS.admin
temp.admin.readonly,T.PRMS.admin.readonly
temp.admin.deny,T.PRMS.admin.deny
temp.financials,T.PRMS.financials
temp.financials.readonly,T.PRMS.financials.readonly
temp.financials.deny,T.PRMS.financials.deny
temp.input,T.PRMS.input
temp.input.readonly,T.PRMS.input.readonly
temp.input.deny,T.PRMS.input.deny
data.Tunisia.Key,data.Tunisia.Planning
data.Libya.key,data.Libya.Planning
temp.ecoresults,T.PRMS.ecoresults
temp.ecoresults.readonly,T.PRMS.ecoresults.readonly
temp.ecoresults.deny,T.PRMS.ecoresults.deny
temp.adjust.eco,T.ADJUST.economics
temp.adjust.eco.readonly,T.ADJUST.economics.readonly
temp.adjust.eco.deny,T.ADJUST.economics.deny
temp.adjust.ecoresults,T.ADJUST.ecoresults
temp.adjust.ecoresults.readonly,T.ADJUST.ecoresults.readonly
temp.adjust.ecoresults.deny,T.ADJUST.ecoresults.deny
temp.adjust.admin,T.ADJUST.admin
temp.adjust.admin.readonly,T.ADJUST.admin.readonly
temp.adjust.fin,T.ADJUST.financials
temp.adjust.fin.readonly,T.ADJUST.financials.readonly
temp.adjust.input,T.ADJUST.input
temp.adjust.input.readonly,T.ADJUST.input.readonly
temp.adjust.input.deny,T.ADJUST.input.deny
temp.adjust.admin.deny,T.ADJUST.admin.deny
temp.adjust.fin.deny,T.ADJUST.financials.deny
data.Corporate.key,data.Corporate.Planning
bd.001.allow,Z.BD.001.allow
bd.001.deny,Z.BD.001.deny
bd.base,BD.base
profile.PetroVR,A02.profile.PetroVR
profile.LightUser.Headoffice,A04.profile.Light
profile.Reserves.readonly,A05.profile.Light.reserves
profile.Portfolio.Light,A06.profile.FIN.ECO.PORT.Light
profile.Projectmanager.RO,A07.profile.Projectmanager.PET
data.Georgia.key,data.Georgia.Planning
profile.Projectmanager,A08.profile.Projectmanager.Classic
data.Bulgaria.key,data.Bulgaria.Planning
profile.PP.local,A10.PP.profile.Planning.Local
profile.Economics.local,A13.profile.Economics.local
data.Mexico.key,data.Mexico.Planning
data.ArabEmirates.key,data.ArabEmirates.Planning
profile.Economics.Headoffice,A15.profile.Economics.Headoffice
data.Kurdistan.key,data.Kurdistan.Planning
data.Yemen.key,data.Yemen.Planning
data.NewZealand.key,data.NewZealand.Planning
profile.Finance.local,A16.profile.Finance.Local
profile.Finance.Regimes,A17.profile.Finance.Regimes
profile.Finance.Headoffice,A18.profile.Finance.HeadOffice
data.Malaysia.key,data.Malaysia.Planning
