data.Austria,Data access to country Austria,IIA Projects,Organization\Austria,Austria,Country,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH,OMV Austria E&P GmbH,Legal Entity,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH,ÖMV-NIEDERÖSTERREICH,Contract Area,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\10 G&A R&B Area Support,10 G&A R&B Area Support,Asset,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\10 G&A R&B Area Support\V.1010012 Treatment plant for liquid waste,V.1010012 Treatment plant for liquid waste,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\10 G&A R&B Area Support\V.1010012 Treatment plant for liquid waste\Treatment plant for liquid and solid waste_TGL3,Treatment plant for liquid and solid waste_TGL3,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\10 G&A R&B Area Support\V.1010012 Treatment plant for liquid waste\Update after TG_Treatment plant for liquid and solid waste_TGL3,Update after TG_Treatment plant for liquid and solid waste_TGL3,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\Thann gas storage blowdown,Thann gas storage blowdown,Asset,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\Thann gas storage blowdown\170205 EB Motion,170205 EB Motion,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\Thann gas storage blowdown\170205 EB Motion\Thann Gas Storage Blowdown,Thann Gas Storage Blowdown,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\3 - August 28 Submission,3 - August 28 Submission,Asset,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\3 - August 28 Submission\Drilling AAP\Area 1 Nord Drilling Budget 2018 wo Lin 8,Area 1 Nord Drilling Budget 2018 wo Lin 8,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\3 - August 28 Submission\Drilling AAP\Area 2 Matzen Oil Drilling Budget 2018(3)(1),Area 2 Matzen Oil Drilling Budget 2018(3)(1),Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\3 - August 28 Submission\Workover AAP,Workover AAP,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\3 - August 28 Submission\Workover AAP\Area 1 Nord Workover Budget 2018,Area 1 Nord Workover Budget 2018,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\3 - August 28 Submission\Workover AAP\Area 2 Matzen Oil Workover Budget 2018,Area 2 Matzen Oil Workover Budget 2018,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\3 - August 28 Submission\Workover AAP\Area 36 Workover ST 62,Area 36 Workover ST 62,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\3 - August 28 Submission\Workover AAP\Area 4 Hochleiten Workover Budget 2018,Area 4 Hochleiten Workover Budget 2018,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\MTP2019_1a_HBO Submission August,MTP2019_1a_HBO Submission August,Asset,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\MTP2019_1a_HBO Submission August\Area 1 Nord,Area 1 Nord,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\MTP2019_1a_HBO Submission August\Area 2 Matzen Oil,Area 2 Matzen Oil,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\MTP2019 Post OCM_AAPs,MTP2019 Post OCM_AAPs,Asset,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\MTP2019 Post OCM_AAPs\Workover 2019,Workover 2019,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\MTP2019_1a_HBO Submission August\Area 1 Nord\Area 1 Nord Asset Base(3),Area 1 Nord Asset Base(3),Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\MTP2019_1a_HBO Submission August\Area 1 Nord\Area 1 Nord Drilling Budget 2019(3),Area 1 Nord Drilling Budget 2019(3),Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\MTP2019_1a_HBO Submission August\Area 2 Matzen Oil\Area 2 Matzen Oil Asset Base(4),Area 2 Matzen Oil Asset Base(4),Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\MTP2019_1a_HBO Submission August\Area 2 Matzen Oil\Area 2 Matzen Oil Drilling Budget 2019(4),Area 2 Matzen Oil Drilling Budget 2019(4),Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\MTP2019 Post OCM_AAPs\Workover 2019\OMV AUT Workover AAP 2019,OMV AUT Workover AAP 2019,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\3 - August 28 Submission\Drilling AAP,Drilling AAP,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria,Austria,Country,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH,OMV Austria E&P GmbH,Legal Entity,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH,ÖMV-NIEDERÖSTERREICH,Contract Area,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 0,AREA 0,Asset,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 0\AREA 0,AREA 0,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 0\AREA 0\Area Support,Area Support,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 0\AREA 0\ELB-LSI1,ELB-LSI1,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 0\AREA 0\IPA Cooperation OMV-MUL,IPA Cooperation OMV-MUL,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 0\AREA 0\MBF implementation upstr. WTP,MBF implementation upstr. WTP,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 0\AREA 0\Other OEPA_G&A,Other OEPA_G&A,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 1 NORD,AREA 1 NORD,Asset,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 1 NORD\AREA 1 NORD,AREA 1 NORD,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 1 NORD\AREA 1 NORD\Area 1 Nord Asset Base,Area 1 Nord Asset Base,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 1 NORD\AREA 1 NORD\Area 1 Nord Drilling Budget 2019,Area 1 Nord Drilling Budget 2019,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 1 NORD\AREA 1 NORD\AT Altlichtenwarth T1,AT Altlichtenwarth T1,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 1 NORD\AREA 1 NORD\AT Dobermannsdorf 4,AT Dobermannsdorf 4,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 1 NORD\AREA 1 NORD\AT Heumahden T1,AT Heumahden T1,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 1 NORD\AREA 1 NORD\AT Kettlasbrunn T1 Oil,AT Kettlasbrunn T1 Oil,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 1 NORD\AREA 1 NORD\AT Maustrenk T1 Oil,AT Maustrenk T1 Oil,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 1 NORD\AREA 1 NORD\AT Rabensburg Nord 7,AT Rabensburg Nord 7,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 1 NORD\AREA 1 NORD\AT Zistersdorf 5 Horizontal,AT Zistersdorf 5 Horizontal,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 13 STRASSHOF,AREA 13 STRASSHOF,Asset,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 13 STRASSHOF\AREA 13 STRASSHOF,AREA 13 STRASSHOF,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 13 STRASSHOF\AREA 13 STRASSHOF\Re-Development Strasshof,Re-Development Strasshof,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 2 MAGAS,AREA 2 MAGAS,Asset,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 2 MAGAS\AREA 2 MAGAS,AREA 2 MAGAS,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 2 MAGAS\AREA 2 MAGAS\Area 2 Matzen Gas Asset Base,Area 2 Matzen Gas Asset Base,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 2 MAGAS\AREA 2 MAGAS\Area 2 Matzen Gas_Cushion Gas,Area 2 Matzen Gas_Cushion Gas,Project AUT (PRMS),Allow,Allow,NULL,NULL
