Id,Name,Description,Comments,Users,Allowed roles,Denied roles
1,Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.,AARON6;Administrator;adminx449222@ww.omv.com;ARMANDO1;demo3;gael04;STANISLAV7;useradmin;ww\adminarun05;ww\ARMANDO1;ww\ARUN05;ww\FLORIAN109;ww\GAEL04;ww\LEONARDO1;ww\MARTIN26;ww\PAUL77;ww\SANDRA18;ww\SEMRA1;ww\Simona10;ww\SUSAN2;ww\X01001805;ww\X01005176;ww\X01schgeo;ww\X409094;ww\X449156;ww\X449222;ww\X449602;ww\X449890;ww\X450313;ww\X450582;ww\X451671;ww\xhussaifi,"Access;Access;Access;API Key;Apply and Remove Revision Tags;Audit Log;Audit Logs;Audit Logs;Audit Logs;Auto-forecast;Bulk Delete;Configure;Configure;Currencies;Dashboard Map;Data Utility Manage Public Presets;Dataflow Links;Dataflow Links;Delete Wells and Well Groups;Document Templates and Variables;Documents - Manage Currency Settings;Documents - Manage Date Settings;Documents - Manage Economics Settings;Documents - Manage Scenarios;Documents - Manage Well Links;Documents - Unlock;Execute Load from Database Templates;Global Settings;Global Settings;Hierarchy - Change To;Hierarchy - Move, Delete, Rename;Lists;Load Forecast Data;Load Historical Data;Locks;Locks;Locks;Manage;Manage Data;Manage Hierarchies;Manage Hierarchies;Manage Hierarchy;Manage Load from Database Templates;Manage Lock/Unlock;Manage Well Data;Module Access;Prices;Reconcile;Reconciliations - Delete;Regime Library;Regime Library;Reports - Design;Reports - Design;Reports - Design;Reports - Run;Restart Approvals;Revisions Apply and Remove Tags;Security;Tags;Templates Unlock;Update Wells and Well Groups;Versions;Workflows - Design;Workflows - Terminate",
36,Approver,"Group of approvers
","approval permissions 
",,Access;Access;Manage Data;Reports - Run;Revisions Apply and Remove Tags,
7,AUCERNA,"Group for AUCERNA experts
","all external AUCERNA experts to support 
",AARON6;ARMANDO1;gael04;STANISLAV7;ww\AARON6;ww\adminarun05;ww\ARMANDO1;ww\ARUN05;ww\DOUG03;ww\DOUG04;ww\FABIAN37;ww\GAEL04;ww\JENNIFER11;ww\KEVIN32;ww\RICHARD44;ww\STANISLAV7;ww\TREVOR4,,
39,Auditor,"users can check auditlogs
","permission to read and check audit-logs
",,Access;Access;Audit Log;Audit Logs;Audit Logs;Audit Logs,
34,BusinessDev_key,"Business Development key user

","Business Development key user
",,Manage Data,
33,BusinessDev_power,"Business Development power user HO
","Business Development power user HO
",,Manage Data,
30,Controlling_key,"Controlling key user
","Controlling key user
",,Access;Access;Access;Audit Logs;Audit Logs;Dataflow Links;Dataflow Links;Locks;Locks;Manage Data;Manage Hierarchies;Regime Library;Reports - Run,
29,Controlling_power,"Controlling power user HO
","Controlling power user HO
",,Access;Access;Access;Audit Logs;Audit Logs;Dataflow Links;Dataflow Links;Global Settings;Locks;Locks;Manage Data;Manage Hierarchies;Regime Library;Reports - Design;Reports - Run,
20,Data_Loader,"Data provider
","user are allowed to update their project data
",,Access;Access;Access;Documents - Manage Scenarios;Manage Data;Reports - Run,
21,Dataflow_key,"DF Key user 
","DF Key user in Branchoffice
",demo1,Access;Data Utility Manage Public Presets;Documents - Manage Date Settings;Documents - Manage Scenarios;Manage Data;Reports - Run;Revisions Apply and Remove Tags,
22,Dataflow_power,"DF Power user in HO
","DF Power user in Headoffice
",,"Access;Dashboard Map;Data Utility Manage Public Presets;Document Templates and Variables;Documents - Manage Currency Settings;Documents - Manage Date Settings;Documents - Manage Economics Settings;Documents - Manage Scenarios;Documents - Unlock;Hierarchy - Move, Delete, Rename;Lists;Manage Data;Reports - Design;Reports - Run;Revisions Apply and Remove Tags;Tags;Templates Unlock;Versions;Workflows - Design;Workflows - Terminate",
24,Economics_key,"Economics key user 
","Economics user in HO + BO
",,Access;Access;Access;Audit Logs;Audit Logs;Data Utility Manage Public Presets;Dataflow Links;Dataflow Links;Documents - Manage Date Settings;Locks;Locks;Manage Data;Manage Hierarchies;Regime Library;Reports - Run;Revisions Apply and Remove Tags,
23,Economics_power,"Economics power user in HO
","Economics power user in headoffice - global settings
",,"Access;Access;Access;Audit Logs;Audit Logs;Currencies;Data Utility Manage Public Presets;Dataflow Links;Dataflow Links;Documents - Manage Currency Settings;Documents - Manage Date Settings;Documents - Manage Economics Settings;Global Settings;Hierarchy - Move, Delete, Rename;Locks;Locks;Manage Data;Manage Hierarchies;Prices;Regime Library;Reports - Design;Reports - Run;Revisions Apply and Remove Tags;Versions;Workflows - Terminate",
2,Everyone,Default workgroup.,This group consists only public permission on the engine.,AARON6;Administrator;adminx449222@ww.omv.com;ARMANDO1;demo1;demo2;demo3;demo4;demo5;demo6;demo7;demo99;gael04;STANISLAV7;useradmin;ww\AARON6;ww\adminarun05;ww\ADRIAN18;ww\ALEXANDER47;ww\ANITA15;ww\ANNA39;ww\ARMANDO1;ww\ARUN05;ww\CARINA21;ww\CHLOE1;ww\CHRISTIAN130;ww\CHRISTIAN87;ww\DANIEL51;ww\DOUG03;ww\DOUG04;ww\ELIN01;ww\FABIAN37;ww\FELIX3;ww\FLORIAN109;ww\GAEL04;ww\GEORG2;ww\GREGORY1;ww\JENNIFER11;ww\KEVIN32;ww\LARS1;ww\LARS3;ww\LEONARDO1;ww\LUCA09;ww\LUKAS80;ww\MANFRED5;ww\MARC23;ww\MARCO9;ww\MARTIN26;ww\MATTHEW9;ww\MICHAEL139;ww\NEIL08;ww\NINA35;ww\PAUL77;ww\RADE01;ww\RADU50;ww\REIDAR1;ww\RICHARD44;ww\RU000017;ww\RU000051;ww\RU000076;ww\sancheca;ww\SANDRA18;ww\SEBASTIAN15;ww\SEMRA1;ww\SERGEJ2;ww\SIMON30;ww\Simona10;ww\SIRI02;ww\STANISLAV7;ww\STEFAN42;ww\STEPHANIE3;ww\SUSAN2;ww\TREVOR4;ww\VICTOR8;ww\VLADISLAV9;ww\X01000648;ww\X01000651;ww\X01001805;ww\X01005176;ww\X01022380;ww\X01022417;ww\X01024526;ww\X01026000;ww\X01026348;ww\X011450;ww\X011451;ww\X011462;ww\X011798;ww\X012779;ww\X01PEROSC;ww\X01schgeo;ww\X409094;ww\X437426;ww\X448827;ww\X449077;ww\X449156;ww\X449157;ww\X449222;ww\X449282;ww\X449362;ww\X449381;ww\X449596;ww\X449602;ww\X449810;ww\X449890;ww\X449891;ww\X450118;ww\X450246;ww\X450313;ww\X450582;ww\X451062;ww\X451555;ww\X451558;ww\X451671;ww\X451684;ww\X451731;ww\X451775;ww\X452074;ww\X452111;ww\XALEXAN;ww\XANDREEV;ww\XBERGHOKA;ww\XBRUNSDI;ww\XHERCUSSA;ww\xhussaifi;ww\XMAKNINYO,Hierarchy - Change To,
28,Exploration_key,"Exploration key user
","Exploration key user
",,Access;Data Utility Manage Public Presets;Documents - Manage Date Settings;Manage Data;Reports - Run;Revisions Apply and Remove Tags,
27,Exploration_power,"Exploration power user HO
","Exploration power user HO
",,"Access;Data Utility Manage Public Presets;Documents - Manage Date Settings;Hierarchy - Move, Delete, Rename;Manage Data;Reports - Run;Revisions Apply and Remove Tags;Versions;Workflows - Terminate",
35,Interfaces,"group for API usage
","permissions used for interface APIs
",,API Key;Manage Data;Reports - Run,
37,OData,"External Data interface using Odata
","permissions to use Odata as interface
",,API Key,
14,OMV_ArabEmirates,"OMV BO ArabEmirates users
","are allowed to see on data from BO ArabEmirates
",,,
9,OMV_Austria,"OMV BO Austria users
","are allowed to see on data from BO Austria
",demo1;demo99;ww\ALEXANDER47;ww\ANNA39;ww\CHRISTIAN130;ww\DANIEL51;ww\GEORG2;ww\LEONARDO1;ww\LUKAS80;ww\MANFRED5;ww\NINA35;ww\SANDRA18;ww\SEBASTIAN15;ww\SEMRA1;ww\SERGEJ2;ww\SIMON30;ww\X01024526;ww\X01026000;ww\X011450;ww\X011451;ww\X437426;ww\X448827;ww\X449282;ww\X449362;ww\X449596;ww\X450246;ww\X451062;ww\X451684;ww\X452074,,
