Id,Name,Description,Comments,Users,Allowed roles,Denied roles
1,Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.,Administrator;admintataruioa@ww.omv.com;adminx449222@ww.omv.com;ARMANDO1;Doug01;gael04;useradmin;ww\adminarun05;ww\ARMANDO1;ww\ARUN05;ww\STANISLAV7;ww\X01001805;ww\X449222,"Access;Access;Access;API Key;Apply and Remove Revision Tags;Audit Log;Audit Logs;Audit Logs;Audit Logs;Auto-forecast;Bulk Delete;Configure;Configure;Currencies;Dashboard Map;Data Utility Manage Public Presets;Dataflow Links;Dataflow Links;Delete Wells and Well Groups;Document Templates and Variables;Documents - Manage Currency Settings;Documents - Manage Date Settings;Documents - Manage Economics Settings;Documents - Manage Scenarios;Documents - Manage Well Links;Documents - Unlock;Execute Load from Database Templates;Global Settings;Global Settings;Hierarchy - Change To;Hierarchy - Move, Delete, Rename;Lists;Load Forecast Data;Load Historical Data;Locks;Locks;Locks;Manage;Manage Data;Manage Hierarchies;Manage Hierarchies;Manage Hierarchy;Manage Load from Database Templates;Manage Lock/Unlock;Manage Well Data;Module Access;Prices;Reconcile;Reconciliations - Delete;Regime Library;Regime Library;Reports - Design;Reports - Design;Reports - Design;Reports - Run;Restart Approvals;Revisions Apply and Remove Tags;Security;Tags;Templates Unlock;Update Wells and Well Groups;Versions;Workflows - Design;Workflows - Terminate",
38,Approver,"Group of approvers
","approval permissions 
",,,
9,AUCERNA,Group for AUCERNA experts,"all external AUCERNA experts to support ",,,
41,Auditor,"users can check auditlogs
","permission to read and check audit-logs
",,,
36,BusinessDev_key,"Business Development key user
","Business Development key user
",,,
35,BusinessDev_power,"Business Development power user HO
","Business Development power user HO
",,,
32,Controlling_key,"Controlling key user
","Controlling key user
",,,
31,Controlling_power,"Controlling power user HO
","Controlling power user HO
",,,
22,Data_Loader,"Data provider
","user are allowed to update their project data
",,,
23,Dataflow_keyuser,"DF Key user in Branchoffice
","DF Key user in Branchoffice
",,,
24,Dataflow_power,"DF Power user in Headoffice
","DF Power user in Headoffice
",,,
26,Economics_key,"Economics key user 
","Economics user in HO + BO
",,,
25,Economics_power,"Economics power user in HO
","Economics power user in headoffice - global settings
",,,
2,Everyone,Default workgroup.,This group consists only public permission on the engine.,AARON6;Administrator;admintataruioa@ww.omv.com;adminx449222@ww.omv.com;ARMANDO1;Doug01;gael04;useradmin;ww\adminarun05;ww\ARMANDO1;ww\ARUN05;ww\CHRISTIAN130;ww\CHRISTIAN87;ww\DANIEL279;ww\FLORIAN109;ww\KEVIN32;ww\LEONARDO1;ww\MARC23;ww\MARTIN26;ww\MATTHEW9;ww\MICHAEL139;ww\NEIL08;ww\PAUL77;ww\sancheca;ww\SANDRA18;ww\SEMRA1;ww\SHILPA1;ww\Simona10;ww\SIRI02;ww\STANISLAV7;ww\SUSAN2;ww\X01000648;ww\X01000651;ww\X01001805;ww\X01005176;ww\X01024526;ww\X01026000;ww\X01BanuBo;ww\X01schgeo;ww\X409094;ww\X449077;ww\X449156;ww\X449222;ww\X449381;ww\X449602;ww\X449810;ww\X449890;ww\X449891;ww\X450118;ww\X450313;ww\X450582;ww\X451671;ww\xhussaifi,"Documents - Manage Currency Settings;Documents - Manage Date Settings;Documents - Manage Scenarios;Hierarchy - Change To;Hierarchy - Move, Delete, Rename;Manage Data;Reports - Run",
30,Exploration_key,"Exploration key user
","Exploration key user
",,,
29,Exploration_power,"Exploration power user HO
","Exploration power user HO
",,,
37,Interfaces,"group for API usage
","permissions used for interface APIs
",,,
39,OData,"External Data interface using Odata
","permissions to use Odata as interface
",,,
16,OMV_ArabEmirates,"OMV BO ArabEmirates users
","are allowed to see on data from BO ArabEmirates
",,,
11,OMV_Austria,"OMV BO Austria users
","are allowed to see on data from BO Austria
",,,
