From date 10/8/2019 To date 10/12/2019
Timestamp, Entity Name, User Name, Action, Comment, Application, Entity Type
"10/11/2019 23:45:18","Administrator","Administrator","User Logout","The user <Administrator> has logged out.","PlanningSpace Dataflow","User"
"10/11/2019 22:59:05","Administrator","Administrator","User Login","The user <Administrator> has logged in.","PlanningSpace Dataflow","User"
"10/11/2019 22:58:52","Administrator","Administrator","User Login","The user [Administrator] has logged in.","PlanningSpace","User"
"10/11/2019 16:30:00","ww\CHRISTIAN130","ww\CHRISTIAN130","User Logout","The user <ww\CHRISTIAN130> has logged out.","PlanningSpace Dataflow","User"
"10/11/2019 16:21:42","gael04","gael04","User Logout","The user <gael04> has logged out.","PlanningSpace Dataflow","User"
"10/11/2019 15:24:34","ww\CHRISTIAN130","ww\CHRISTIAN130","User Login","The user <ww\CHRISTIAN130> has logged in.","PlanningSpace Dataflow","User"
"10/11/2019 15:24:27","ww\CHRISTIAN130","ww\CHRISTIAN130","User Login","The user [ww\CHRISTIAN130] has logged in.","PlanningSpace","User"
"10/11/2019 15:17:02","gael04","gael04","User Login","The user [gael04] has logged in.","PlanningSpace","User"
"10/11/2019 15:02:03","gael04","gael04","User Login","The user [gael04] has logged in.","PlanningSpace","User"
"10/11/2019 14:57:05","gael04","gael04","User Login","The user [gael04] has logged in.","PlanningSpace","User"
"10/11/2019 14:53:38","gael04","gael04","User Login","The user [gael04] has logged in.","PlanningSpace","User"
"10/11/2019 14:00:01","ww\FELIX3","ww\FELIX3","User Logout","The user <ww\FELIX3> has logged out.","PlanningSpace Dataflow","User"
"10/11/2019 13:59:41","ww\X01024526","ww\X01024526","User Logout","The user <ww\X01024526> has logged out.","PlanningSpace Dataflow","User"
"10/11/2019 13:57:56","ww\X01024526","ww\X01024526","User Login","The user <ww\X01024526> has logged in.","PlanningSpace Dataflow","User"
"10/11/2019 13:57:49","ww\X01024526","ww\X01024526","User Login","The user [ww\X01024526] has logged in.","PlanningSpace","User"
"10/11/2019 13:57:30","x01024526","x01024526","User Login","Login for user <x01024526> was unsuccessful. Reason: Invalid User Name and Password. ","PlanningSpace","User"
"10/11/2019 13:57:18","ww//x01024526","ww//x01024526","User Login","Login for user <ww//x01024526> was unsuccessful. Reason: Invalid User Name and Password. ","PlanningSpace","User"
"10/11/2019 12:46:17","OMV_Austria","gael04","Entity Deleted","Deleted workgroup permissions for Node type: <Project AUT (PRMS)>. Node name: <No Prod Expressions>. ","PlanningSpace Dataflow","Project AUT (PRMS)"
"10/11/2019 12:43:40","OMV_Austria","gael04","Entity Created","Set workgroup permissions for Node type: <Project AUT (PRMS)>. Node name: <No Prod Expressions> to AllowAll. ","PlanningSpace Dataflow","Project AUT (PRMS)"
"10/11/2019 12:12:16","ww\FELIX3","ww\FELIX3","User Login","The user <ww\FELIX3> has logged in.","PlanningSpace Dataflow","User"
"10/11/2019 12:12:08","ww\FELIX3","ww\FELIX3","User Login","The user [ww\FELIX3] has logged in.","PlanningSpace","User"
"10/11/2019 12:06:13","ww\FELIX3","ww\FELIX3","User Logout","The user <ww\FELIX3> has logged out.","PlanningSpace Dataflow","User"
"10/11/2019 11:00:11","OMV_Austria","gael04","Entity Deleted","Deleted workgroup permissions for Node type: <Project AUT (PRMS)>. Node name: <Test>. ","PlanningSpace Dataflow","Project AUT (PRMS)"
"10/11/2019 10:53:36","OMV_Austria","gael04","Entity Created","Set workgroup permissions for Node type: <Project AUT (PRMS)>. Node name: <Test> to AllowAll. ","PlanningSpace Dataflow","Project AUT (PRMS)"
"10/11/2019 10:39:24","gael04","gael04","User Login","The user <gael04> has logged in.","PlanningSpace Dataflow","User"
"10/11/2019 10:39:17","gael04","gael04","User Login","The user [gael04] has logged in.","PlanningSpace","User"
"10/11/2019 10:05:37","ww\FELIX3","ww\FELIX3","User Login","The user <ww\FELIX3> has logged in.","PlanningSpace Dataflow","User"
"10/11/2019 10:05:29","ww\FELIX3","ww\FELIX3","User Login","The user [ww\FELIX3] has logged in.","PlanningSpace","User"
"10/11/2019 09:53:02","ww\FELIX3","ww\FELIX3","User Login","The user <ww\FELIX3> has logged in.","PlanningSpace Dataflow","User"
"10/11/2019 09:52:54","ww\FELIX3","ww\FELIX3","User Login","The user [ww\FELIX3] has logged in.","PlanningSpace","User"
"10/10/2019 18:29:41","ARMANDO1","ARMANDO1","User Logout","The user <ARMANDO1> has logged out.","PlanningSpace Dataflow","User"
"10/10/2019 18:22:09","gael04","gael04","User Logout","The user <gael04> has logged out.","PlanningSpace Dataflow","User"
"10/10/2019 18:15:52","MTP2019","ARMANDO1","Entity Associated","Tag applied to revision <Rev 33>, in document <R&D Technology AUT(1)>, in version <zzzMTP2019>.","PlanningSpace Dataflow","Revision Tag"
"10/10/2019 18:15:52","MTP2019","ARMANDO1","Entity Dissociated","Tag removed from revision <Rev 32>, in document <R&D Technology AUT(1)>, in version <zzzMTP2019>.","PlanningSpace Dataflow","Revision Tag"
"10/10/2019 18:15:47","MTP2019","ARMANDO1","Entity Associated","Tag applied to revision <Rev 33>, in document <Notional Drilling(1)>, in version <zzzMTP2019>.","PlanningSpace Dataflow","Revision Tag"
"10/10/2019 18:15:47","MTP2019","ARMANDO1","Entity Dissociated","Tag removed from revision <Rev 32>, in document <Notional Drilling(1)>, in version <zzzMTP2019>.","PlanningSpace Dataflow","Revision Tag"
"10/10/2019 18:15:41","MTP2019","ARMANDO1","Entity Associated","Tag applied to revision <Rev 33>, in document <Innovation & Technology Center (ITC)(1)>, in version <zzzMTP2019>.","PlanningSpace Dataflow","Revision Tag"
"10/10/2019 18:15:41","MTP2019","ARMANDO1","Entity Dissociated","Tag removed from revision <Rev 32>, in document <Innovation & Technology Center (ITC)(1)>, in version <zzzMTP2019>.","PlanningSpace Dataflow","Revision Tag"
