Name,Description,Category,Allowed workgroups,Denied workgroups
Currencies,Allows a user to configure Currencies,Configuration,Administrators;OMV_CoreTeam,
Prices,Allows a user to configure Prices,Configuration,Administrators,
Security,"Allows a user to manage Users, Workgroups, Roles and Security Settings",Security,Administrators,
Reports - Design,Allows a user to design Economics Reports,Economics,Administrators;OMV_CoreTeam,
Global Settings,Allows a user to configure Companies and Project Scenarios,Economics,Administrators;OMV_CoreTeam,
Regime Library,Allows a user to access the Regime Library,Economics,Administrators;OMV_CoreTeam,
Manage Hierarchies,Allows a user to manage Hierarchies,Economics,Administrators;OMV_CoreTeam,
Access,Allows a user access to the Economics module,Economics,Administrators;OMV_CoreTeam,
Audit Logs,Allows a user access to the Economics Audit Log,Economics,Administrators,
Locks,Allows a user to unlock Economics entities,Economics,Administrators,
Audit Log,Allows a user access to the PalantirCASH Audit Log,PalantirCASH,Administrators,
Module Access,Allows a user access to the Module Editor and depreciation methods,PalantirCASH,Administrators,
Manage Lock/Unlock,Allows a user to unlock PalantirCASH Documents,PalantirCASH,Administrators,
Manage Hierarchy,Allows a user to manage Hierarchies,PalantirCASH,Administrators,
Audit Logs,Allows a user access to the PlanningSpace Audit Log,Configuration,Administrators,
Reports - Design,Allows a user to design Financials Reports,Financials,Administrators;OMV_CoreTeam,
Global Settings,Allows a user to configure Project Scenarios,Financials,Administrators;OMV_CoreTeam,
Regime Library,Allows a user to access the Regime Library,Financials,Administrators;OMV_CoreTeam,
Manage Hierarchies,Allows a user to manage Hierarchies,Financials,Administrators;OMV_CoreTeam,
Access,Allows a user access to the Financials module,Financials,Administrators;OMV_CoreTeam,
Audit Logs,Allows a user access to the Financials Audit Log,Financials,Administrators,
Locks,Allows a user to unlock Financials entities,Financials,Administrators,
API Key,Allows a user to generate and utilize API keys for web API calls,Security,Administrators,
Dataflow Links,Allows a user to manage links between Dataflow Documents and Economics Projects,Economics,Administrators;OMV_CoreTeam,
Reports - Run,Allows a user to run reports,Dataflow,Administrators;Everyone;User_heavy,
Reports - Design,Allows a user to design reports,Dataflow,Administrators;User_heavy,
Documents - Manage Scenarios,Allows a user to manage the Scenarios of data within a Document,Dataflow,Administrators;Everyone;OMV_CoreTeam;User_heavy,
"Hierarchy - Move, Delete, Rename","Allows a user to move, delete and rename a Document within a Version",Dataflow,Administrators;Everyone;OMV_CoreTeam;User_heavy,
Hierarchy - Change To,Allows a user to change the Node Type of a Document,Dataflow,Administrators;Everyone;User_heavy,
Manage Data,Allows a user access to the Manage Data workspace,Dataflow,Administrators;Everyone;OMV_CoreTeam;User_heavy,
Documents - Manage Date Settings,Allows a user to specify the date settings used by a Document,Dataflow,Administrators;Everyone;OMV_CoreTeam;User_heavy,
Document Templates and Variables,Allows a user to configure Document Templates and Variables,Dataflow,Administrators;User_heavy,
