WorkgroupName,Description,Comments,Permissions,LastChanged,WorkgroupGuid,WorkgroupId
Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.,0x8C050B76C5D099A6D4E8ED863530BE83,0x00000000010AC249,AC1FCFC8-72AD-4A65-BA28-90C8EBA7BEB5,1
Everyone,Default workgroup.,This group consists only public permission on the engine.,0x7C3DEF52A058A86DC4581E3DE2A66246,0x0000000001067CD1,6AC3BA48-9240-4BE7-AE27-498F295ACD1E,2
OMV_Tunisia,Tunisia Economists,,NULL,0x0000000001087FAD,B33F4FD3-41F1-4D5C-9828-1A7D898C1E68,3
OMV_NZL,New Zealand Economists,,NULL,0x0000000001069B7A,78A64FE0-EF03-4496-A50A-1CA627EB8B92,4
OMV_HO_Controller,HO Controller,,NULL,0x0000000001069F50,FCE7259B-8B86-41E6-B1DE-5DECAC3362D3,7
OMV_Kazakhstan,Kazakhstan Economists,,NULL,0x0000000001067CDA,791B562D-4AF1-4482-A224-ABE56AEAFB49,8
OMV_Yemen,Yemen Controller MTP,,NULL,0x0000000001067CDB,09F0FF07-1425-4D7B-A2FB-BA9E27627100,9
OMV_Australia,Australia Economists,,NULL,0x0000000001088CFB,AB2F8C79-DB03-4E22-A9C8-BD61050605E9,10
OMV_Libya,Libya Economists,,NULL,0x0000000001087FAB,0FC60B5A-AC16-453F-A280-C8C866374A5C,11
OMV_Austria,Austria Economists,,NULL,0x0000000001088CFF,63F77AC3-3DF2-4ABC-83C1-CAF6BC452390,12
OMV_Pakistan,Pakistan Economists,,NULL,0x000000000107D57E,96E6BF1D-3C9A-4D5C-936E-FF5A98912EC3,14
OMV_MTP_Plan_Users,for Portfolio Group,Plan user group with read access to the MTP hierarchies,NULL,0x000000000108D9B8,49987C6D-20D7-4CFB-9DF7-8496D6CFE24C,15
OMV_Kurdistan,Controlling Kurdistan,.,NULL,0x0000000001067CE2,63A00264-D87A-48BF-971D-28B1850AAF24,16
OMV_Norway,Norway Economists,,NULL,0x00000000010892E0,3A173E3B-1CFD-4656-A201-6FBEF370088D,17
OMV_UAE,UAE Economists,,NULL,0x0000000001087FB0,23CF3B30-D785-48A3-8AA2-18822FC50B12,18
TM1Users,TM1Users,,NULL,0x0000000001067CE5,B18B01AE-A497-4B57-B308-BC6A12A8015F,19
Exploration,Exploration and Appraisal Economics users,NULL,NULL,0x0000000001067CE6,04A5D726-0427-43D6-A96F-191A7937B6C6,20
Intern,Reading rights for interns,,NULL,0x000000000107DE06,D5BAB769-0093-44B7-8DE3-3B942C921F99,24
OMV_YEM_Indicative,Technical people,,NULL,0x0000000001067CEC,6AF6F725-B7FA-4F3F-B8AC-8CE01210F35B,26
HO_Plan_Users,Read rights only,,NULL,0x000000000109E9E8,17F35E61-F897-48A1-A18C-FB731578453A,27
Temp,Temp group,,NULL,0x0000000001067CEE,D0BAB064-1226-4B4A-B8D7-DB3C64501719,28
Petrom_Users,RO Economists,,NULL,0x000000000108F0CE,95CF49D3-07C4-4FA5-A9C2-1B6372E09847,29
RO_Plan_Users,Petrom Data Read Rights,,NULL,0x0000000001067CF0,DA125FE5-2019-4E69-A969-8FD774BC1082,30
OMV_MEA_Hub_Users,MEA Hub economist Only,,NULL,0x000000000108D7FD,BA35F69B-73AF-4790-AE0B-A73F4F77B354,31
OMV_MEA_PPP_Users,Non economists in MEA Hub,,NULL,0x000000000109E83C,CFD06B05-FB88-42E4-A5B4-0E96F164359F,32
OMV_Russia,Russia Workgroup,,NULL,0x00000000010718C2,965157CA-92A9-49E5-AB8A-E16BC81EA964,33
OMV_Russia_Indicative,Russia Indicative Economics Groupe,,NULL,0x00000000010718C1,1D9B9111-3EC2-4673-B60B-D7052341DDCF,34
PPP_Users_AUS,PPP Users NZ,,NULL,0x00000000010BA653,E65C1CE7-4B74-4FBF-928D-2F7D31DAC940,35
PPP_Users_AUT,PPP_Users_AUT,,NULL,0x0000000001096EE4,B9C6A91E-CC9C-48C3-B1A6-A76E373B128A,36
PPP_Users_NOS,Norway PPP,,NULL,0x000000000108992A,7C204F64-ADC2-4D0A-B42B-57D4634A5AFE,37
PPP_Users_RUS,Russia PPP,,NULL,0x0000000001088D06,EB26EE00-94C1-4E31-A86B-36DB04BD4AD5,38
Development,Development Department,NULL,NULL,0x000000000109B0D2,B2264360-A713-4C77-9360-CF53B299E8CA,39
PPP_Users_MEA,PPP Users MEA,,NULL,0x00000000010BA654,17C5FC99-059E-4F7D-A459-C153FB6697DF,40
SapuraOMV_Malaysia,Economics & PPP team Malaysia,NULL,NULL,0x00000000010AD02C,13DF74C2-CC6C-492E-A868-936E832E8401,41
