From date 11/19/2019 To date 12/19/2019
Timestamp, Entity Name, User Name, Action, Comment, Application, Entity Type
"12/19/2019 11:35:52 AM","useradmin","useradmin","User Login","The user <useradmin> has logged in.","PlanningSpace Dataflow","User"
"12/19/2019 11:35:41 AM","useradmin","useradmin","User Login","The user [useradmin] has logged in.","PlanningSpace","User"
"12/19/2019 11:12:26 AM","ww\X01001805","ww\X01001805","User Login","The user <ww\X01001805> has logged in.","PlanningSpace Dataflow","User"
"12/19/2019 11:12:15 AM","ww\X01001805","ww\X01001805","User Login","The user [ww\X01001805] has logged in.","PlanningSpace","User"
"12/19/2019 11:11:02 AM","ww\CARINA21","ww\CARINA21","User Logout","The user <ww\CARINA21> has logged out.","PlanningSpace Dataflow","User"
"12/19/2019 11:10:39 AM","ww\CARINA21","ww\CARINA21","User Login","The user <ww\CARINA21> has logged in.","PlanningSpace Dataflow","User"
"12/19/2019 11:10:28 AM","ww\CARINA21","ww\CARINA21","User Login","The user [ww\CARINA21] has logged in.","PlanningSpace","User"
"12/19/2019 11:10:21 AM","WW\CARINA21","WW\CARINA21","User Login","Login for user <WW\CARINA21> was unsuccessful. Reason: Invalid Password. ","PlanningSpace","User"
"12/19/2019 11:07:16 AM","ww\susan2","ww\susan2","User Login","Login for user <ww\susan2> was unsuccessful. Reason: Invalid Password. ","PlanningSpace","User"
"12/19/2019 11:06:33 AM","ww\susan2","ww\susan2","User Login","Login for user <ww\susan2> was unsuccessful. Reason: Invalid Password. ","PlanningSpace","User"
"12/19/2019 11:06:18 AM","ww\susan2","ww\susan2","User Login","Login for user <ww\susan2> was unsuccessful. Reason: Invalid Password. ","PlanningSpace","User"
"12/19/2019 11:06:10 AM","ww\susan2","ww\susan2","User Login","Login for user <ww\susan2> was unsuccessful. Reason: Invalid Password. ","PlanningSpace","User"
"12/19/2019 10:59:19 AM","ww\X449891","ww\X449891","User Logout","The user <ww\X449891> has logged out.","PlanningSpace Dataflow","User"
"12/19/2019 10:55:33 AM","ww\SEMRA1","ww\SEMRA1","User Login","The user <ww\SEMRA1> has logged in.","PlanningSpace Dataflow","User"
"12/19/2019 10:55:22 AM","ww\SEMRA1","ww\SEMRA1","User Login","The user [ww\SEMRA1] has logged in.","PlanningSpace","User"
"12/19/2019 10:37:50 AM","ww\X450313","ww\X450313","User Login","The user <ww\X450313> has logged in.","PlanningSpace Dataflow","User"
"12/19/2019 10:37:40 AM","ww\X450313","ww\X450313","User Login","The user [ww\X450313] has logged in.","PlanningSpace","User"
"12/19/2019 10:25:48 AM","checked_by_ETX_S_post_PR","ww\X449891","Entity Associated","Tag applied to revision <Rev 5>, in document <00_Bogus_4>, in version <Exploration_Scalar>.","PlanningSpace Dataflow","Revision Tag"
"12/19/2019 10:25:48 AM","checked_by_ETX_S_post_PR","ww\X449891","Entity Dissociated","Tag removed from revision <Rev 4>, in document <00_Bogus_4>, in version <Exploration_Scalar>.","PlanningSpace Dataflow","Revision Tag"
"12/19/2019 10:23:31 AM","checked_by_ETX_S_post_PR","ww\X449891","Entity Associated","Tag applied to revision <Rev 4>, in document <00_Bogus_4>, in version <Exploration_Scalar>.","PlanningSpace Dataflow","Revision Tag"
