tenant,id,name,description,comments,isEveryoneWorkgroup,isAdministratorWorkgroup,users,allowedRoles,deniedRoles
PPS_DEV,1,Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.,False,True,,,
PPS_DEV,39,Auditor,users can check auditlogs,permission to read and check audit-logs,False,False,,,
PPS_DEV,9,data.Austria,OMV BO Austria users,are allowed to see on data from BO Austria,False,False,,,
PPS_DEV,45,data.Austria.Key,data.Austria.Key,,False,False,,,
PPS_DEV,33,data.BD.project,Business Development project ,Business Development power user HO,False,False,,,
PPS_DEV,8,data.Corporate,OMV Headoffice users (corporate) ,are allowed to see data from all countries ,False,False,,,
PPS_DEV,88,data.Corporate.key,OMV Headoffice users (corporate) key ,,False,False,,,
PPS_DEV,63,data.Libya,data.Libya,,False,False,,,
PPS_DEV,64,data.Libya.key,data.Libya,,False,False,,,
PPS_DEV,10,data.Norway,OMV BO Norway users,are allowed to see on data from BO Norway,False,False,,,
PPS_DEV,46,data.Norway.Key,data.Norway.Key,,False,False,,,
PPS_DEV,12,data.Petrom,OMV Petrom users,are allowed to see on data from OMV Petrom,False,False,,,
PPS_DEV,11,data.Russia,OMV BO Russia users,are allowed to see on data from BO Russia,False,False,,,
PPS_DEV,47,data.Russia.Key,data.Russia.Key,,False,False,,,
PPS_DEV,61,data.Tunisia,OMV BO Tunisia users,,False,False,,,
PPS_DEV,62,data.Tunisia.Key,data.Tunisia.Key,,False,False,,,
PPS_DEV,21,DataFlow.key,Dataflow Key user ,Dataflow Key user in Branchoffice,False,False,,,
PPS_DEV,22,DataFlow.power,Dataflow Power user,Dataflow Power user in Headoffice,False,False,,,
PPS_DEV,40,Developer,internal & external developers,permissions needed for developers,False,False,,,
PPS_DEV,24,Economics.key,Economics key user ,Economics user in Branchoffice,False,False,,,
PPS_DEV,23,Economics.power,Economics power user,Economics power user in headoffice - global settings,False,False,,,
PPS_DEV,42,Economics.regimes,additional permission for Economics user to access Regime Library,,False,False,,,
PPS_DEV,89,Economics.unlock,additional permission for Economics user to unlock entities,..,,False,False,,,
PPS_DEV,2,Everyone,Default workgroup.,This group consists only public permission on the engine.,True,False,,,
PPS_DEV,30,Financials.key,Financials key user,Controlling key user in Branchoffice,False,False,,,
PPS_DEV,29,Financials.power,Financials power user HO,Controlling power user  in Headoffice,False,False,,,
PPS_DEV,43,Financials.regimes,additional permission for Financials user to access Regime Library,,False,False,,,
PPS_DEV,44,Input.Approve,Input.Approve,,False,False,,,
PPS_DEV,48,Input.Confirm,Input.Confirm,,False,False,,,
PPS_DEV,65,Objects.unlock,Objects.unlock,,False,False,,,
PPS_DEV,4,OMV_CoreTeam,OMV Core Team Members,temp. Group for initial project phast - should disappear at later stage,False,False,,,
PPS_DEV,41,P2V.admin,Plan2Value administrators,permissions to almost everything,False,False,,,
PPS_DEV,20,P2V.base,P2V base access,user are allowed to update their project data,False,False,,,
PPS_DEV,7,P2V.developer,Group of internal/external developers,all external AUCERNA experts to support ,False,False,,,
PPS_DEV,6,PetroVR,PetroVR user,Users are allowed to use Economics as a Service ; DataLoader,False,False,,,
PPS_DEV,25,Portfolio,Portfolio user,Portfolio power user in HO,False,False,,,
PPS_DEV,37,Reporting,External Data interface using Odata,permissions to use Odata as interface,False,False,,,
PPS_DEV,69,Reserves.Approver,Reserves.Approver,,False,False,,,
PPS_DEV,66,Reserves.base,Reserves.base,,False,False,,,
PPS_DEV,32,Reserves.key,Resources/Reserves key user,Reserves key user , QREs,False,False,,,
PPS_DEV,31,Reserves.power,Resources/Reserves power user HO,Reserves power user in Headoffice,False,False,,,
PPS_DEV,68,Reserves.Security,Reserves.useradmin + Reserves.DataAdmin,,False,False,,,
PPS_DEV,79,temp.adjust.admin,temp.adjust.admin,,False,False,,,
PPS_DEV,86,temp.adjust.admin.deny,temp.adjust.admin.deny,,False,False,,,
PPS_DEV,80,temp.adjust.admin.readonly,temp.adjust.admin.readonly,,False,False,,,
PPS_DEV,73,temp.adjust.eco,temp.adjust.eco,,False,False,,,
PPS_DEV,75,temp.adjust.eco.deny,temp.adjust.eco.deny,,False,False,,,
PPS_DEV,74,temp.adjust.eco.readonly,temp.adjust.eco.readonly,,False,False,,,
PPS_DEV,76,temp.adjust.ecoresults,temp.adjust.ecoresults,,False,False,,,
PPS_DEV,78,temp.adjust.ecoresults.deny,temp.adjust.ecoresults.deny,,False,False,,,
PPS_DEV,77,temp.adjust.ecoresults.readonly,temp.adjust.ecoresults.readonly,,False,False,,,
PPS_DEV,81,temp.adjust.fin,temp.adjust.fin,,False,False,,,
PPS_DEV,87,temp.adjust.fin.deny,temp.adjust.fin.deny,,False,False,,,
PPS_DEV,82,temp.adjust.fin.readonly,temp.adjust.fin.readonly,,False,False,,,
PPS_DEV,83,temp.adjust.input,temp.adjust.input,,False,False,,,
PPS_DEV,85,temp.adjust.input.deny,temp.adjust.input.deny,,False,False,,,
PPS_DEV,84,temp.adjust.input.readonly,temp.adjust.input.readonly,,False,False,,,
PPS_DEV,52,temp.admin,temp.admin,,False,False,,,
PPS_DEV,54,temp.admin.deny,temp.admin.deny,,False,False,,,
PPS_DEV,53,temp.admin.readonly,temp.admin.readonly,,False,False,,,
PPS_DEV,49,temp.economics,temp.economics,,False,False,,,
PPS_DEV,51,temp.economics.deny,temp.economics.deny,,False,False,,,
PPS_DEV,50,temp.economics.readonly,temp.economics.readonly,,False,False,,,
PPS_DEV,70,temp.ecoresults,temp.ecoresults,,False,False,,,
PPS_DEV,72,temp.ecoresults.deny,temp.ecoresults.deny,,False,False,,,
PPS_DEV,71,temp.ecoresults.readonly,temp.ecoresults.readonly,,False,False,,,
PPS_DEV,55,temp.financials,temp.financials,,False,False,,,
PPS_DEV,57,temp.financials.deny,temp.financials.deny,,False,False,,,
PPS_DEV,56,temp.financials.readonly,temp.financials.readonly,,False,False,,,
PPS_DEV,58,temp.input,temp.input,,False,False,,,
PPS_DEV,60,temp.input.deny,temp.input.deny,,False,False,,,
PPS_DEV,59,temp.input.readonly,temp.input.readonly,,False,False,,,
