Name,Description,Comments
Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.
AUCERNA,Group for AUCERNA experts,all external AUCERNA experts to support 
Auditor,users can check auditlogs,permission to read and check audit-logs
data.Austria,OMV BO Austria users,are allowed to see on data from BO Austria
data.Austria.key,OMV BO Austria users to create projects,OMV BO Austria users to create projects
data.BD.project.xxx,OMV user allowed to access the confidential project xxx,OMV user allowed to access the confidential project xxx
data.Corporate,OMV Headoffice users (corporate) ,are allowed to see data from all countries 
data.Norway,OMV BO Norway users,are allowed to see on data from BO Norway
data.Norway.key,OMV BO Norway users to create projects,OMV BO Norway users to create projects
data.Petrom,OMV Petrom users,are allowed to see on data from OMV Petrom
data.Russia,OMV BO Russia users,are allowed to see on data from BO Russia
data.Russia.key,OMV BO Russia users to create projects,OMV BO Russia users to create projects
DataFlow.key,Dataflow Key user ,Dataflow Key user in Branchoffice
DataFlow.power,Dataflow Power user,Dataflow Power user in Headoffice
Economics.key,Economics key user ,Economics user in Branchoffice
Economics.power,Economics power user,Economics power user in headoffice - global settings
Economics.regimes,Economics User - regime builder,special permission to design and create new fiscal regimes in Economics
Everyone,Default workgroup.,This group consists only public permission on the engine.
Financials.key,Financials key user,Controlling key user in Branchoffice
Financials.power,Financials power user HO,Controlling power user  in Headoffice
Financials.regimes,Financial user - regime builder,users getting full access to financial regimes library
Input.Approve,validates and approves in HO,
Input.Confirm,former "approver" - confirms input ,approval permissions 
objects.unlock,Permission to unlock documents
,
OMV_CoreTeam,OMV Core Team Members,temp. Group for initial project phast - should disappear at later stage
P2V.admin,Plan2Value administrators,permissions to almost everything
P2V.base,P2V base access,user are allowed to update their project data
P2V.developer,internal & external developers,permissions needed for developers
PetroVR,PetroVR user,Users are allowed to use Economics as a Service ; DataLoader
Portfolio,Portfolio user,Portfolio power user in HO
Reporting,External Data interface using Odata,permissions to use Odata as interface
Reserves.Approver,Resources/Reserves Approver
,
Reserves.base,Resources/Reserves base user
,
Reserves.DataAdmin,Resources/Reserves Data administrator,[Petrolook] Resources/Reserves Data administrator 
Reserves.key,Resources/Reserves key user,[Petrolook] Reserves key user + QREs
Reserves.power,Resources/Reserves power user
,
Reserves.Useradmin,Resources/Reserves User administrator,[Petrolook] Resources/Reserves User administrator
temp.adjust.admin,ADJUST / Admin tab: FULL access
,
temp.adjust.admin.deny,ADJUST / Admin tab: DENY access

,
temp.adjust.admin.readonly,ADJUST / Admin tab: READONLY access
,
temp.adjust.eco,FULL access to economics tab for adjustment projects,
temp.adjust.eco.deny,DENY access to economics tab for adjustment projects,
temp.adjust.eco.readonly,READONLY ACCESS to economics tab for adjustment projects,
temp.adjust.ecoresults,FULL ACCESS to ecoresults tab for adjustment projects,
temp.adjust.ecoresults.deny,ADJUST / Economic Result tab: DENY access
,
temp.adjust.ecoresults.readonly,READONLY ACCESS to ecoresults tab for adjustment projects,
temp.adjust.fin,FULL ACCESS to financials tab for adjustment projects,
temp.adjust.fin.deny,DENY ACCESS to financials tab for adjustment projects,
temp.adjust.fin.readonly,READONLY ACCESS to financials tab for adjustment projects,
temp.adjust.input,FULL ACCESS to input tabs for adjustment projects
,
temp.adjust.input.deny,DENY ACCESS to input tabs for adjustment projects,
temp.adjust.input.readonly,READONLY ACCESS to input tabs for adjustment projects,
temp.admin,temp.admin,users are allowed to see Admin panel in template
temp.admin.deny,DENY access to templates.admin ,temp.admin.deny -> DENY access to template "admin panel"
temp.admin.readonly,READONLY access to templates.admin,temp.admin.readonly -> READONLY access to template admin panel
temp.economics,temp.economics,users are allowed to see "economic results" panel in templates
temp.economics.deny,DENY access to templates.economics,temp.economics.deny -> DENY access to template economic results panel
temp.economics.readonly,READONLY access to templates.economics,temp.economics.readonly -> READONLY access to template economic results panel
temp.ecoresults,Access to PRMS(country) Economics Results,
temp.ecoresults.deny,Access to PRMS(country) Economics Results,
temp.ecoresults.readonly,Access to PRMS(country) Economics Results
,
temp.financials,temp.financials,users are allowed to see Financials panel in template
temp.financials.deny,DENY access to templates.financials,temp.financials.deny -> DENY access to template Financials panel
temp.financials.readonly,READONLY access to templates.financials,temp.financials.readonly -> READONLY access to template Financials panel
temp.input,standard input tabs,
temp.input.deny,deny input tabs,
temp.input.readonly,READONLY access to input panels ,temp.input.readonly -> READONLY access to template input panels (Overview / Production / Capacity Up-&Downside / Capex / Opex & Other Revenue)
User.admin,User for useradministration,permissions to add/change users +  workgroups + assignments …
