ADgroup,category,Lic_type,PSgroup,RESgroup,Description,Comments,Activity,category1,userclaim,SNOW-title,SNOW-Description
dlg.WW.ADM-Services.P2V.access.CASH,ACCESS,1,,,P2V Access CASH system,access to old Palantir Cash (via Citrix),,,,,
dlg.WW.ADM-Services.P2V.access.development,ACCESS,1,,,P2V Access Development System,access to P2V Development System (via Citrix),,,,,
dlg.WW.ADM-Services.P2V.access.NAMR,ACCESS,1,,,P2V NAMR Report Tool,access to NAMR Reporting Tool (via Citrix),,,,,
dlg.WW.ADM-Services.P2V.access.production,ACCESS,1,Everyone,,P2V Access Production System,access to P2V Production System (via Citrix),,,,P2V Production System,Access to the P2V Production system (tenant P2V-PROD)
dlg.WW.ADM-Services.P2V.access.test,ACCESS,1,Everyone,,P2V Access Test System,"access to P2V TEST System (via Citrix , multiple tenants)",,,,P2V Test System,Access to the P2V Test system
dlg.WW.ADM-Services.P2V.access.training,ACCESS,1,Everyone,,P2V Access Training System,access to P2V TRAINING System (via Citrix),,,,P2V Training System,Access to the P2V Training system (tenant P2V_TRAINING)
dlg.WW.ADM-Services.P2V.access.update,ACCESS,1,Everyone,,P2V Access Update System,access to P2V UPDATE System (via Citrix),,,,,
dlg.WW.ADM-Services.P2V.Admin,SPECIAL,3,Administrators,,P2V Administrator,special permissions for Plan2Value Admins,,,x,,
dlg.WW.ADM-Services.P2V.approver,not in use,,,,P2V Approver,,,,,,
dlg.WW.ADM-Services.P2V.Aucerna,not in use,,,,P2V Vendor,Group for external consultants  & support people with P2V access,,,,,
dlg.WW.ADM-Services.P2V.auditor,PROFILE,,A12.profile.Auditor,,P2V Auditor,special permission to access audit-logs,,,x,,
dlg.WW.ADM-Services.P2V.BD.key,not in use,,,,P2V Business Development Key User,,,,,,
dlg.WW.ADM-Services.P2V.BD.power,not in use,,,,P2V Business Development Power User,,,,,,
dlg.WW.ADM-Services.P2V.CO.key,not in use,,,,P2V Controlling Key User,,,,,,
dlg.WW.ADM-Services.P2V.CO.power,not in use,,,,P2V Controlling Power User,,,,,,
dlg.WW.ADM-Services.P2V.data.access.ADJUSTMENT,DATA,,data.access.ADJUST.allow,,,,,,,,
dlg.WW.ADM-Services.P2V.data.access.GAS,DATA,,data.access.GAS.allow,,,,,,,,
dlg.WW.ADM-Services.P2V.data.access.LCB,DATA,,data.access.LCB.allow,,,,,,,,
dlg.WW.ADM-Services.P2V.data.access.PRMS,DATA,,data.access.PRMS.allow,,,,,,,,
dlg.WW.ADM-Services.P2V.data.ARE,DATA,,data.ArabEmirates,,P2V Data ArabEmirates,Data access to country UnitedArabEmirates,,,,United Arab Emirates,Access to P2V data from United Arab Emirates
dlg.WW.ADM-Services.P2V.data.AUS,DATA,,data.Australia,,P2V Data Australia,Data access to country Australia,,,,Australia (OMV),Access to P2V data from Australia (OMV)
dlg.WW.ADM-Services.P2V.data.AUS.sapura,DATA,,data.Sapura.Australia,,P2V Data Australia Sapura,Data access to country  Sapura- Australia,,,,Australia (SAPURA),Access to P2V data from Australia (SAPURA)
dlg.WW.ADM-Services.P2V.data.AUT,DATA,,data.Austria,,P2V Data Austria,Data access to country Austria,,,,Austria,Access to P2V data from Austria
dlg.WW.ADM-Services.P2V.data.BGR,DATA,,data.Bulgaria,,P2V Data Bulgaria,Data access to country Bulgaria,,,,Bulgaria (PETROM),Access to P2V data from Bulgaria
dlg.WW.ADM-Services.P2V.data.CHE,DATA,,data.Switzerland,,P2V Data Switzerland,,,,,,
dlg.WW.ADM-Services.P2V.data.corporate,DATA,,data.Corporate,,P2V Data Corporate OMV,Data access OMV global (OMV Headoffice) ,,,,All OMV data (corporate),Access to all OMV areas (w/o confidential projects)
dlg.WW.ADM-Services.P2V.data.DEU,DATA,,data.Germany,,P2V Data Germany,,,,,Data access P2V Germany,
dlg.WW.ADM-Services.P2V.data.GEO,DATA,,data.Georgia,,P2V Data Georgia,Data access to country Georgia,,,,Georgia (PETROM),Access to P2V data from Georgia
dlg.WW.ADM-Services.P2V.data.HRV,DATA,,data.Croatia,,P2V Data Croatia,,,,,,
dlg.WW.ADM-Services.P2V.data.HUN,DATA,,data.Hungary,,P2V Data Hungary,,,,,,
dlg.WW.ADM-Services.P2V.data.KRI,DATA,,data.Kurdistan,,P2V Data Kurdistan,Data access to country Kurdistan,,,,Kurdistan,Access to P2V data from Kurdistan
