"Iteration","Timestamp","Path","ShareRelativePath","ClientComputerName","ClientUserName","ContinuouslyAvailable","Locks"
"1","3/7/2023 12:48:33 PM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"2","3/7/2023 12:48:34 PM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"3","3/7/2023 12:48:35 PM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"4","3/7/2023 12:48:36 PM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"5","3/7/2023 12:48:37 PM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"6","3/7/2023 12:48:38 PM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"7","3/7/2023 12:48:39 PM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"8","3/7/2023 12:48:40 PM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"9","3/7/2023 12:48:41 PM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"10","3/7/2023 12:48:42 PM","D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","10.12.9.196","WW\s.at.aucerna_ips","False","0"
"10","3/7/2023 12:48:42 PM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"11","3/7/2023 12:48:43 PM","D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","10.12.9.196","WW\s.at.aucerna_ips","False","0"
"11","3/7/2023 12:48:43 PM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"12","3/7/2023 12:48:44 PM","D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","10.12.9.196","WW\s.at.aucerna_ips","False","0"
"12","3/7/2023 12:48:44 PM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
"13","3/7/2023 12:48:45 PM","D:\IPS_share_2\P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","P2V_UPDATE\PlanningSpace Economics\ResultSetSpreadsheet","10.12.9.196","WW\s.at.aucerna_ips","False","0"
"13","3/7/2023 12:48:45 PM","\winreg","winreg","10.12.10.93","WW\s.at.p2vmonitoring","False","0"
