Iteration,Timestamp,Path,ShareRelativePath,ClientComputerName,ClientUserName,ContinuouslyAvailable,Locks
1,2023-07-03 12:59:38,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
2,2023-07-03 12:59:39,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
3,2023-07-03 12:59:40,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
4,2023-07-03 12:59:41,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
5,2023-07-03 12:59:42,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
6,2023-07-03 12:59:43,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
7,2023-07-03 12:59:44,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
8,2023-07-03 12:59:45,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
9,2023-07-03 12:59:46,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
10,2023-07-03 12:59:47,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
11,2023-07-03 12:59:48,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
12,2023-07-03 12:59:49,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
13,2023-07-03 12:59:50,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
14,2023-07-03 12:59:51,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
15,2023-07-03 12:59:52,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
16,2023-07-03 12:59:53,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
17,2023-07-03 12:59:54,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
18,2023-07-03 12:59:55,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
