"Name","RelativePath","Extension","Directory","SizeKB","LastWriteTime","CreatedTime","IsHidden","IsReadOnly"
"ADNOC.txt","lib\ADNOC.txt",".txt","lib","587,9","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"config.json","lib\config.json",".json","lib","0,5","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"lukas.txt","lib\lukas.txt",".txt","lib","279,5","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"apireq.txt","P2V_scripts\apireq.txt",".txt","P2V_scripts","29,5","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"apppool.cmd","P2V_scripts\apppool.cmd",".cmd","P2V_scripts","0,8","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"BD.json","P2V_scripts\BD.json",".json","P2V_scripts","149,5","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"msg_all.cmd","P2V_scripts\msg_all.cmd",".cmd","P2V_scripts","0,9","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"select_file.cmd","P2V_scripts\select_file.cmd",".cmd","P2V_scripts","0,5","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"warn_IPS_restart.cmd","P2V_scripts\warn_IPS_restart.cmd",".cmd","P2V_scripts","0,9","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"P2V_Usermgmt_Log.log","P2V_UM_data\output\logs\P2V_Usermgmt_Log.log",".log","P2V_UM_data\output\logs","633,5","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"P2V_Usermgmt_Log.log.old","P2V_UM_data\output\logs\P2V_Usermgmt_Log.log.old",".old","P2V_UM_data\output\logs","69,2","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"P2V_Usermgmt_Log2020-07-09.log","P2V_UM_data\output\logs\P2V_Usermgmt_Log2020-07-09.log",".log","P2V_UM_data\output\logs","16,2","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"P2V_Usermgmt_Log2020-08-19.log","P2V_UM_data\output\logs\P2V_Usermgmt_Log2020-08-19.log",".log","P2V_UM_data\output\logs","0,9","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
