"Name","RelativePath","Extension","Directory","SizeKB","LastWriteTime","CreatedTime","IsHidden","IsReadOnly"
"P2V-TEST U-P.csv","P2V_scripts\config\P2V-TEST U-P.csv",".csv","P2V_scripts\config","4,5","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"P2V-TRAINING U-P.csv","P2V_scripts\config\P2V-TRAINING U-P.csv",".csv","P2V_scripts\config","15,4","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"P2V-UPDATE U-P.csv","P2V_scripts\config\P2V-UPDATE U-P.csv",".csv","P2V_scripts\config","3,6","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"P2V_LCB_users.csv","P2V_scripts\config\P2V_LCB_users.csv",".csv","P2V_scripts\config","3,6","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"P2V_PetroVR_users.csv","P2V_scripts\config\P2V_PetroVR_users.csv",".csv","P2V_scripts\config","126,9","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"P2V_PROD_U-P - Copy.csv","P2V_scripts\config\P2V_PROD_U-P - Copy.csv",".csv","P2V_scripts\config","1","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"P2V_PROD_U-P.csv","P2V_scripts\config\P2V_PROD_U-P.csv",".csv","P2V_scripts\config","42,1","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"P2V_SAMLusers_profiles (LCB).csv","P2V_scripts\config\P2V_SAMLusers_profiles (LCB).csv",".csv","P2V_scripts\config","141,2","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"P2V_SAMLusers_profiles.csv","P2V_scripts\config\P2V_SAMLusers_profiles.csv",".csv","P2V_scripts\config","127,2","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"P2V_SAMLusers_workfile.csv","P2V_scripts\config\P2V_SAMLusers_workfile.csv",".csv","P2V_scripts\config","0,9","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"P2V_server.csv","P2V_scripts\config\P2V_server.csv",".csv","P2V_scripts\config","2,4","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"P2V_TEMP.csv","P2V_scripts\config\P2V_TEMP.csv",".csv","P2V_scripts\config","4,3","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"README.csv","P2V_scripts\config\README.csv",".csv","P2V_scripts\config","2","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"SEC2 P2V_adgroups.csv","P2V_scripts\config\SEC2 P2V_adgroups.csv",".csv","P2V_scripts\config","10,9","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"SEC20_localusers.csv","P2V_scripts\config\SEC20_localusers.csv",".csv","P2V_scripts\config","3","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"SEC20_localusers_profiles.csv","P2V_scripts\config\SEC20_localusers_profiles.csv",".csv","P2V_scripts\config","4,7","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"SEC20_workgroups_standard.csv","P2V_scripts\config\SEC20_workgroups_standard.csv",".csv","P2V_scripts\config","51,6","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"spec_users.csv","P2V_scripts\config\spec_users.csv",".csv","P2V_scripts\config","4,3","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
"outputP2V_SAMLusers_profiles_AUTO.csv","P2V_scripts\outputP2V_SAMLusers_profiles_AUTO.csv",".csv","P2V_scripts","90","03.07.2025 09:28:38","03.07.2025 09:28:38","False","False"
