#TYPE System.Management.Automation.PSCustomObject
"id","name","description","comments","isEveryoneWorkgroup","isAdministratorWorkgroup","users","allowedRoles","deniedRoles"
"1","Administrators","Default Admin workgroup.","This group consists all the permissions on the engine.","False","True","","",""
"36","Approver","Group of approvers","approval permissions ","False","False","","",""
"7","AUCERNA","Group for AUCERNA experts","all external AUCERNA experts to support ","False","False","","",""
"39","Auditor","users can check auditlogs","permission to read and check audit-logs","False","False","","",""
"34","BusinessDev_key","Business Development key user","Business Development key user","False","False","","",""
"33","BusinessDev_power","Business Development power user HO","Business Development power user HO","False","False","","",""
"30","Controlling_key","Controlling key user","Controlling key user","False","False","","",""
"29","Controlling_power","Controlling power user HO","Controlling power user HO","False","False","","",""
"20","Data_Loader","Data provider","user are allowed to update their project data","False","False","","",""
"21","Dataflow_key","DF Key user ","DF Key user in Branchoffice","False","False","","",""
"22","Dataflow_power","DF Power user in HO","DF Power user in Headoffice","False","False","","",""
"40","Developer","Planningspace Developer","access to DEV and TEST","False","False","","",""
"24","Economics_key","Economics key user ","Economics user in HO + BO","False","False","","",""
"23","Economics_power","Economics power user in HO","Economics power user in headoffice - global settings","False","False","","",""
"2","Everyone","Default workgroup.","This group consists only public permission on the engine.","True","False","","",""
"28","Exploration_key","Exploration key user","Exploration key user","False","False","","",""
"27","Exploration_power","Exploration power user HO","Exploration power user HO","False","False","","",""
"35","Interfaces","group for API usage","permissions used for interface APIs","False","False","","",""
"37","OData","External Data interface using Odata","permissions to use Odata as interface","False","False","","",""
"14","OMV_ArabEmirates","OMV BO ArabEmirates users","are allowed to see on data from BO ArabEmirates","False","False","","",""
"9","OMV_Austria","OMV BO Austria users","are allowed to see on data from BO Austria","False","False","","",""
"4","OMV_CoreTeam","OMV Core Team Members","temp. Group for initial project phast - should disappear at later stage","False","False","","",""
"19","OMV_Kazakhstan","OMV BO Kazakhstan users","are allowed to see on data from BO Kazakhstan","False","False","","",""
"16","OMV_Libya","OMV BO Libya users","are allowed to see on data from BO Libya","False","False","","",""
"18","OMV_NewZealand","OMV BO New Zealand users","are allowed to see on data from BO New Zealand","False","False","","",""
"10","OMV_Norway","OMV BO Norway users","are allowed to see on data from BO Norway","False","False","","",""
"12","OMV_Petrom","OMV Petrom users","are allowed to see on data from OMV Petrom","False","False","","",""
"11","OMV_Russia","OMV BO Russia users","are allowed to see on data from BO Russia","False","False","","",""
"17","OMV_Sapura","OMV Sapura users","are allowed to see on data from OMV Sapura","False","False","","",""
"13","OMV_Tunisia","OMV BO Tunisia users","are allowed to see on data from BO Tunisisa","False","False","","",""
"8","OMV_Upstream","OMV Headoffice users (corporate) ","are allowed to see data from all countries ","False","False","","",""
"15","OMV_Yemen","OMV BO Yemen users","are allowed to see on data from BO Yemen","False","False","","",""
"6","PetroVR_users","PetroVR user","Users are allowed to use Economics as a Service ; DataLoader","False","False","","",""
"26","PlanPort_key","Planning & Portfolio key user","Planning & Portfolio key user","False","False","","",""
"25","PlanPort_power","Planning & Portfolio power user in HO","Planning & Portfolio power user in HO","False","False","","",""
"32","Reserves_key","Reserves key user","Reserves key user ","False","False","","",""
"31","Reserves_power","Reserves power user HO","Reserves power user HO","False","False","","",""
"38","Useradmin","User for useradministration","permissions to add/change users","False","False","","",""
