#TYPE System.Management.Automation.PSCustomObject
"id","applicationName","comment","entityName","entityTypeName","action","userName","machineName","timestamp"
"12378","PlanningSpace Dataflow","The user <useradmin> has logged out.","useradmin","User","Logout","useradmin","TSOMVAT423002","2019-12-19T07:34:08.190Z"
"12377","PlanningSpace","The user [ww\MICHAEL139] has logged in.","ww\MICHAEL139","User","Login","ww\MICHAEL139","10.12.205.21","2019-12-19T07:22:13.117Z"
"12376","PlanningSpace","The user [ww\X449222] has logged in.","ww\X449222","User","Login","ww\X449222","10.12.205.21","2019-12-19T07:20:43.090Z"
"12375","PlanningSpace Dataflow","The user <useradmin> has logged in. ","useradmin","User","Login","useradmin","TSOMVAT423002","2019-12-19T07:04:05.183Z"
"12374","PlanningSpace","The user [useradmin] has logged in.","useradmin","User","Login","useradmin","10.12.205.19","2019-12-19T07:03:55.137Z"
"12373","PlanningSpace","The user [ww\X449222] has logged in.","ww\X449222","User","Login","ww\X449222","10.12.205.19","2019-12-18T12:33:02.537Z"
"12372","PlanningSpace Dataflow","The user <ww\CARINA21> has logged out.","ww\CARINA21","User","Logout","ww\CARINA21","TSOMVAT423003","2019-12-18T07:36:18.720Z"
"12371","PlanningSpace","Added User to Workgroup <OMV_Upstream>","ww\X451624","Workgroup","Created","ww\CARINA21","10.12.205.19","2019-12-18T07:35:47.033Z"
"12370","PlanningSpace","Added User to Workgroup <OMV_CoreTeam>","ww\X451624","Workgroup","Created","ww\CARINA21","10.12.205.19","2019-12-18T07:35:47.033Z"
"12369","PlanningSpace","User added","ww\X451624","User","Created","ww\CARINA21","10.12.205.19","2019-12-18T07:35:47.033Z"
